index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,1,0,dot,snail,snail_mooney_dot_off2,catch,regular,pre,off,tzbstgs43tqjvuo,html-keyboard-response,14,224126,0.0-11.0-5.0-1.0,Chrome,134.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1313,https://exponline.ugr.es/publix/939/982/start?srid=18097,652d1a0830b934d1643b80c5,23,33,Germany,Male,Right-handed,Exp,dot_recog,,0,1,,,,
1,3420.7000000001863,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,2,0,dot,gargoyle,gargoyle_mooney_dot_off4,target,upside_down,pre,off,tzbstgs43tqjvuo,html-keyboard-response,18,228560,0.0-11.0-5.1-1.1,Chrome,134.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1313,https://exponline.ugr.es/publix/939/982/start?srid=18097,652d1a0830b934d1643b80c5,23,33,Germany,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
2,2187,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/polar_bear_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,3,0,dot,polar_bear,polar_bear_mooney_dot_off4,target,regular,pre,off,tzbstgs43tqjvuo,html-keyboard-response,22,231757,0.0-11.0-5.2-1.2,Chrome,134.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1313,https://exponline.ugr.es/publix/939/982/start?srid=18097,652d1a0830b934d1643b80c5,23,33,Germany,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
3,2709,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,4,0,dot,pomegranate,pomegranate_mooney_dot_on1,target,horizontal_flip,pre,on,tzbstgs43tqjvuo,html-keyboard-response,26,235479,0.0-11.0-5.3-1.3,Chrome,134.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1313,https://exponline.ugr.es/publix/939/982/start?srid=18097,652d1a0830b934d1643b80c5,23,33,Germany,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
4,2704.899999999441,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,5,0,dot,snail,snail_mooney_dot_off4,catch,regular,pre,off,tzbstgs43tqjvuo,html-keyboard-response,30,239187,0.0-11.0-5.4-1.4,Chrome,134.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1313,https://exponline.ugr.es/publix/939/982/start?srid=18097,652d1a0830b934d1643b80c5,23,33,Germany,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
5,2019.6000000005588,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/polar_bear_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,6,0,dot,polar_bear,polar_bear_mooney_dot_on1,target,regular,pre,on,tzbstgs43tqjvuo,html-keyboard-response,34,242209,0.0-11.0-5.5-1.5,Chrome,134.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1313,https://exponline.ugr.es/publix/939/982/start?srid=18097,652d1a0830b934d1643b80c5,23,33,Germany,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
6,2272,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,7,0,dot,gargoyle,gargoyle_mooney_dot_on3,target,upside_down,pre,on,tzbstgs43tqjvuo,html-keyboard-response,38,245489,0.0-11.0-5.6-1.6,Chrome,134.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1313,https://exponline.ugr.es/publix/939/982/start?srid=18097,652d1a0830b934d1643b80c5,23,33,Germany,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
7,1679.4000000003725,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/polar_bear_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,polar_bear,polar_bear_mooney_dot_on3,target,regular,pre,on,tzbstgs43tqjvuo,html-keyboard-response,42,248178,0.0-11.0-5.7-1.7,Chrome,134.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1313,https://exponline.ugr.es/publix/939/982/start?srid=18097,652d1a0830b934d1643b80c5,23,33,Germany,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
8,2248.2999999998137,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,9,0,dot,pomegranate,pomegranate_mooney_dot_off2,target,horizontal_flip,pre,off,tzbstgs43tqjvuo,html-keyboard-response,46,251439,0.0-11.0-5.8-1.8,Chrome,134.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1313,https://exponline.ugr.es/publix/939/982/start?srid=18097,652d1a0830b934d1643b80c5,23,33,Germany,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
9,1810.2000000001863,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/polar_bear_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,10,0,dot,polar_bear,polar_bear_mooney_dot_off2,target,regular,pre,off,tzbstgs43tqjvuo,html-keyboard-response,50,254260,0.0-11.0-5.9-1.9,Chrome,134.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1313,https://exponline.ugr.es/publix/939/982/start?srid=18097,652d1a0830b934d1643b80c5,23,33,Germany,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
10,1304.4000000003725,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,11,0,dot,pomegranate,pomegranate_mooney_dot_on3,target,horizontal_flip,pre,on,tzbstgs43tqjvuo,html-keyboard-response,54,256574,0.0-11.0-5.10-1.10,Chrome,134.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1313,https://exponline.ugr.es/publix/939/982/start?srid=18097,652d1a0830b934d1643b80c5,23,33,Germany,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
11,1142.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,12,0,dot,gargoyle,gargoyle_mooney_dot_off2,target,upside_down,pre,off,tzbstgs43tqjvuo,html-keyboard-response,58,258719,0.0-11.0-5.11-1.11,Chrome,134.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1313,https://exponline.ugr.es/publix/939/982/start?srid=18097,652d1a0830b934d1643b80c5,23,33,Germany,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
12,1630.8999999994412,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,13,0,dot,snail,snail_mooney_dot_on1,catch,regular,pre,on,tzbstgs43tqjvuo,html-keyboard-response,62,261365,0.0-11.0-5.12-1.12,Chrome,134.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1313,https://exponline.ugr.es/publix/939/982/start?srid=18097,652d1a0830b934d1643b80c5,23,33,Germany,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
13,1463.2999999998137,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,14,0,dot,gargoyle,gargoyle_mooney_dot_on1,target,upside_down,pre,on,tzbstgs43tqjvuo,html-keyboard-response,66,263843,0.0-11.0-5.13-1.13,Chrome,134.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1313,https://exponline.ugr.es/publix/939/982/start?srid=18097,652d1a0830b934d1643b80c5,23,33,Germany,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
14,2245.600000000559,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,15,0,dot,snail,snail_mooney_dot_on3,catch,regular,pre,on,tzbstgs43tqjvuo,html-keyboard-response,70,267094,0.0-11.0-5.14-1.14,Chrome,134.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1313,https://exponline.ugr.es/publix/939/982/start?srid=18097,652d1a0830b934d1643b80c5,23,33,Germany,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
15,1330.7000000001863,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,16,0,dot,pomegranate,pomegranate_mooney_dot_off4,target,horizontal_flip,pre,off,tzbstgs43tqjvuo,html-keyboard-response,74,269434,0.0-11.0-5.15-1.15,Chrome,134.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1313,https://exponline.ugr.es/publix/939/982/start?srid=18097,652d1a0830b934d1643b80c5,23,33,Germany,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
16,,,,17,0,recognition,snail,snail_mooney,catch,regular,pre,null,tzbstgs43tqjvuo,survey-text-autocomplete,82,293068,0.0-11.0-6.16-4.16,Chrome,134.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1313,https://exponline.ugr.es/publix/939/982/start?srid=18097,652d1a0830b934d1643b80c5,23,33,Germany,Male,Right-handed,Exp,Recognition,,,,"""timeout""",,,0.0
17,,,,18,0,recognition,pomegranate,pomegranate_mooney,target,horizontal_flip,pre,null,tzbstgs43tqjvuo,survey-text-autocomplete,89,301550,0.0-11.0-6.17-4.17,Chrome,134.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1313,https://exponline.ugr.es/publix/939/982/start?srid=18097,652d1a0830b934d1643b80c5,23,33,Germany,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""coaster""}",coaster,0.7413919210730793,0.0
18,,,,19,0,recognition,gargoyle,gargoyle_mooney,target,upside_down,pre,null,tzbstgs43tqjvuo,survey-text-autocomplete,96,312194,0.0-11.0-6.18-4.18,Chrome,134.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1313,https://exponline.ugr.es/publix/939/982/start?srid=18097,652d1a0830b934d1643b80c5,23,33,Germany,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""nail clippers""}",nail_clippers,0.8036367768062433,0.0
19,,,,20,0,recognition,polar_bear,polar_bear_mooney,target,regular,pre,null,tzbstgs43tqjvuo,survey-text-autocomplete,103,333820,0.0-11.0-6.19-4.19,Chrome,134.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1313,https://exponline.ugr.es/publix/939/982/start?srid=18097,652d1a0830b934d1643b80c5,23,33,Germany,Male,Right-handed,Exp,Recognition,,,,"""timeout""",,,0.0
20,,,,21,0,recognition,pomegranate,pomegranate,target,horizontal_flip,color,null,tzbstgs43tqjvuo,survey-text-autocomplete,110,347172,0.0-11.0-6.20-4.20,Chrome,134.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1313,https://exponline.ugr.es/publix/939/982/start?srid=18097,652d1a0830b934d1643b80c5,23,33,Germany,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""apple""}",apple,0.2973288504336473,0.0
21,,,,22,0,recognition,polar_bear,polar_bear,target,regular,color,null,tzbstgs43tqjvuo,survey-text-autocomplete,117,352387,0.0-11.0-6.21-4.21,Chrome,134.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1313,https://exponline.ugr.es/publix/939/982/start?srid=18097,652d1a0830b934d1643b80c5,23,33,Germany,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""ice bear""}",ice_bear,0.0,0.0
22,,,,23,0,recognition,gargoyle,gargoyle,target,upside_down,color,null,tzbstgs43tqjvuo,survey-text-autocomplete,124,357437,0.0-11.0-6.22-4.22,Chrome,134.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1313,https://exponline.ugr.es/publix/939/982/start?srid=18097,652d1a0830b934d1643b80c5,23,33,Germany,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""horse""}",horse,0.4254749505820893,0.0
23,4756.0999999996275,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_off6.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,24,1,dot,snail,snail_mooney_dot_off6,catch,regular,post,off,tzbstgs43tqjvuo,html-keyboard-response,130,368180,0.0-11.0-5.23-1.23,Chrome,134.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1313,https://exponline.ugr.es/publix/939/982/start?srid=18097,652d1a0830b934d1643b80c5,23,33,Germany,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
24,2422.2000000001863,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sardine_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,25,1,dot,sardine,sardine_mooney_dot_off4,target,horizontal_flip,pre,off,tzbstgs43tqjvuo,html-keyboard-response,134,371618,0.0-11.0-5.24-1.24,Chrome,134.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1313,https://exponline.ugr.es/publix/939/982/start?srid=18097,652d1a0830b934d1643b80c5,23,33,Germany,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
25,2939.7000000001863,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gutter_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,26,1,dot,gutter,gutter_mooney_dot_on1,catch,upside_down,pre,on,tzbstgs43tqjvuo,html-keyboard-response,138,375563,0.0-11.0-5.25-1.25,Chrome,134.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1313,https://exponline.ugr.es/publix/939/982/start?srid=18097,652d1a0830b934d1643b80c5,23,33,Germany,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
26,2831.600000000559,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/shears_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,27,1,dot,shears,shears_mooney_dot_off4,target,regular,pre,off,tzbstgs43tqjvuo,html-keyboard-response,142,379409,0.0-11.0-5.26-1.26,Chrome,134.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1313,https://exponline.ugr.es/publix/939/982/start?srid=18097,652d1a0830b934d1643b80c5,23,33,Germany,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
27,1564.3999999994412,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off6.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,28,1,dot,gargoyle,gargoyle_mooney_dot_off6,target,upside_down,post,off,tzbstgs43tqjvuo,html-keyboard-response,146,381980,0.0-11.0-5.27-1.27,Chrome,134.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1313,https://exponline.ugr.es/publix/939/982/start?srid=18097,652d1a0830b934d1643b80c5,23,33,Germany,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
28,2241.899999999441,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,29,1,dot,carriage,carriage_mooney_dot_on3,target,upside_down,pre,on,tzbstgs43tqjvuo,html-keyboard-response,150,385227,0.0-11.0-5.28-1.28,Chrome,134.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1313,https://exponline.ugr.es/publix/939/982/start?srid=18097,652d1a0830b934d1643b80c5,23,33,Germany,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
