index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,805,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puffin_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,1,0,dot,puffin,puffin_mooney_dot_off4,target,regular,pre,off,ubjdrx15svd7wtd,html-keyboard-response,14,362241,0.0-11.0-5.0-1.0,Firefox,137.0,Windows,10,undefined,undefined,1280 x 720,1280 x 559,https://exponline.ugr.es/publix/939/982/start?srid=18089,655c7ce1d62aad6d03c9de5c,19,33,Ukraine,Female,Right-handed,Exp,dot_recog,e,1,0,,,,
1,446,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/parking_meter_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,2,0,dot,parking_meter,parking_meter_mooney_dot_on3,catch,regular,pre,on,ubjdrx15svd7wtd,html-keyboard-response,18,363697,0.0-11.0-5.1-1.1,Firefox,137.0,Windows,10,undefined,undefined,1280 x 720,1280 x 559,https://exponline.ugr.es/publix/939/982/start?srid=18089,655c7ce1d62aad6d03c9de5c,19,33,Ukraine,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
2,394,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,3,0,dot,snail,snail_mooney_dot_off4,target,upside_down,pre,off,ubjdrx15svd7wtd,html-keyboard-response,22,365111,0.0-11.0-5.2-1.2,Firefox,137.0,Windows,10,undefined,undefined,1280 x 720,1280 x 559,https://exponline.ugr.es/publix/939/982/start?srid=18089,655c7ce1d62aad6d03c9de5c,19,33,Ukraine,Female,Right-handed,Exp,dot_recog,e,1,0,,,,
3,561,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puffin_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,4,0,dot,puffin,puffin_mooney_dot_on3,target,regular,pre,on,ubjdrx15svd7wtd,html-keyboard-response,26,366693,0.0-11.0-5.3-1.3,Firefox,137.0,Windows,10,undefined,undefined,1280 x 720,1280 x 559,https://exponline.ugr.es/publix/939/982/start?srid=18089,655c7ce1d62aad6d03c9de5c,19,33,Ukraine,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
4,944,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,5,0,dot,snail,snail_mooney_dot_off2,target,upside_down,pre,off,ubjdrx15svd7wtd,html-keyboard-response,30,368647,0.0-11.0-5.4-1.4,Firefox,137.0,Windows,10,undefined,undefined,1280 x 720,1280 x 559,https://exponline.ugr.es/publix/939/982/start?srid=18089,655c7ce1d62aad6d03c9de5c,19,33,Ukraine,Female,Right-handed,Exp,dot_recog,e,1,0,,,,
5,769,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/parking_meter_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,6,0,dot,parking_meter,parking_meter_mooney_dot_off4,catch,regular,pre,off,ubjdrx15svd7wtd,html-keyboard-response,34,370480,0.0-11.0-5.5-1.5,Firefox,137.0,Windows,10,undefined,undefined,1280 x 720,1280 x 559,https://exponline.ugr.es/publix/939/982/start?srid=18089,655c7ce1d62aad6d03c9de5c,19,33,Ukraine,Female,Right-handed,Exp,dot_recog,e,1,0,,,,
6,1177,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,7,0,dot,candelabra,candelabra_mooney_dot_on3,target,horizontal_flip,pre,on,ubjdrx15svd7wtd,html-keyboard-response,38,372671,0.0-11.0-5.6-1.6,Firefox,137.0,Windows,10,undefined,undefined,1280 x 720,1280 x 559,https://exponline.ugr.es/publix/939/982/start?srid=18089,655c7ce1d62aad6d03c9de5c,19,33,Ukraine,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
7,1986,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,8,0,dot,snail,snail_mooney_dot_on1,target,upside_down,pre,on,ubjdrx15svd7wtd,html-keyboard-response,42,375672,0.0-11.0-5.7-1.7,Firefox,137.0,Windows,10,undefined,undefined,1280 x 720,1280 x 559,https://exponline.ugr.es/publix/939/982/start?srid=18089,655c7ce1d62aad6d03c9de5c,19,33,Ukraine,Female,Right-handed,Exp,dot_recog,i,0,0,,,,
8,1243,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puffin_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,9,0,dot,puffin,puffin_mooney_dot_on1,target,regular,pre,on,ubjdrx15svd7wtd,html-keyboard-response,46,377927,0.0-11.0-5.8-1.8,Firefox,137.0,Windows,10,undefined,undefined,1280 x 720,1280 x 559,https://exponline.ugr.es/publix/939/982/start?srid=18089,655c7ce1d62aad6d03c9de5c,19,33,Ukraine,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
9,1220,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,10,0,dot,candelabra,candelabra_mooney_dot_off2,target,horizontal_flip,pre,off,ubjdrx15svd7wtd,html-keyboard-response,50,380157,0.0-11.0-5.9-1.9,Firefox,137.0,Windows,10,undefined,undefined,1280 x 720,1280 x 559,https://exponline.ugr.es/publix/939/982/start?srid=18089,655c7ce1d62aad6d03c9de5c,19,33,Ukraine,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
10,2171,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puffin_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,11,0,dot,puffin,puffin_mooney_dot_off2,target,regular,pre,off,ubjdrx15svd7wtd,html-keyboard-response,54,383335,0.0-11.0-5.10-1.10,Firefox,137.0,Windows,10,undefined,undefined,1280 x 720,1280 x 559,https://exponline.ugr.es/publix/939/982/start?srid=18089,655c7ce1d62aad6d03c9de5c,19,33,Ukraine,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
11,1271,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/parking_meter_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,12,0,dot,parking_meter,parking_meter_mooney_dot_off2,catch,regular,pre,off,ubjdrx15svd7wtd,html-keyboard-response,58,385614,0.0-11.0-5.11-1.11,Firefox,137.0,Windows,10,undefined,undefined,1280 x 720,1280 x 559,https://exponline.ugr.es/publix/939/982/start?srid=18089,655c7ce1d62aad6d03c9de5c,19,33,Ukraine,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
12,1056,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,13,0,dot,candelabra,candelabra_mooney_dot_on1,target,horizontal_flip,pre,on,ubjdrx15svd7wtd,html-keyboard-response,62,387688,0.0-11.0-5.12-1.12,Firefox,137.0,Windows,10,undefined,undefined,1280 x 720,1280 x 559,https://exponline.ugr.es/publix/939/982/start?srid=18089,655c7ce1d62aad6d03c9de5c,19,33,Ukraine,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
13,1202,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/parking_meter_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,14,0,dot,parking_meter,parking_meter_mooney_dot_on1,catch,regular,pre,on,ubjdrx15svd7wtd,html-keyboard-response,66,389910,0.0-11.0-5.13-1.13,Firefox,137.0,Windows,10,undefined,undefined,1280 x 720,1280 x 559,https://exponline.ugr.es/publix/939/982/start?srid=18089,655c7ce1d62aad6d03c9de5c,19,33,Ukraine,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
14,2006,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,15,0,dot,snail,snail_mooney_dot_on3,target,upside_down,pre,on,ubjdrx15svd7wtd,html-keyboard-response,70,392925,0.0-11.0-5.14-1.14,Firefox,137.0,Windows,10,undefined,undefined,1280 x 720,1280 x 559,https://exponline.ugr.es/publix/939/982/start?srid=18089,655c7ce1d62aad6d03c9de5c,19,33,Ukraine,Female,Right-handed,Exp,dot_recog,i,0,0,,,,
