index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,1,0,dot,bullet,bullet_mooney_dot_on1,target,regular,pre,on,ufljfgavpfmjdn8,html-keyboard-response,14,893521,0.0-11.0-5.0-1.0,Chrome,109.0,Windows,10,undefined,undefined,1093 x 615,695 x 394,https://exponline.ugr.es/publix/939/982/start?srid=18085,67d738afcc112db49163ed17,5,32,South Africa,Female,Right-handed,Exp,dot_recog,,0,0,,,,
1,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,2,0,dot,steak,steak_mooney_dot_off4,catch,regular,pre,off,ufljfgavpfmjdn8,html-keyboard-response,18,899548,0.0-11.0-5.1-1.1,Chrome,109.0,Windows,10,undefined,undefined,1093 x 615,695 x 394,https://exponline.ugr.es/publix/939/982/start?srid=18085,67d738afcc112db49163ed17,5,32,South Africa,Female,Right-handed,Exp,dot_recog,,0,1,,,,
2,3594.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,3,0,dot,eclair,eclair_mooney_dot_on1,target,horizontal_flip,pre,on,ufljfgavpfmjdn8,html-keyboard-response,22,904170,0.0-11.0-5.2-1.2,Chrome,109.0,Windows,10,undefined,undefined,1093 x 615,695 x 394,https://exponline.ugr.es/publix/939/982/start?srid=18085,67d738afcc112db49163ed17,5,32,South Africa,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
3,1843.7000000011176,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,4,0,dot,bullet,bullet_mooney_dot_off4,target,regular,pre,off,ufljfgavpfmjdn8,html-keyboard-response,26,907041,0.0-11.0-5.3-1.3,Chrome,109.0,Windows,10,undefined,undefined,1093 x 615,695 x 394,https://exponline.ugr.es/publix/939/982/start?srid=18085,67d738afcc112db49163ed17,5,32,South Africa,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
4,1907.9000000003725,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,5,0,dot,steak,steak_mooney_dot_off2,catch,regular,pre,off,ufljfgavpfmjdn8,html-keyboard-response,30,909969,0.0-11.0-5.4-1.4,Chrome,109.0,Windows,10,undefined,undefined,1093 x 615,695 x 394,https://exponline.ugr.es/publix/939/982/start?srid=18085,67d738afcc112db49163ed17,5,32,South Africa,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
5,1291.6000000014901,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,6,0,dot,eclair,eclair_mooney_dot_on3,target,horizontal_flip,pre,on,ufljfgavpfmjdn8,html-keyboard-response,34,912297,0.0-11.0-5.5-1.5,Chrome,109.0,Windows,10,undefined,undefined,1093 x 615,695 x 394,https://exponline.ugr.es/publix/939/982/start?srid=18085,67d738afcc112db49163ed17,5,32,South Africa,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
6,1725.199999999255,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,7,0,dot,surfboard,surfboard_mooney_dot_off2,target,upside_down,pre,off,ufljfgavpfmjdn8,html-keyboard-response,38,915049,0.0-11.0-5.6-1.6,Chrome,109.0,Windows,10,undefined,undefined,1093 x 615,695 x 394,https://exponline.ugr.es/publix/939/982/start?srid=18085,67d738afcc112db49163ed17,5,32,South Africa,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
7,937.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,8,0,dot,steak,steak_mooney_dot_on3,catch,regular,pre,on,ufljfgavpfmjdn8,html-keyboard-response,42,917011,0.0-11.0-5.7-1.7,Chrome,109.0,Windows,10,undefined,undefined,1093 x 615,695 x 394,https://exponline.ugr.es/publix/939/982/start?srid=18085,67d738afcc112db49163ed17,5,32,South Africa,Female,Right-handed,Exp,dot_recog,e,0,0,,,,
8,1100.4000000003725,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,9,0,dot,bullet,bullet_mooney_dot_on3,target,regular,pre,on,ufljfgavpfmjdn8,html-keyboard-response,46,919145,0.0-11.0-5.8-1.8,Chrome,109.0,Windows,10,undefined,undefined,1093 x 615,695 x 394,https://exponline.ugr.es/publix/939/982/start?srid=18085,67d738afcc112db49163ed17,5,32,South Africa,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
9,1090.8999999985099,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,10,0,dot,eclair,eclair_mooney_dot_off4,target,horizontal_flip,pre,off,ufljfgavpfmjdn8,html-keyboard-response,50,921273,0.0-11.0-5.9-1.9,Chrome,109.0,Windows,10,undefined,undefined,1093 x 615,695 x 394,https://exponline.ugr.es/publix/939/982/start?srid=18085,67d738afcc112db49163ed17,5,32,South Africa,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
