index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,1594.7999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,1,0,dot,surfboard,surfboard_mooney_dot_off2,target,upside_down,pre,off,ynnngwfwwkz23og,html-keyboard-response,14,1075132,0.0-11.0-5.0-1.0,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1528 x 746,https://exponline.ugr.es/publix/939/982/start?srid=18115,66912a8462eaad8d5bdb34be,6,29,South Africa,,,Exp,dot_recog,e,1,0,,,,
1,1167.1000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,2,0,dot,bat2,bat2_mooney_dot_off2,catch,regular,pre,off,ynnngwfwwkz23og,html-keyboard-response,18,1077319,0.0-11.0-5.1-1.1,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1528 x 746,https://exponline.ugr.es/publix/939/982/start?srid=18115,66912a8462eaad8d5bdb34be,6,29,South Africa,,,Exp,dot_recog,e,1,0,,,,
2,773.8999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,3,0,dot,missile,missile_mooney_dot_off4,target,regular,pre,off,ynnngwfwwkz23og,html-keyboard-response,22,1079110,0.0-11.0-5.2-1.2,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1528 x 746,https://exponline.ugr.es/publix/939/982/start?srid=18115,66912a8462eaad8d5bdb34be,6,29,South Africa,,,Exp,dot_recog,e,1,0,,,,
3,655.6000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,4,0,dot,surfboard,surfboard_mooney_dot_off4,target,upside_down,pre,off,ynnngwfwwkz23og,html-keyboard-response,26,1080790,0.0-11.0-5.3-1.3,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1528 x 746,https://exponline.ugr.es/publix/939/982/start?srid=18115,66912a8462eaad8d5bdb34be,6,29,South Africa,,,Exp,dot_recog,e,1,0,,,,
4,440.7000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,5,0,dot,bat2,bat2_mooney_dot_off4,catch,regular,pre,off,ynnngwfwwkz23og,html-keyboard-response,30,1082258,0.0-11.0-5.4-1.4,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1528 x 746,https://exponline.ugr.es/publix/939/982/start?srid=18115,66912a8462eaad8d5bdb34be,6,29,South Africa,,,Exp,dot_recog,e,1,0,,,,
5,403.3000000715256,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,6,0,dot,carriage,carriage_mooney_dot_off4,target,horizontal_flip,pre,off,ynnngwfwwkz23og,html-keyboard-response,34,1083686,0.0-11.0-5.5-1.5,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1528 x 746,https://exponline.ugr.es/publix/939/982/start?srid=18115,66912a8462eaad8d5bdb34be,6,29,South Africa,,,Exp,dot_recog,e,1,0,,,,
6,286.1999999284744,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,7,0,dot,missile,missile_mooney_dot_off2,target,regular,pre,off,ynnngwfwwkz23og,html-keyboard-response,38,1084987,0.0-11.0-5.6-1.6,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1528 x 746,https://exponline.ugr.es/publix/939/982/start?srid=18115,66912a8462eaad8d5bdb34be,6,29,South Africa,,,Exp,dot_recog,e,1,0,,,,
7,781.7999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,8,0,dot,carriage,carriage_mooney_dot_on1,target,horizontal_flip,pre,on,ynnngwfwwkz23og,html-keyboard-response,42,1086795,0.0-11.0-5.7-1.7,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1528 x 746,https://exponline.ugr.es/publix/939/982/start?srid=18115,66912a8462eaad8d5bdb34be,6,29,South Africa,,,Exp,dot_recog,e,1,1,,,,
8,362,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,9,0,dot,bat2,bat2_mooney_dot_on3,catch,regular,pre,on,ynnngwfwwkz23og,html-keyboard-response,46,1088178,0.0-11.0-5.8-1.8,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1528 x 746,https://exponline.ugr.es/publix/939/982/start?srid=18115,66912a8462eaad8d5bdb34be,6,29,South Africa,,,Exp,dot_recog,e,1,1,,,,
9,329.1999999284744,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,10,0,dot,surfboard,surfboard_mooney_dot_on1,target,upside_down,pre,on,ynnngwfwwkz23og,html-keyboard-response,50,1089533,0.0-11.0-5.9-1.9,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1528 x 746,https://exponline.ugr.es/publix/939/982/start?srid=18115,66912a8462eaad8d5bdb34be,6,29,South Africa,,,Exp,dot_recog,e,1,1,,,,
10,863.1999999284744,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,11,0,dot,missile,missile_mooney_dot_on1,target,regular,pre,on,ynnngwfwwkz23og,html-keyboard-response,54,1091415,0.0-11.0-5.10-1.10,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1528 x 746,https://exponline.ugr.es/publix/939/982/start?srid=18115,66912a8462eaad8d5bdb34be,6,29,South Africa,,,Exp,dot_recog,e,1,1,,,,
11,518.3000000715256,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,12,0,dot,carriage,carriage_mooney_dot_on3,target,horizontal_flip,pre,on,ynnngwfwwkz23og,html-keyboard-response,58,1092958,0.0-11.0-5.11-1.11,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1528 x 746,https://exponline.ugr.es/publix/939/982/start?srid=18115,66912a8462eaad8d5bdb34be,6,29,South Africa,,,Exp,dot_recog,e,1,1,,,,
12,566.7000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,13,0,dot,bat2,bat2_mooney_dot_on1,catch,regular,pre,on,ynnngwfwwkz23og,html-keyboard-response,62,1094547,0.0-11.0-5.12-1.12,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1528 x 746,https://exponline.ugr.es/publix/939/982/start?srid=18115,66912a8462eaad8d5bdb34be,6,29,South Africa,,,Exp,dot_recog,e,1,1,,,,
