index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,verbal_id,semantic_distance,verbal_acc_corrected
14,,,,,,html-keyboard-response,14,404101,0.0-11.0-5.0-1.0,Chrome,131.0,Linux,,undefined,undefined,360 x 825,980 x 1900,zvrmwzhhkbf7nqb,https://exponline.ugr.es/publix/939/982/start?srid=18116,656c8bf46599eb729c0ade1c,27,34,South Africa,Female,Right-handed,,4917.700000001118,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,1,0,dot,buoy,buoy_mooney_dot_off2,catch,regular,pre,off,Exp,dot_recog,e,1,0,,,
18,,,,,,html-keyboard-response,18,410141,0.0-11.0-5.1-1.1,Chrome,131.0,Linux,,undefined,undefined,360 x 825,980 x 1900,zvrmwzhhkbf7nqb,https://exponline.ugr.es/publix/939/982/start?srid=18116,656c8bf46599eb729c0ade1c,27,34,South Africa,Female,Right-handed,,null,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,2,0,dot,bat2,bat2_mooney_dot_on1,target,regular,pre,on,Exp,dot_recog,,0,0,,,
22,,,,,,html-keyboard-response,22,413646,0.0-11.0-5.2-1.2,Chrome,131.0,Linux,,undefined,undefined,360 x 825,980 x 1900,zvrmwzhhkbf7nqb,https://exponline.ugr.es/publix/939/982/start?srid=18116,656c8bf46599eb729c0ade1c,27,34,South Africa,Female,Right-handed,,2468.300000000745,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pedal_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,3,0,dot,pedal,pedal_mooney_dot_on3,target,horizontal_flip,pre,on,Exp,dot_recog,i,0,0,,,
26,,,,,,html-keyboard-response,26,419004,0.0-11.0-5.3-1.3,Chrome,131.0,Linux,,undefined,undefined,360 x 825,980 x 1900,zvrmwzhhkbf7nqb,https://exponline.ugr.es/publix/939/982/start?srid=18116,656c8bf46599eb729c0ade1c,27,34,South Africa,Female,Right-handed,,4340.4000000003725,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,4,0,dot,banana_peel,banana_peel_mooney_dot_on1,target,upside_down,pre,on,Exp,dot_recog,e,1,1,,,
30,,,,,,html-keyboard-response,30,424392,0.0-11.0-5.4-1.4,Chrome,131.0,Linux,,undefined,undefined,360 x 825,980 x 1900,zvrmwzhhkbf7nqb,https://exponline.ugr.es/publix/939/982/start?srid=18116,656c8bf46599eb729c0ade1c,27,34,South Africa,Female,Right-handed,,4355.699999999255,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pedal_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,5,0,dot,pedal,pedal_mooney_dot_off2,target,horizontal_flip,pre,off,Exp,dot_recog,i,0,1,,,
34,,,,,,html-keyboard-response,34,430425,0.0-11.0-5.5-1.5,Chrome,131.0,Linux,,undefined,undefined,360 x 825,980 x 1900,zvrmwzhhkbf7nqb,https://exponline.ugr.es/publix/939/982/start?srid=18116,656c8bf46599eb729c0ade1c,27,34,South Africa,Female,Right-handed,,null,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,6,0,dot,buoy,buoy_mooney_dot_on3,catch,regular,pre,on,Exp,dot_recog,,0,0,,,
38,,,,,,html-keyboard-response,38,433252,0.0-11.0-5.6-1.6,Chrome,131.0,Linux,,undefined,undefined,360 x 825,980 x 1900,zvrmwzhhkbf7nqb,https://exponline.ugr.es/publix/939/982/start?srid=18116,656c8bf46599eb729c0ade1c,27,34,South Africa,Female,Right-handed,,1787,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,7,0,dot,bat2,bat2_mooney_dot_off2,target,regular,pre,off,Exp,dot_recog,i,0,1,,,
42,,,,,,html-keyboard-response,42,438168,0.0-11.0-5.7-1.7,Chrome,131.0,Linux,,undefined,undefined,360 x 825,980 x 1900,zvrmwzhhkbf7nqb,https://exponline.ugr.es/publix/939/982/start?srid=18116,656c8bf46599eb729c0ade1c,27,34,South Africa,Female,Right-handed,,3873,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,8,0,dot,banana_peel,banana_peel_mooney_dot_off4,target,upside_down,pre,off,Exp,dot_recog,i,0,1,,,
46,,,,,,html-keyboard-response,46,443066,0.0-11.0-5.8-1.8,Chrome,131.0,Linux,,undefined,undefined,360 x 825,980 x 1900,zvrmwzhhkbf7nqb,https://exponline.ugr.es/publix/939/982/start?srid=18116,656c8bf46599eb729c0ade1c,27,34,South Africa,Female,Right-handed,,3860.7999999988824,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,9,0,dot,bat2,bat2_mooney_dot_off4,target,regular,pre,off,Exp,dot_recog,i,0,1,,,
50,,,,,,html-keyboard-response,50,446246,0.0-11.0-5.9-1.9,Chrome,131.0,Linux,,undefined,undefined,360 x 825,980 x 1900,zvrmwzhhkbf7nqb,https://exponline.ugr.es/publix/939/982/start?srid=18116,656c8bf46599eb729c0ade1c,27,34,South Africa,Female,Right-handed,,2146,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,10,0,dot,buoy,buoy_mooney_dot_on1,catch,regular,pre,on,Exp,dot_recog,e,1,1,,,
