block,image_id,image_type,manipulation,phase,subject,verbal_id,semantic_distance,verbal_acc_corrected
0,candelabra,target,horizontal_flip,pre,1aja6boa7x3hust,,,0.0
0,drill,target,regular,pre,1aja6boa7x3hust,eagle,0.7164718662751794,0.0
0,axe,target,upside_down,pre,1aja6boa7x3hust,,,0.0
1,candelabra,target,horizontal_flip,post,1aja6boa7x3hust,table,0.7139115276000704,0.0
1,sidecar,target,regular,pre,1aja6boa7x3hust,leaf,0.826099271328212,0.0
1,axe,target,upside_down,post,1aja6boa7x3hust,saw,0.6855678533392967,0.0
1,drill,target,regular,post,1aja6boa7x3hust,chainsaw,0.5635391556822258,0.0
1,puddle,target,horizontal_flip,pre,1aja6boa7x3hust,candle_holder,0.7634552189023517,0.0
1,shears,target,upside_down,pre,1aja6boa7x3hust,axe,0.611396416296783,0.0
2,garlic,target,horizontal_flip,pre,1aja6boa7x3hust,palm_tree,0.6572229509029488,0.0
2,pedal,target,regular,pre,1aja6boa7x3hust,engine,0.504155994023623,0.0
2,sidecar,target,regular,post,1aja6boa7x3hust,leaf,0.826099271328212,0.0
2,shears,target,upside_down,post,1aja6boa7x3hust,axe,0.611396416296783,0.0
2,puddle,target,horizontal_flip,post,1aja6boa7x3hust,puddle,0.0,1.0
2,peanut_butter,target,upside_down,pre,1aja6boa7x3hust,bowl,0.5575551239533691,0.0
3,peanut_butter,target,upside_down,post,1aja6boa7x3hust,bowl,0.5575551239533691,0.0
3,pedal,target,regular,post,1aja6boa7x3hust,pedal,0.0,1.0
3,football_helmet,target,horizontal_flip,pre,1aja6boa7x3hust,trumpet,0.7306125734056153,0.0
3,dumbbell,target,upside_down,pre,1aja6boa7x3hust,car,0.7023951507166599,0.0
3,garlic,target,horizontal_flip,post,1aja6boa7x3hust,palm_tree,0.6572229509029488,0.0
3,punching_bag,target,regular,pre,1aja6boa7x3hust,,,0.0
4,ginger,target,regular,pre,1aja6boa7x3hust,garlic,0.2173212168861061,0.0
4,football_helmet,target,horizontal_flip,post,1aja6boa7x3hust,motorcycle,0.7224632287623197,0.0
4,punching_bag,target,regular,post,1aja6boa7x3hust,punching_bag,0.0,1.0
4,figurine,target,horizontal_flip,pre,1aja6boa7x3hust,flower,0.7096927934070311,0.0
4,dumbbell,target,upside_down,post,1aja6boa7x3hust,,,0.0
4,bat2,target,upside_down,pre,1aja6boa7x3hust,shears,0.7606540691629708,0.0
5,bat2,target,upside_down,post,1aja6boa7x3hust,pliers,0.6987641227132797,0.0
5,figurine,target,horizontal_flip,post,1aja6boa7x3hust,statue,0.3070334127513943,0.0
5,ginger,target,regular,post,1aja6boa7x3hust,rock,0.7443335511114154,0.0
0,candelabra,target,horizontal_flip,pre,3tkzt9a5x886omy,tree,0.5190020826731734,0.0
0,drill,target,regular,pre,3tkzt9a5x886omy,plane,0.739208748378307,0.0
0,axe,target,upside_down,pre,3tkzt9a5x886omy,grate,0.7219324315233362,0.0
1,candelabra,target,horizontal_flip,post,3tkzt9a5x886omy,candlestick,0.3038730226832967,0.0
1,sidecar,target,regular,pre,3tkzt9a5x886omy,plant,0.8392176833078838,0.0
1,axe,target,upside_down,post,3tkzt9a5x886omy,tree,0.703635804904527,0.0
1,drill,target,regular,post,3tkzt9a5x886omy,drill,0.0,1.0
1,puddle,target,horizontal_flip,pre,3tkzt9a5x886omy,,,0.0
1,shears,target,upside_down,pre,3tkzt9a5x886omy,branch,0.6605064996946217,0.0
2,garlic,target,horizontal_flip,pre,3tkzt9a5x886omy,plant,0.6532655752411112,0.0
2,pedal,target,regular,pre,3tkzt9a5x886omy,typewriter,0.6090410856004616,0.0
2,sidecar,target,regular,post,3tkzt9a5x886omy,duck,0.6316163791703157,0.0
2,shears,target,upside_down,post,3tkzt9a5x886omy,tree,0.6466312142436145,0.0
2,puddle,target,horizontal_flip,post,3tkzt9a5x886omy,puddle,0.0,1.0
2,peanut_butter,target,upside_down,pre,3tkzt9a5x886omy,fruit,0.5463665766522041,0.0
3,peanut_butter,target,upside_down,post,3tkzt9a5x886omy,bowl,0.5575551239533691,0.0
3,pedal,target,regular,post,3tkzt9a5x886omy,pedal,0.0,1.0
3,football_helmet,target,horizontal_flip,pre,3tkzt9a5x886omy,car,0.7010231342956577,0.0
3,dumbbell,target,upside_down,pre,3tkzt9a5x886omy,barbell,0.2222306745175484,0.0
3,garlic,target,horizontal_flip,post,3tkzt9a5x886omy,garlic,0.0,1.0
3,punching_bag,target,regular,pre,3tkzt9a5x886omy,box,0.7330467778351744,0.0
