index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,1201,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/garlic_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,1,0,dot,garlic,garlic_mooney_dot_on1,target,upside_down,pre,on,0c5ljea8glufpof,html-keyboard-response,14,197709,0.0-11.0-5.0-1.0,Firefox,128.0,Windows,10,undefined,undefined,2560 x 1440,2504 x 1314,https://exponline.ugr.es/publix/939/997/start?srid=18359,606a4d49b88576f14fee35c1,32,31,Canada,Male,Left-handed,Exp,dot_recog,i,0,0,,,,
1,509,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,2,0,dot,buoy,buoy_mooney_dot_off4,target,regular,pre,off,0c5ljea8glufpof,html-keyboard-response,18,199234,0.0-11.0-5.1-1.1,Firefox,128.0,Windows,10,undefined,undefined,2560 x 1440,2504 x 1314,https://exponline.ugr.es/publix/939/997/start?srid=18359,606a4d49b88576f14fee35c1,32,31,Canada,Male,Left-handed,Exp,dot_recog,e,1,0,,,,
2,929,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/parking_meter_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,3,0,dot,parking_meter,parking_meter_mooney_dot_off2,target,horizontal_flip,pre,off,0c5ljea8glufpof,html-keyboard-response,22,201171,0.0-11.0-5.2-1.2,Firefox,128.0,Windows,10,undefined,undefined,2560 x 1440,2504 x 1314,https://exponline.ugr.es/publix/939/997/start?srid=18359,606a4d49b88576f14fee35c1,32,31,Canada,Male,Left-handed,Exp,dot_recog,i,0,1,,,,
3,1040,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,4,0,dot,gargoyle,gargoyle_mooney_dot_on1,catch,regular,pre,on,0c5ljea8glufpof,html-keyboard-response,26,203227,0.0-11.0-5.3-1.3,Firefox,128.0,Windows,10,undefined,undefined,2560 x 1440,2504 x 1314,https://exponline.ugr.es/publix/939/997/start?srid=18359,606a4d49b88576f14fee35c1,32,31,Canada,Male,Left-handed,Exp,dot_recog,e,1,1,,,,
4,987,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/parking_meter_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,5,0,dot,parking_meter,parking_meter_mooney_dot_off4,target,horizontal_flip,pre,off,0c5ljea8glufpof,html-keyboard-response,30,205226,0.0-11.0-5.4-1.4,Firefox,128.0,Windows,10,undefined,undefined,2560 x 1440,2504 x 1314,https://exponline.ugr.es/publix/939/997/start?srid=18359,606a4d49b88576f14fee35c1,32,31,Canada,Male,Left-handed,Exp,dot_recog,i,0,1,,,,
5,876,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,6,0,dot,buoy,buoy_mooney_dot_on3,target,regular,pre,on,0c5ljea8glufpof,html-keyboard-response,34,207114,0.0-11.0-5.5-1.5,Firefox,128.0,Windows,10,undefined,undefined,2560 x 1440,2504 x 1314,https://exponline.ugr.es/publix/939/997/start?srid=18359,606a4d49b88576f14fee35c1,32,31,Canada,Male,Left-handed,Exp,dot_recog,e,1,1,,,,
6,905,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,7,0,dot,gargoyle,gargoyle_mooney_dot_off2,catch,regular,pre,off,0c5ljea8glufpof,html-keyboard-response,38,209032,0.0-11.0-5.6-1.6,Firefox,128.0,Windows,10,undefined,undefined,2560 x 1440,2504 x 1314,https://exponline.ugr.es/publix/939/997/start?srid=18359,606a4d49b88576f14fee35c1,32,31,Canada,Male,Left-handed,Exp,dot_recog,i,0,1,,,,
7,738,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/parking_meter_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,8,0,dot,parking_meter,parking_meter_mooney_dot_on1,target,horizontal_flip,pre,on,0c5ljea8glufpof,html-keyboard-response,42,210785,0.0-11.0-5.7-1.7,Firefox,128.0,Windows,10,undefined,undefined,2560 x 1440,2504 x 1314,https://exponline.ugr.es/publix/939/997/start?srid=18359,606a4d49b88576f14fee35c1,32,31,Canada,Male,Left-handed,Exp,dot_recog,e,1,1,,,,
8,1146,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/garlic_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,9,0,dot,garlic,garlic_mooney_dot_off2,target,upside_down,pre,off,0c5ljea8glufpof,html-keyboard-response,46,212941,0.0-11.0-5.8-1.8,Firefox,128.0,Windows,10,undefined,undefined,2560 x 1440,2504 x 1314,https://exponline.ugr.es/publix/939/997/start?srid=18359,606a4d49b88576f14fee35c1,32,31,Canada,Male,Left-handed,Exp,dot_recog,e,1,0,,,,
9,747,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,10,0,dot,buoy,buoy_mooney_dot_off2,target,regular,pre,off,0c5ljea8glufpof,html-keyboard-response,50,214697,0.0-11.0-5.9-1.9,Firefox,128.0,Windows,10,undefined,undefined,2560 x 1440,2504 x 1314,https://exponline.ugr.es/publix/939/997/start?srid=18359,606a4d49b88576f14fee35c1,32,31,Canada,Male,Left-handed,Exp,dot_recog,e,1,0,,,,
10,1186,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,11,0,dot,gargoyle,gargoyle_mooney_dot_on3,catch,regular,pre,on,0c5ljea8glufpof,html-keyboard-response,54,216894,0.0-11.0-5.10-1.10,Firefox,128.0,Windows,10,undefined,undefined,2560 x 1440,2504 x 1314,https://exponline.ugr.es/publix/939/997/start?srid=18359,606a4d49b88576f14fee35c1,32,31,Canada,Male,Left-handed,Exp,dot_recog,i,0,0,,,,
11,608,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/parking_meter_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,12,0,dot,parking_meter,parking_meter_mooney_dot_on3,target,horizontal_flip,pre,on,0c5ljea8glufpof,html-keyboard-response,58,218509,0.0-11.0-5.11-1.11,Firefox,128.0,Windows,10,undefined,undefined,2560 x 1440,2504 x 1314,https://exponline.ugr.es/publix/939/997/start?srid=18359,606a4d49b88576f14fee35c1,32,31,Canada,Male,Left-handed,Exp,dot_recog,e,1,1,,,,
12,639,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,13,0,dot,buoy,buoy_mooney_dot_on1,target,regular,pre,on,0c5ljea8glufpof,html-keyboard-response,62,220161,0.0-11.0-5.12-1.12,Firefox,128.0,Windows,10,undefined,undefined,2560 x 1440,2504 x 1314,https://exponline.ugr.es/publix/939/997/start?srid=18359,606a4d49b88576f14fee35c1,32,31,Canada,Male,Left-handed,Exp,dot_recog,e,1,1,,,,
13,879,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/garlic_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,14,0,dot,garlic,garlic_mooney_dot_on3,target,upside_down,pre,on,0c5ljea8glufpof,html-keyboard-response,66,222050,0.0-11.0-5.13-1.13,Firefox,128.0,Windows,10,undefined,undefined,2560 x 1440,2504 x 1314,https://exponline.ugr.es/publix/939/997/start?srid=18359,606a4d49b88576f14fee35c1,32,31,Canada,Male,Left-handed,Exp,dot_recog,i,0,0,,,,
14,1160,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,15,0,dot,gargoyle,gargoyle_mooney_dot_off4,catch,regular,pre,off,0c5ljea8glufpof,html-keyboard-response,70,224223,0.0-11.0-5.14-1.14,Firefox,128.0,Windows,10,undefined,undefined,2560 x 1440,2504 x 1314,https://exponline.ugr.es/publix/939/997/start?srid=18359,606a4d49b88576f14fee35c1,32,31,Canada,Male,Left-handed,Exp,dot_recog,e,1,0,,,,
15,2454,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/garlic_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,16,0,dot,garlic,garlic_mooney_dot_off4,target,upside_down,pre,off,0c5ljea8glufpof,html-keyboard-response,74,227684,0.0-11.0-5.15-1.15,Firefox,128.0,Windows,10,undefined,undefined,2560 x 1440,2504 x 1314,https://exponline.ugr.es/publix/939/997/start?srid=18359,606a4d49b88576f14fee35c1,32,31,Canada,Male,Left-handed,Exp,dot_recog,e,1,0,,,,
16,,,,17,0,recognition,buoy,buoy_mooney,target,regular,pre,null,0c5ljea8glufpof,survey-text-autocomplete,82,238149,0.0-11.0-6.16-4.16,Firefox,128.0,Windows,10,undefined,undefined,2560 x 1440,2504 x 1314,https://exponline.ugr.es/publix/939/997/start?srid=18359,606a4d49b88576f14fee35c1,32,31,Canada,Male,Left-handed,Exp,Recognition,,,,"{""recognition"":""ball""}",ball,0.7339549516783258,0.0
