index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,scale_factor,win_width_deg,win_height_deg,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,verbal_id,semantic_distance,verbal_acc_corrected
14,,,,,,html-keyboard-response,14,382112,0.0-11.0-5.0-1.0,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 559,0sh5n3y8od84crq,https://exponline.ugr.es/publix/939/997/start?srid=18441,651fbf405f6a2b4756a93b5a,32,31,Nigeria,Female,Right-handed,,null,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/garlic_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",null,1,0,dot,garlic,garlic_mooney_dot_on1,target,upside_down,pre,on,Exp,dot_recog,,0,0,,,
18,,,,,,html-keyboard-response,18,388121,0.0-11.0-5.1-1.1,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 559,0sh5n3y8od84crq,https://exponline.ugr.es/publix/939/997/start?srid=18441,651fbf405f6a2b4756a93b5a,32,31,Nigeria,Female,Right-handed,,null,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,2,0,dot,buoy,buoy_mooney_dot_off4,target,regular,pre,off,Exp,dot_recog,,0,1,,,
22,,,,,,html-keyboard-response,22,392092,0.0-11.0-5.2-1.2,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 559,0sh5n3y8od84crq,https://exponline.ugr.es/publix/939/997/start?srid=18441,651fbf405f6a2b4756a93b5a,32,31,Nigeria,Female,Right-handed,,2964.600000023842,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/parking_meter_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,3,0,dot,parking_meter,parking_meter_mooney_dot_off2,target,horizontal_flip,pre,off,Exp,dot_recog,e,1,0,,,
26,,,,,,html-keyboard-response,26,394634,0.0-11.0-5.3-1.3,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 559,0sh5n3y8od84crq,https://exponline.ugr.es/publix/939/997/start?srid=18441,651fbf405f6a2b4756a93b5a,32,31,Nigeria,Female,Right-handed,,1535.8999999761581,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,4,0,dot,gargoyle,gargoyle_mooney_dot_on1,catch,regular,pre,on,Exp,dot_recog,i,0,0,,,
30,,,,,,html-keyboard-response,30,396390,0.0-11.0-5.4-1.4,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 559,0sh5n3y8od84crq,https://exponline.ugr.es/publix/939/997/start?srid=18441,651fbf405f6a2b4756a93b5a,32,31,Nigeria,Female,Right-handed,,748.6000000238419,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/parking_meter_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,5,0,dot,parking_meter,parking_meter_mooney_dot_off4,target,horizontal_flip,pre,off,Exp,dot_recog,e,1,0,,,
34,,,,,,html-keyboard-response,34,399031,0.0-11.0-5.5-1.5,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 559,0sh5n3y8od84crq,https://exponline.ugr.es/publix/939/997/start?srid=18441,651fbf405f6a2b4756a93b5a,32,31,Nigeria,Female,Right-handed,,1634.800000011921,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,6,0,dot,buoy,buoy_mooney_dot_on3,target,regular,pre,on,Exp,dot_recog,e,1,1,,,
38,,,,,,html-keyboard-response,38,400969,0.0-11.0-5.6-1.6,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 559,0sh5n3y8od84crq,https://exponline.ugr.es/publix/939/997/start?srid=18441,651fbf405f6a2b4756a93b5a,32,31,Nigeria,Female,Right-handed,,931.6999999880791,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,7,0,dot,gargoyle,gargoyle_mooney_dot_off2,catch,regular,pre,off,Exp,dot_recog,i,0,1,,,
42,,,,,,html-keyboard-response,42,404104,0.0-11.0-5.7-1.7,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 559,0sh5n3y8od84crq,https://exponline.ugr.es/publix/939/997/start?srid=18441,651fbf405f6a2b4756a93b5a,32,31,Nigeria,Female,Right-handed,,2127.5,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/parking_meter_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,8,0,dot,parking_meter,parking_meter_mooney_dot_on1,target,horizontal_flip,pre,on,Exp,dot_recog,e,1,1,,,
46,,,,,,html-keyboard-response,46,405868,0.0-11.0-5.8-1.8,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 559,0sh5n3y8od84crq,https://exponline.ugr.es/publix/939/997/start?srid=18441,651fbf405f6a2b4756a93b5a,32,31,Nigeria,Female,Right-handed,,757.8000000119209,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/garlic_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,9,0,dot,garlic,garlic_mooney_dot_off2,target,upside_down,pre,off,Exp,dot_recog,e,1,0,,,
50,,,,,,html-keyboard-response,50,407731,0.0-11.0-5.9-1.9,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 559,0sh5n3y8od84crq,https://exponline.ugr.es/publix/939/997/start?srid=18441,651fbf405f6a2b4756a93b5a,32,31,Nigeria,Female,Right-handed,,856.8000000119209,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,10,0,dot,buoy,buoy_mooney_dot_off2,target,regular,pre,off,Exp,dot_recog,e,1,0,,,
