index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,1,0,dot,grasshopper,grasshopper_mooney_dot_on1,catch,regular,pre,on,0wcexbo0alo8y6k,html-keyboard-response,14,213992,0.0-11.0-5.0-1.0,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18416,56c6d88e0fa600000d5cfdef,11,37,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,0,,,,
1,3204.399999856949,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,2,0,dot,egg_roll,egg_roll_mooney_dot_off4,target,regular,pre,off,0wcexbo0alo8y6k,html-keyboard-response,18,218209,0.0-11.0-5.1-1.1,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18416,56c6d88e0fa600000d5cfdef,11,37,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
2,1917.2999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,3,0,dot,snail,snail_mooney_dot_off2,target,horizontal_flip,pre,off,0wcexbo0alo8y6k,html-keyboard-response,22,221137,0.0-11.0-5.2-1.2,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18416,56c6d88e0fa600000d5cfdef,11,37,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
3,2971.0999999046326,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,4,0,dot,egg_roll,egg_roll_mooney_dot_on1,target,regular,pre,on,0wcexbo0alo8y6k,html-keyboard-response,26,225121,0.0-11.0-5.3-1.3,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18416,56c6d88e0fa600000d5cfdef,11,37,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
4,1309.3000001907349,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,5,0,dot,scarf,scarf_mooney_dot_off4,target,upside_down,pre,off,0wcexbo0alo8y6k,html-keyboard-response,30,227440,0.0-11.0-5.4-1.4,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18416,56c6d88e0fa600000d5cfdef,11,37,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
5,2174.2000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,6,0,dot,grasshopper,grasshopper_mooney_dot_off4,catch,regular,pre,off,0wcexbo0alo8y6k,html-keyboard-response,34,230625,0.0-11.0-5.5-1.5,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18416,56c6d88e0fa600000d5cfdef,11,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
6,2450.600000143051,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,7,0,dot,snail,snail_mooney_dot_off4,target,horizontal_flip,pre,off,0wcexbo0alo8y6k,html-keyboard-response,38,234080,0.0-11.0-5.6-1.6,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18416,56c6d88e0fa600000d5cfdef,11,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
7,1767.2999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,8,0,dot,egg_roll,egg_roll_mooney_dot_off2,target,regular,pre,off,0wcexbo0alo8y6k,html-keyboard-response,42,236864,0.0-11.0-5.7-1.7,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18416,56c6d88e0fa600000d5cfdef,11,37,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
8,1151.3000001907349,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,9,0,dot,scarf,scarf_mooney_dot_on3,target,upside_down,pre,on,0wcexbo0alo8y6k,html-keyboard-response,46,239024,0.0-11.0-5.8-1.8,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18416,56c6d88e0fa600000d5cfdef,11,37,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
9,2131.2999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,10,0,dot,grasshopper,grasshopper_mooney_dot_off2,catch,regular,pre,off,0wcexbo0alo8y6k,html-keyboard-response,50,242161,0.0-11.0-5.9-1.9,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18416,56c6d88e0fa600000d5cfdef,11,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
10,1616.9000000953674,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,11,0,dot,egg_roll,egg_roll_mooney_dot_on3,target,regular,pre,on,0wcexbo0alo8y6k,html-keyboard-response,54,244784,0.0-11.0-5.10-1.10,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18416,56c6d88e0fa600000d5cfdef,11,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
11,822.7999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,12,0,dot,scarf,scarf_mooney_dot_on1,target,upside_down,pre,on,0wcexbo0alo8y6k,html-keyboard-response,58,246624,0.0-11.0-5.11-1.11,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18416,56c6d88e0fa600000d5cfdef,11,37,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
12,1255.6000001430511,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,13,0,dot,grasshopper,grasshopper_mooney_dot_on3,catch,regular,pre,on,0wcexbo0alo8y6k,html-keyboard-response,62,248896,0.0-11.0-5.12-1.12,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18416,56c6d88e0fa600000d5cfdef,11,37,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
13,3140.899999856949,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,14,0,dot,snail,snail_mooney_dot_on1,target,horizontal_flip,pre,on,0wcexbo0alo8y6k,html-keyboard-response,66,253057,0.0-11.0-5.13-1.13,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18416,56c6d88e0fa600000d5cfdef,11,37,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
14,2518.2000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,15,0,dot,scarf,scarf_mooney_dot_off2,target,upside_down,pre,off,0wcexbo0alo8y6k,html-keyboard-response,70,256592,0.0-11.0-5.14-1.14,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18416,56c6d88e0fa600000d5cfdef,11,37,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
15,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,16,0,dot,snail,snail_mooney_dot_on3,target,horizontal_flip,pre,on,0wcexbo0alo8y6k,html-keyboard-response,74,262606,0.0-11.0-5.15-1.15,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18416,56c6d88e0fa600000d5cfdef,11,37,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,0,,,,
16,,,,17,0,recognition,scarf,scarf_mooney,target,upside_down,pre,null,0wcexbo0alo8y6k,survey-text-autocomplete,82,279798,0.0-11.0-6.16-4.16,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18416,56c6d88e0fa600000d5cfdef,11,37,United Kingdom,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""shark""}",shark,0.7990822478984415,0.0
17,,,,18,0,recognition,egg_roll,egg_roll_mooney,target,regular,pre,null,0wcexbo0alo8y6k,survey-text-autocomplete,89,289594,0.0-11.0-6.17-4.17,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18416,56c6d88e0fa600000d5cfdef,11,37,United Kingdom,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""lizard""}",lizard,0.5855174211485282,0.0
18,,,,19,0,recognition,grasshopper,grasshopper_mooney,catch,regular,pre,null,0wcexbo0alo8y6k,survey-text-autocomplete,96,296273,0.0-11.0-6.18-4.18,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18416,56c6d88e0fa600000d5cfdef,11,37,United Kingdom,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""stingray""}",stingray,0.5283462492423221,0.0
19,,,,20,0,recognition,snail,snail_mooney,target,horizontal_flip,pre,null,0wcexbo0alo8y6k,survey-text-autocomplete,103,304809,0.0-11.0-6.19-4.19,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18416,56c6d88e0fa600000d5cfdef,11,37,United Kingdom,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""squid""}",squid,0.5271642545969233,0.0
20,,,,21,0,recognition,egg_roll,egg_roll,target,regular,color,null,0wcexbo0alo8y6k,survey-text-autocomplete,110,314057,0.0-11.0-6.20-4.20,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18416,56c6d88e0fa600000d5cfdef,11,37,United Kingdom,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""spring roll""}",spring_roll,0.0,0.0
21,,,,22,0,recognition,scarf,scarf,target,upside_down,color,null,0wcexbo0alo8y6k,survey-text-autocomplete,117,322419,0.0-11.0-6.21-4.21,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18416,56c6d88e0fa600000d5cfdef,11,37,United Kingdom,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""scarf""}",scarf,0.0,1.0
22,,,,23,0,recognition,snail,snail,target,horizontal_flip,color,null,0wcexbo0alo8y6k,survey-text-autocomplete,124,327161,0.0-11.0-6.22-4.22,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18416,56c6d88e0fa600000d5cfdef,11,37,United Kingdom,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""snail""}",snail,0.0,1.0
23,2866.600000143051,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_on5.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,24,1,dot,grasshopper,grasshopper_mooney_dot_on5,catch,regular,post,on,0wcexbo0alo8y6k,html-keyboard-response,130,337743,0.0-11.0-5.23-1.23,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18416,56c6d88e0fa600000d5cfdef,11,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
24,2838.5999999046326,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_off6.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,25,1,dot,snail,snail_mooney_dot_off6,target,horizontal_flip,post,off,0wcexbo0alo8y6k,html-keyboard-response,134,341599,0.0-11.0-5.24-1.24,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18416,56c6d88e0fa600000d5cfdef,11,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
25,1757.4000000953674,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_off6.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,26,1,dot,grasshopper,grasshopper_mooney_dot_off6,catch,regular,post,off,0wcexbo0alo8y6k,html-keyboard-response,138,344367,0.0-11.0-5.25-1.25,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18416,56c6d88e0fa600000d5cfdef,11,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
26,1056.7999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_off8.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,27,1,dot,scarf,scarf_mooney_dot_off8,target,upside_down,post,off,0wcexbo0alo8y6k,html-keyboard-response,142,346431,0.0-11.0-5.26-1.26,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18416,56c6d88e0fa600000d5cfdef,11,37,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
27,1686.7000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_on5.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,28,1,dot,snail,snail_mooney_dot_on5,target,horizontal_flip,post,on,0wcexbo0alo8y6k,html-keyboard-response,146,349135,0.0-11.0-5.27-1.27,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18416,56c6d88e0fa600000d5cfdef,11,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
28,2860,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,29,1,dot,surfboard,surfboard_mooney_dot_on3,catch,upside_down,pre,on,0wcexbo0alo8y6k,html-keyboard-response,150,353007,0.0-11.0-5.28-1.28,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18416,56c6d88e0fa600000d5cfdef,11,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
29,1606.7999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_off8.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,30,1,dot,egg_roll,egg_roll_mooney_dot_off8,target,regular,post,off,0wcexbo0alo8y6k,html-keyboard-response,154,355631,0.0-11.0-5.29-1.29,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18416,56c6d88e0fa600000d5cfdef,11,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
30,2377.899999856949,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,31,1,dot,dumbbell,dumbbell_mooney_dot_off2,target,horizontal_flip,pre,off,0wcexbo0alo8y6k,html-keyboard-response,158,359023,0.0-11.0-5.30-1.30,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18416,56c6d88e0fa600000d5cfdef,11,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
31,1603.7999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,32,1,dot,surfboard,surfboard_mooney_dot_on1,catch,upside_down,pre,on,0wcexbo0alo8y6k,html-keyboard-response,162,361647,0.0-11.0-5.31-1.31,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18416,56c6d88e0fa600000d5cfdef,11,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
32,825,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_on7.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,33,1,dot,scarf,scarf_mooney_dot_on7,target,upside_down,post,on,0wcexbo0alo8y6k,html-keyboard-response,166,363487,0.0-11.0-5.32-1.32,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18416,56c6d88e0fa600000d5cfdef,11,37,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
