index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,3877,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,1,0,dot,drill,drill_mooney_dot_on1,target,regular,pre,on,1aja6boa7x3hust,html-keyboard-response,14,414047,0.0-11.0-5.0-1.0,Chrome,135.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1279,https://exponline.ugr.es/publix/939/997/start?srid=18404,67c7aab3139414ee655b0bb8,20,30,Canada,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
1,3037,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,2,0,dot,candelabra,candelabra_mooney_dot_on1,target,horizontal_flip,pre,on,1aja6boa7x3hust,html-keyboard-response,18,418090,0.0-11.0-5.1-1.1,Chrome,135.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1279,https://exponline.ugr.es/publix/939/997/start?srid=18404,67c7aab3139414ee655b0bb8,20,30,Canada,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
2,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,3,0,dot,scarf,scarf_mooney_dot_on3,catch,regular,pre,on,1aja6boa7x3hust,html-keyboard-response,22,424107,0.0-11.0-5.2-1.2,Chrome,135.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1279,https://exponline.ugr.es/publix/939/997/start?srid=18404,67c7aab3139414ee655b0bb8,20,30,Canada,Male,Right-handed,Exp,dot_recog,,0,0,,,,
3,3078.7999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,axe,axe_mooney_dot_on1,target,upside_down,pre,on,1aja6boa7x3hust,html-keyboard-response,26,428194,0.0-11.0-5.3-1.3,Chrome,135.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1279,https://exponline.ugr.es/publix/939/997/start?srid=18404,67c7aab3139414ee655b0bb8,20,30,Canada,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
4,3845.2000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,5,0,dot,drill,drill_mooney_dot_off2,target,regular,pre,off,1aja6boa7x3hust,html-keyboard-response,30,433052,0.0-11.0-5.4-1.4,Chrome,135.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1279,https://exponline.ugr.es/publix/939/997/start?srid=18404,67c7aab3139414ee655b0bb8,20,30,Canada,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
5,1925.8999998569489,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,6,0,dot,candelabra,candelabra_mooney_dot_on3,target,horizontal_flip,pre,on,1aja6boa7x3hust,html-keyboard-response,34,435992,0.0-11.0-5.5-1.5,Chrome,135.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1279,https://exponline.ugr.es/publix/939/997/start?srid=18404,67c7aab3139414ee655b0bb8,20,30,Canada,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
6,3788,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,7,0,dot,axe,axe_mooney_dot_off2,target,upside_down,pre,off,1aja6boa7x3hust,html-keyboard-response,38,440792,0.0-11.0-5.6-1.6,Chrome,135.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1279,https://exponline.ugr.es/publix/939/997/start?srid=18404,67c7aab3139414ee655b0bb8,20,30,Canada,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
7,1388.2999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,8,0,dot,candelabra,candelabra_mooney_dot_off4,target,horizontal_flip,pre,off,1aja6boa7x3hust,html-keyboard-response,42,443196,0.0-11.0-5.7-1.7,Chrome,135.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1279,https://exponline.ugr.es/publix/939/997/start?srid=18404,67c7aab3139414ee655b0bb8,20,30,Canada,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
8,1527.2999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,9,0,dot,scarf,scarf_mooney_dot_off2,catch,regular,pre,off,1aja6boa7x3hust,html-keyboard-response,46,445735,0.0-11.0-5.8-1.8,Chrome,135.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1279,https://exponline.ugr.es/publix/939/997/start?srid=18404,67c7aab3139414ee655b0bb8,20,30,Canada,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
9,986.8000001907349,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,10,0,dot,axe,axe_mooney_dot_on3,target,upside_down,pre,on,1aja6boa7x3hust,html-keyboard-response,50,447735,0.0-11.0-5.9-1.9,Chrome,135.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1279,https://exponline.ugr.es/publix/939/997/start?srid=18404,67c7aab3139414ee655b0bb8,20,30,Canada,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
