index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puffin_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,1,0,dot,puffin,puffin_mooney_dot_off4,target,regular,pre,off,1dh4dvzppopjzvb,html-keyboard-response,14,375879,0.0-11.0-5.0-1.0,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/997/start?srid=18420,67f59ac88635ef3dae3cb637,19,33,United States,Male,Right-handed,Exp,dot_recog,,0,1,,,,
1,3511.199999999255,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/parking_meter_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,parking_meter,parking_meter_mooney_dot_on3,catch,regular,pre,on,1dh4dvzppopjzvb,html-keyboard-response,18,380410,0.0-11.0-5.1-1.1,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/997/start?srid=18420,67f59ac88635ef3dae3cb637,19,33,United States,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
2,3726.0999999996275,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,3,0,dot,snail,snail_mooney_dot_off4,target,upside_down,pre,off,1dh4dvzppopjzvb,html-keyboard-response,22,385157,0.0-11.0-5.2-1.2,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/997/start?srid=18420,67f59ac88635ef3dae3cb637,19,33,United States,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
3,1618.2000000001863,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puffin_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,4,0,dot,puffin,puffin_mooney_dot_on3,target,regular,pre,on,1dh4dvzppopjzvb,html-keyboard-response,26,387788,0.0-11.0-5.3-1.3,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/997/start?srid=18420,67f59ac88635ef3dae3cb637,19,33,United States,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
4,2106.399999999441,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,5,0,dot,snail,snail_mooney_dot_off2,target,upside_down,pre,off,1dh4dvzppopjzvb,html-keyboard-response,30,390914,0.0-11.0-5.4-1.4,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/997/start?srid=18420,67f59ac88635ef3dae3cb637,19,33,United States,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
5,1260.0999999996275,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/parking_meter_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,6,0,dot,parking_meter,parking_meter_mooney_dot_off4,catch,regular,pre,off,1dh4dvzppopjzvb,html-keyboard-response,34,393191,0.0-11.0-5.5-1.5,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/997/start?srid=18420,67f59ac88635ef3dae3cb637,19,33,United States,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
6,1734.7000000001863,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,7,0,dot,candelabra,candelabra_mooney_dot_on3,target,horizontal_flip,pre,on,1dh4dvzppopjzvb,html-keyboard-response,38,395945,0.0-11.0-5.6-1.6,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/997/start?srid=18420,67f59ac88635ef3dae3cb637,19,33,United States,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
7,1135.2000000001863,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,8,0,dot,snail,snail_mooney_dot_on1,target,upside_down,pre,on,1dh4dvzppopjzvb,html-keyboard-response,42,398093,0.0-11.0-5.7-1.7,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/997/start?srid=18420,67f59ac88635ef3dae3cb637,19,33,United States,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
8,1261.0999999996275,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puffin_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,9,0,dot,puffin,puffin_mooney_dot_on1,target,regular,pre,on,1dh4dvzppopjzvb,html-keyboard-response,46,400380,0.0-11.0-5.8-1.8,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/997/start?srid=18420,67f59ac88635ef3dae3cb637,19,33,United States,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
9,1588.7999999998137,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,10,0,dot,candelabra,candelabra_mooney_dot_off2,target,horizontal_flip,pre,off,1dh4dvzppopjzvb,html-keyboard-response,50,402994,0.0-11.0-5.9-1.9,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/997/start?srid=18420,67f59ac88635ef3dae3cb637,19,33,United States,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
