index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,2387,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/shears_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,1,0,dot,shears,shears_mooney_dot_off4,target,upside_down,pre,off,1dxaayqg3yegepc,html-keyboard-response,14,231153,0.0-11.0-5.0-1.0,Chrome,135.0,Windows,10,undefined,undefined,1280 x 800,1272 x 674,https://exponline.ugr.es/publix/939/997/start?srid=18410,65720c5658873745398ffe08,1,35,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
1,948.6999999880791,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,2,0,dot,gargoyle,gargoyle_mooney_dot_on1,target,horizontal_flip,pre,on,1dxaayqg3yegepc,html-keyboard-response,18,233116,0.0-11.0-5.1-1.1,Chrome,135.0,Windows,10,undefined,undefined,1280 x 800,1272 x 674,https://exponline.ugr.es/publix/939/997/start?srid=18410,65720c5658873745398ffe08,1,35,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
2,1272.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,3,0,dot,missile,missile_mooney_dot_off2,target,regular,pre,off,1dxaayqg3yegepc,html-keyboard-response,22,235403,0.0-11.0-5.2-1.2,Chrome,135.0,Windows,10,undefined,undefined,1280 x 800,1272 x 674,https://exponline.ugr.es/publix/939/997/start?srid=18410,65720c5658873745398ffe08,1,35,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
3,2149.2999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/shears_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,4,0,dot,shears,shears_mooney_dot_off2,target,upside_down,pre,off,1dxaayqg3yegepc,html-keyboard-response,26,238561,0.0-11.0-5.3-1.3,Chrome,135.0,Windows,10,undefined,undefined,1280 x 800,1272 x 674,https://exponline.ugr.es/publix/939/997/start?srid=18410,65720c5658873745398ffe08,1,35,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
4,1216.2999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,5,0,dot,missile,missile_mooney_dot_off4,target,regular,pre,off,1dxaayqg3yegepc,html-keyboard-response,30,240787,0.0-11.0-5.4-1.4,Chrome,135.0,Windows,10,undefined,undefined,1280 x 800,1272 x 674,https://exponline.ugr.es/publix/939/997/start?srid=18410,65720c5658873745398ffe08,1,35,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
5,842.8999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/ginger_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,6,0,dot,ginger,ginger_mooney_dot_off4,catch,regular,pre,off,1dxaayqg3yegepc,html-keyboard-response,34,242648,0.0-11.0-5.5-1.5,Chrome,135.0,Windows,10,undefined,undefined,1280 x 800,1272 x 674,https://exponline.ugr.es/publix/939/997/start?srid=18410,65720c5658873745398ffe08,1,35,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
6,708.1000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,7,0,dot,gargoyle,gargoyle_mooney_dot_on3,target,horizontal_flip,pre,on,1dxaayqg3yegepc,html-keyboard-response,38,244372,0.0-11.0-5.6-1.6,Chrome,135.0,Windows,10,undefined,undefined,1280 x 800,1272 x 674,https://exponline.ugr.es/publix/939/997/start?srid=18410,65720c5658873745398ffe08,1,35,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
7,744,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,8,0,dot,missile,missile_mooney_dot_on3,target,regular,pre,on,1dxaayqg3yegepc,html-keyboard-response,42,246123,0.0-11.0-5.7-1.7,Chrome,135.0,Windows,10,undefined,undefined,1280 x 800,1272 x 674,https://exponline.ugr.es/publix/939/997/start?srid=18410,65720c5658873745398ffe08,1,35,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
8,588.8000000119209,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/ginger_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,9,0,dot,ginger,ginger_mooney_dot_on3,catch,regular,pre,on,1dxaayqg3yegepc,html-keyboard-response,46,247724,0.0-11.0-5.8-1.8,Chrome,135.0,Windows,10,undefined,undefined,1280 x 800,1272 x 674,https://exponline.ugr.es/publix/939/997/start?srid=18410,65720c5658873745398ffe08,1,35,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
9,703.9000000357628,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/shears_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,10,0,dot,shears,shears_mooney_dot_on3,target,upside_down,pre,on,1dxaayqg3yegepc,html-keyboard-response,50,249432,0.0-11.0-5.9-1.9,Chrome,135.0,Windows,10,undefined,undefined,1280 x 800,1272 x 674,https://exponline.ugr.es/publix/939/997/start?srid=18410,65720c5658873745398ffe08,1,35,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
