index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,1342.800000011921,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,1,0,dot,aloe,aloe_mooney_dot_off2,catch,regular,pre,off,1lq8fulvsnsu0jb,html-keyboard-response,14,361836,0.0-11.0-5.0-1.0,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/997/start?srid=18381,60205d8a88ba9165dda2b151,8,37,United Kingdom,Female,Left-handed,Exp,dot_recog,i,1,0,,,,
1,948,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,buoy,buoy_mooney_dot_on1,target,horizontal_flip,pre,on,1lq8fulvsnsu0jb,html-keyboard-response,18,363799,0.0-11.0-5.1-1.1,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/997/start?srid=18381,60205d8a88ba9165dda2b151,8,37,United Kingdom,Female,Left-handed,Exp,dot_recog,i,1,1,,,,
2,1154.0999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,3,0,dot,gargoyle,gargoyle_mooney_dot_on1,target,upside_down,pre,on,1lq8fulvsnsu0jb,html-keyboard-response,22,365959,0.0-11.0-5.2-1.2,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/997/start?srid=18381,60205d8a88ba9165dda2b151,8,37,United Kingdom,Female,Left-handed,Exp,dot_recog,e,0,0,,,,
3,1068.2999999970198,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,4,0,dot,banana_peel,banana_peel_mooney_dot_off4,target,regular,pre,off,1lq8fulvsnsu0jb,html-keyboard-response,26,368032,0.0-11.0-5.3-1.3,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/997/start?srid=18381,60205d8a88ba9165dda2b151,8,37,United Kingdom,Female,Left-handed,Exp,dot_recog,e,0,1,,,,
4,1026.199999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,5,0,dot,buoy,buoy_mooney_dot_on3,target,horizontal_flip,pre,on,1lq8fulvsnsu0jb,html-keyboard-response,30,370073,0.0-11.0-5.4-1.4,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/997/start?srid=18381,60205d8a88ba9165dda2b151,8,37,United Kingdom,Female,Left-handed,Exp,dot_recog,i,1,1,,,,
5,1000.9000000059605,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,6,0,dot,gargoyle,gargoyle_mooney_dot_off2,target,upside_down,pre,off,1lq8fulvsnsu0jb,html-keyboard-response,34,372093,0.0-11.0-5.5-1.5,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/997/start?srid=18381,60205d8a88ba9165dda2b151,8,37,United Kingdom,Female,Left-handed,Exp,dot_recog,e,0,1,,,,
6,1154.0999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,7,0,dot,aloe,aloe_mooney_dot_on1,catch,regular,pre,on,1lq8fulvsnsu0jb,html-keyboard-response,38,374265,0.0-11.0-5.6-1.6,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/997/start?srid=18381,60205d8a88ba9165dda2b151,8,37,United Kingdom,Female,Left-handed,Exp,dot_recog,i,1,1,,,,
7,767.1000000089407,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,buoy,buoy_mooney_dot_off2,target,horizontal_flip,pre,off,1lq8fulvsnsu0jb,html-keyboard-response,42,376040,0.0-11.0-5.7-1.7,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/997/start?srid=18381,60205d8a88ba9165dda2b151,8,37,United Kingdom,Female,Left-handed,Exp,dot_recog,i,1,0,,,,
8,675.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,9,0,dot,aloe,aloe_mooney_dot_on3,catch,regular,pre,on,1lq8fulvsnsu0jb,html-keyboard-response,46,377731,0.0-11.0-5.8-1.8,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/997/start?srid=18381,60205d8a88ba9165dda2b151,8,37,United Kingdom,Female,Left-handed,Exp,dot_recog,i,1,1,,,,
9,797,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,10,0,dot,banana_peel,banana_peel_mooney_dot_off2,target,regular,pre,off,1lq8fulvsnsu0jb,html-keyboard-response,50,379547,0.0-11.0-5.9-1.9,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/997/start?srid=18381,60205d8a88ba9165dda2b151,8,37,United Kingdom,Female,Left-handed,Exp,dot_recog,e,0,1,,,,
