index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,view_history,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,1,0,dot,puddle,puddle_mooney_dot_off4,target,regular,pre,off,21x7tm212b4ebfr,html-keyboard-response,14,229745,0.0-11.0-5.0-1.0,Chrome,135.0,Windows,10,undefined,undefined,2048 x 1280,1790 x 1159,https://exponline.ugr.es/publix/939/997/start?srid=18440,67786e11eee5b0656f62cc7b,30,28,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,1,,,,,
1,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pedal_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,2,0,dot,pedal,pedal_mooney_dot_off4,catch,regular,pre,off,21x7tm212b4ebfr,html-keyboard-response,18,235758,0.0-11.0-5.1-1.1,Chrome,135.0,Windows,10,undefined,undefined,2048 x 1280,1790 x 1159,https://exponline.ugr.es/publix/939/997/start?srid=18440,67786e11eee5b0656f62cc7b,30,28,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,1,,,,,
2,4401.399999976158,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,3,0,dot,backpack,backpack_mooney_dot_off2,target,horizontal_flip,pre,off,21x7tm212b4ebfr,html-keyboard-response,22,241177,0.0-11.0-5.2-1.2,Chrome,135.0,Windows,10,undefined,undefined,2048 x 1280,1790 x 1159,https://exponline.ugr.es/publix/939/997/start?srid=18440,67786e11eee5b0656f62cc7b,30,28,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
3,1064.1000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,pomegranate,pomegranate_mooney_dot_on3,target,upside_down,pre,on,21x7tm212b4ebfr,html-keyboard-response,26,243245,0.0-11.0-5.3-1.3,Chrome,135.0,Windows,10,undefined,undefined,2048 x 1280,1790 x 1159,https://exponline.ugr.es/publix/939/997/start?srid=18440,67786e11eee5b0656f62cc7b,30,28,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
4,3573.900000035763,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,5,0,dot,puddle,puddle_mooney_dot_on3,target,regular,pre,on,21x7tm212b4ebfr,html-keyboard-response,30,247821,0.0-11.0-5.4-1.4,Chrome,135.0,Windows,10,undefined,undefined,2048 x 1280,1790 x 1159,https://exponline.ugr.es/publix/939/997/start?srid=18440,67786e11eee5b0656f62cc7b,30,28,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
5,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",null,6,0,dot,pomegranate,pomegranate_mooney_dot_off4,target,upside_down,pre,off,21x7tm212b4ebfr,html-keyboard-response,34,253833,0.0-11.0-5.5-1.5,Chrome,135.0,Windows,10,undefined,undefined,2048 x 1280,1790 x 1159,https://exponline.ugr.es/publix/939/997/start?srid=18440,67786e11eee5b0656f62cc7b,30,28,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,1,,,,,
6,3228.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,7,0,dot,backpack,backpack_mooney_dot_on1,target,horizontal_flip,pre,on,21x7tm212b4ebfr,html-keyboard-response,38,258078,0.0-11.0-5.6-1.6,Chrome,135.0,Windows,10,undefined,undefined,2048 x 1280,1790 x 1159,https://exponline.ugr.es/publix/939/997/start?srid=18440,67786e11eee5b0656f62cc7b,30,28,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
7,2132.7999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,8,0,dot,puddle,puddle_mooney_dot_off2,target,regular,pre,off,21x7tm212b4ebfr,html-keyboard-response,42,261222,0.0-11.0-5.7-1.7,Chrome,135.0,Windows,10,undefined,undefined,2048 x 1280,1790 x 1159,https://exponline.ugr.es/publix/939/997/start?srid=18440,67786e11eee5b0656f62cc7b,30,28,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,1,,,,,
8,1478.7999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,9,0,dot,backpack,backpack_mooney_dot_on3,target,horizontal_flip,pre,on,21x7tm212b4ebfr,html-keyboard-response,46,263715,0.0-11.0-5.8-1.8,Chrome,135.0,Windows,10,undefined,undefined,2048 x 1280,1790 x 1159,https://exponline.ugr.es/publix/939/997/start?srid=18440,67786e11eee5b0656f62cc7b,30,28,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
9,1541.199999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,10,0,dot,pomegranate,pomegranate_mooney_dot_on1,target,upside_down,pre,on,21x7tm212b4ebfr,html-keyboard-response,50,266269,0.0-11.0-5.9-1.9,Chrome,135.0,Windows,10,undefined,undefined,2048 x 1280,1790 x 1159,https://exponline.ugr.es/publix/939/997/start?srid=18440,67786e11eee5b0656f62cc7b,30,28,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,0,,,,,
