index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,2777.300000011921,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,1,0,dot,buoy,buoy_mooney_dot_off2,catch,regular,pre,off,2j7ttvw4tf3r0ar,html-keyboard-response,14,436661,0.0-11.0-5.0-1.0,Chrome,131.0,Windows,,undefined,undefined,1920 x 1080,1920 x 969,https://exponline.ugr.es/publix/939/997/start?srid=18395,67f412a8b4a4462143613773,27,30,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
1,3868.9000000059605,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,bat2,bat2_mooney_dot_on1,target,regular,pre,on,2j7ttvw4tf3r0ar,html-keyboard-response,18,441541,0.0-11.0-5.1-1.1,Chrome,131.0,Windows,,undefined,undefined,1920 x 1080,1920 x 969,https://exponline.ugr.es/publix/939/997/start?srid=18395,67f412a8b4a4462143613773,27,30,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
2,4557.4000000059605,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pedal_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,3,0,dot,pedal,pedal_mooney_dot_on3,target,horizontal_flip,pre,on,2j7ttvw4tf3r0ar,html-keyboard-response,22,447108,0.0-11.0-5.2-1.2,Chrome,131.0,Windows,,undefined,undefined,1920 x 1080,1920 x 969,https://exponline.ugr.es/publix/939/997/start?srid=18395,67f412a8b4a4462143613773,27,30,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
3,4435.200000017881,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,banana_peel,banana_peel_mooney_dot_on1,target,upside_down,pre,on,2j7ttvw4tf3r0ar,html-keyboard-response,26,452553,0.0-11.0-5.3-1.3,Chrome,131.0,Windows,,undefined,undefined,1920 x 1080,1920 x 969,https://exponline.ugr.es/publix/939/997/start?srid=18395,67f412a8b4a4462143613773,27,30,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
4,2015.4000000059605,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pedal_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,5,0,dot,pedal,pedal_mooney_dot_off2,target,horizontal_flip,pre,off,2j7ttvw4tf3r0ar,html-keyboard-response,30,455588,0.0-11.0-5.4-1.4,Chrome,131.0,Windows,,undefined,undefined,1920 x 1080,1920 x 969,https://exponline.ugr.es/publix/939/997/start?srid=18395,67f412a8b4a4462143613773,27,30,United Kingdom,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
5,1046,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,6,0,dot,buoy,buoy_mooney_dot_on3,catch,regular,pre,on,2j7ttvw4tf3r0ar,html-keyboard-response,34,457654,0.0-11.0-5.5-1.5,Chrome,131.0,Windows,,undefined,undefined,1920 x 1080,1920 x 969,https://exponline.ugr.es/publix/939/997/start?srid=18395,67f412a8b4a4462143613773,27,30,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
6,2191.9000000059605,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,7,0,dot,bat2,bat2_mooney_dot_off2,target,regular,pre,off,2j7ttvw4tf3r0ar,html-keyboard-response,38,460862,0.0-11.0-5.6-1.6,Chrome,131.0,Windows,,undefined,undefined,1920 x 1080,1920 x 969,https://exponline.ugr.es/publix/939/997/start?srid=18395,67f412a8b4a4462143613773,27,30,United Kingdom,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
7,4886.9000000059605,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,8,0,dot,banana_peel,banana_peel_mooney_dot_off4,target,upside_down,pre,off,2j7ttvw4tf3r0ar,html-keyboard-response,42,466767,0.0-11.0-5.7-1.7,Chrome,131.0,Windows,,undefined,undefined,1920 x 1080,1920 x 969,https://exponline.ugr.es/publix/939/997/start?srid=18395,67f412a8b4a4462143613773,27,30,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
8,986.2000000178814,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,9,0,dot,bat2,bat2_mooney_dot_off4,target,regular,pre,off,2j7ttvw4tf3r0ar,html-keyboard-response,46,468771,0.0-11.0-5.8-1.8,Chrome,131.0,Windows,,undefined,undefined,1920 x 1080,1920 x 969,https://exponline.ugr.es/publix/939/997/start?srid=18395,67f412a8b4a4462143613773,27,30,United Kingdom,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
9,757.5999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,10,0,dot,buoy,buoy_mooney_dot_on1,catch,regular,pre,on,2j7ttvw4tf3r0ar,html-keyboard-response,50,470539,0.0-11.0-5.9-1.9,Chrome,131.0,Windows,,undefined,undefined,1920 x 1080,1920 x 969,https://exponline.ugr.es/publix/939/997/start?srid=18395,67f412a8b4a4462143613773,27,30,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
