index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,scale_factor,win_width_deg,win_height_deg,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,verbal_id,semantic_distance,verbal_acc_corrected
14,,,,,,html-keyboard-response,14,289834,0.0-11.0-5.0-1.0,Chrome,133.0,Chrome OS,,undefined,undefined,1366 x 768,1366 x 681,2sdeuhtyt6qg7zn,https://exponline.ugr.es/publix/939/997/start?srid=18422,67acbb530b16f4234fc1e4d2,30,39,Canada,Male,Right-handed,,null,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,1,0,dot,puddle,puddle_mooney_dot_off4,target,regular,pre,off,Exp,dot_recog,,0,1,,,
20,,,,,,html-keyboard-response,20,306480,0.0-11.0-5.1-1.1,Chrome,133.0,Chrome OS,,undefined,undefined,1366 x 768,1366 x 681,2sdeuhtyt6qg7zn,https://exponline.ugr.es/publix/939/997/start?srid=18422,67acbb530b16f4234fc1e4d2,30,39,Canada,Male,Right-handed,,null,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pedal_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,2,0,dot,pedal,pedal_mooney_dot_off4,catch,regular,pre,off,Exp,dot_recog,,0,1,,,
24,,,,,,html-keyboard-response,24,310403,0.0-11.0-5.2-1.2,Chrome,133.0,Chrome OS,,undefined,undefined,1366 x 768,1366 x 681,2sdeuhtyt6qg7zn,https://exponline.ugr.es/publix/939/997/start?srid=18422,67acbb530b16f4234fc1e4d2,30,39,Canada,Male,Right-handed,,2914.2000000476837,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,3,0,dot,backpack,backpack_mooney_dot_off2,target,horizontal_flip,pre,off,Exp,dot_recog,e,1,0,,,
28,,,,,,html-keyboard-response,28,314428,0.0-11.0-5.3-1.3,Chrome,133.0,Chrome OS,,undefined,undefined,1366 x 768,1366 x 681,2sdeuhtyt6qg7zn,https://exponline.ugr.es/publix/939/997/start?srid=18422,67acbb530b16f4234fc1e4d2,30,39,Canada,Male,Right-handed,,3016,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,4,0,dot,pomegranate,pomegranate_mooney_dot_on3,target,upside_down,pre,on,Exp,dot_recog,e,1,1,,,
32,,,,,,html-keyboard-response,32,320242,0.0-11.0-5.4-1.4,Chrome,133.0,Chrome OS,,undefined,undefined,1366 x 768,1366 x 681,2sdeuhtyt6qg7zn,https://exponline.ugr.es/publix/939/997/start?srid=18422,67acbb530b16f4234fc1e4d2,30,39,Canada,Male,Right-handed,,4805.300000071526,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,5,0,dot,puddle,puddle_mooney_dot_on3,target,regular,pre,on,Exp,dot_recog,i,0,0,,,
36,,,,,,html-keyboard-response,36,323691,0.0-11.0-5.5-1.5,Chrome,133.0,Chrome OS,,undefined,undefined,1366 x 768,1366 x 681,2sdeuhtyt6qg7zn,https://exponline.ugr.es/publix/939/997/start?srid=18422,67acbb530b16f4234fc1e4d2,30,39,Canada,Male,Right-handed,,2438.399999976158,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,6,0,dot,pomegranate,pomegranate_mooney_dot_off4,target,upside_down,pre,off,Exp,dot_recog,e,1,0,,,
40,,,,,,html-keyboard-response,40,327760,0.0-11.0-5.6-1.6,Chrome,133.0,Chrome OS,,undefined,undefined,1366 x 768,1366 x 681,2sdeuhtyt6qg7zn,https://exponline.ugr.es/publix/939/997/start?srid=18422,67acbb530b16f4234fc1e4d2,30,39,Canada,Male,Right-handed,,3061.600000023842,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,7,0,dot,backpack,backpack_mooney_dot_on1,target,horizontal_flip,pre,on,Exp,dot_recog,e,1,1,,,
44,,,,,,html-keyboard-response,44,330885,0.0-11.0-5.7-1.7,Chrome,133.0,Chrome OS,,undefined,undefined,1366 x 768,1366 x 681,2sdeuhtyt6qg7zn,https://exponline.ugr.es/publix/939/997/start?srid=18422,67acbb530b16f4234fc1e4d2,30,39,Canada,Male,Right-handed,,2114.100000023842,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,8,0,dot,puddle,puddle_mooney_dot_off2,target,regular,pre,off,Exp,dot_recog,i,0,1,,,
48,,,,,,html-keyboard-response,48,335400,0.0-11.0-5.8-1.8,Chrome,133.0,Chrome OS,,undefined,undefined,1366 x 768,1366 x 681,2sdeuhtyt6qg7zn,https://exponline.ugr.es/publix/939/997/start?srid=18422,67acbb530b16f4234fc1e4d2,30,39,Canada,Male,Right-handed,,3505.7000000476837,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,9,0,dot,backpack,backpack_mooney_dot_on3,target,horizontal_flip,pre,on,Exp,dot_recog,e,1,1,,,
52,,,,,,html-keyboard-response,52,337743,0.0-11.0-5.9-1.9,Chrome,133.0,Chrome OS,,undefined,undefined,1366 x 768,1366 x 681,2sdeuhtyt6qg7zn,https://exponline.ugr.es/publix/939/997/start?srid=18422,67acbb530b16f4234fc1e4d2,30,39,Canada,Male,Right-handed,,1332.7000000476837,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,10,0,dot,pomegranate,pomegranate_mooney_dot_on1,target,upside_down,pre,on,Exp,dot_recog,i,0,0,,,
56,,,,,,html-keyboard-response,56,340923,0.0-11.0-5.10-1.10,Chrome,133.0,Chrome OS,,undefined,undefined,1366 x 768,1366 x 681,2sdeuhtyt6qg7zn,https://exponline.ugr.es/publix/939/997/start?srid=18422,67acbb530b16f4234fc1e4d2,30,39,Canada,Male,Right-handed,,2170.899999976158,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pedal_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,11,0,dot,pedal,pedal_mooney_dot_on3,catch,regular,pre,on,Exp,dot_recog,i,0,0,,,
60,,,,,,html-keyboard-response,60,343542,0.0-11.0-5.11-1.11,Chrome,133.0,Chrome OS,,undefined,undefined,1366 x 768,1366 x 681,2sdeuhtyt6qg7zn,https://exponline.ugr.es/publix/939/997/start?srid=18422,67acbb530b16f4234fc1e4d2,30,39,Canada,Male,Right-handed,,1605.6000000238419,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,12,0,dot,backpack,backpack_mooney_dot_off4,target,horizontal_flip,pre,off,Exp,dot_recog,e,1,0,,,
64,,,,,,html-keyboard-response,64,346365,0.0-11.0-5.12-1.12,Chrome,133.0,Chrome OS,,undefined,undefined,1366 x 768,1366 x 681,2sdeuhtyt6qg7zn,https://exponline.ugr.es/publix/939/997/start?srid=18422,67acbb530b16f4234fc1e4d2,30,39,Canada,Male,Right-handed,,1813.3000000715256,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,13,0,dot,puddle,puddle_mooney_dot_on1,target,regular,pre,on,Exp,dot_recog,i,0,0,,,
