index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,1,0,dot,bat2,bat2_mooney_dot_on3,target,regular,pre,on,38l3g4l0vze1dcj,html-keyboard-response,14,1407172,0.0-11.0-5.0-1.0,Chrome,129.0,Windows,10,undefined,undefined,1366 x 768,648 x 620,https://exponline.ugr.es/publix/939/997/start?srid=18439,66f47c4e26254353298c0da3,7,34,United States,Male,Right-handed,Exp,dot_recog,,0,0,,,,
1,1364.3999998569489,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,2,0,dot,pomegranate,pomegranate_mooney_dot_off4,target,horizontal_flip,pre,off,38l3g4l0vze1dcj,html-keyboard-response,18,1409556,0.0-11.0-5.1-1.1,Chrome,129.0,Windows,10,undefined,undefined,1366 x 768,648 x 620,https://exponline.ugr.es/publix/939/997/start?srid=18439,66f47c4e26254353298c0da3,7,34,United States,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
2,1158.7000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,3,0,dot,gargoyle,gargoyle_mooney_dot_off2,catch,regular,pre,off,38l3g4l0vze1dcj,html-keyboard-response,22,1411733,0.0-11.0-5.2-1.2,Chrome,129.0,Windows,10,undefined,undefined,1366 x 768,648 x 620,https://exponline.ugr.es/publix/939/997/start?srid=18439,66f47c4e26254353298c0da3,7,34,United States,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
3,910,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,4,0,dot,pomegranate,pomegranate_mooney_dot_off2,target,horizontal_flip,pre,off,38l3g4l0vze1dcj,html-keyboard-response,26,1413652,0.0-11.0-5.3-1.3,Chrome,129.0,Windows,10,undefined,undefined,1366 x 768,648 x 620,https://exponline.ugr.es/publix/939/997/start?srid=18439,66f47c4e26254353298c0da3,7,34,United States,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
4,1089.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puffin_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,5,0,dot,puffin,puffin_mooney_dot_on1,target,upside_down,pre,on,38l3g4l0vze1dcj,html-keyboard-response,30,1415753,0.0-11.0-5.4-1.4,Chrome,129.0,Windows,10,undefined,undefined,1366 x 768,648 x 620,https://exponline.ugr.es/publix/939/997/start?srid=18439,66f47c4e26254353298c0da3,7,34,United States,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
5,716.7000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,6,0,dot,bat2,bat2_mooney_dot_off2,target,regular,pre,off,38l3g4l0vze1dcj,html-keyboard-response,34,1417478,0.0-11.0-5.5-1.5,Chrome,129.0,Windows,10,undefined,undefined,1366 x 768,648 x 620,https://exponline.ugr.es/publix/939/997/start?srid=18439,66f47c4e26254353298c0da3,7,34,United States,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
6,1064.2999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puffin_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,7,0,dot,puffin,puffin_mooney_dot_off4,target,upside_down,pre,off,38l3g4l0vze1dcj,html-keyboard-response,38,1419556,0.0-11.0-5.6-1.6,Chrome,129.0,Windows,10,undefined,undefined,1366 x 768,648 x 620,https://exponline.ugr.es/publix/939/997/start?srid=18439,66f47c4e26254353298c0da3,7,34,United States,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
7,928.3000001907349,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,8,0,dot,pomegranate,pomegranate_mooney_dot_on3,target,horizontal_flip,pre,on,38l3g4l0vze1dcj,html-keyboard-response,42,1421493,0.0-11.0-5.7-1.7,Chrome,129.0,Windows,10,undefined,undefined,1366 x 768,648 x 620,https://exponline.ugr.es/publix/939/997/start?srid=18439,66f47c4e26254353298c0da3,7,34,United States,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
8,1246.0999999046326,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,9,0,dot,gargoyle,gargoyle_mooney_dot_on3,catch,regular,pre,on,38l3g4l0vze1dcj,html-keyboard-response,46,1423746,0.0-11.0-5.8-1.8,Chrome,129.0,Windows,10,undefined,undefined,1366 x 768,648 x 620,https://exponline.ugr.es/publix/939/997/start?srid=18439,66f47c4e26254353298c0da3,7,34,United States,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
9,687.2000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puffin_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,10,0,dot,puffin,puffin_mooney_dot_on3,target,upside_down,pre,on,38l3g4l0vze1dcj,html-keyboard-response,50,1425446,0.0-11.0-5.9-1.9,Chrome,129.0,Windows,10,undefined,undefined,1366 x 768,648 x 620,https://exponline.ugr.es/publix/939/997/start?srid=18439,66f47c4e26254353298c0da3,7,34,United States,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
