index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,1319,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,1,0,dot,drill,drill_mooney_dot_on1,target,regular,pre,on,3tkzt9a5x886omy,html-keyboard-response,14,357900,0.0-11.0-5.0-1.0,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,https://exponline.ugr.es/publix/939/997/start?srid=18374,6772e76feabb30f82fcd8f59,20,38,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,0,,,,
1,1861.8999999999069,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,2,0,dot,candelabra,candelabra_mooney_dot_on1,target,horizontal_flip,pre,on,3tkzt9a5x886omy,html-keyboard-response,18,360764,0.0-11.0-5.1-1.1,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,https://exponline.ugr.es/publix/939/997/start?srid=18374,6772e76feabb30f82fcd8f59,20,38,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
2,1550.1999999999534,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,3,0,dot,scarf,scarf_mooney_dot_on3,catch,regular,pre,on,3tkzt9a5x886omy,html-keyboard-response,22,363316,0.0-11.0-5.2-1.2,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,https://exponline.ugr.es/publix/939/997/start?srid=18374,6772e76feabb30f82fcd8f59,20,38,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,0,,,,
3,1545.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,4,0,dot,axe,axe_mooney_dot_on1,target,upside_down,pre,on,3tkzt9a5x886omy,html-keyboard-response,26,365863,0.0-11.0-5.3-1.3,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,https://exponline.ugr.es/publix/939/997/start?srid=18374,6772e76feabb30f82fcd8f59,20,38,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
4,2441.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,5,0,dot,drill,drill_mooney_dot_off2,target,regular,pre,off,3tkzt9a5x886omy,html-keyboard-response,30,369307,0.0-11.0-5.4-1.4,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,https://exponline.ugr.es/publix/939/997/start?srid=18374,6772e76feabb30f82fcd8f59,20,38,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
5,1701,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,6,0,dot,candelabra,candelabra_mooney_dot_on3,target,horizontal_flip,pre,on,3tkzt9a5x886omy,html-keyboard-response,34,372010,0.0-11.0-5.5-1.5,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,https://exponline.ugr.es/publix/939/997/start?srid=18374,6772e76feabb30f82fcd8f59,20,38,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
6,1825.6000000000931,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,7,0,dot,axe,axe_mooney_dot_off2,target,upside_down,pre,off,3tkzt9a5x886omy,html-keyboard-response,38,374837,0.0-11.0-5.6-1.6,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,https://exponline.ugr.es/publix/939/997/start?srid=18374,6772e76feabb30f82fcd8f59,20,38,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
7,2993.899999999907,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,8,0,dot,candelabra,candelabra_mooney_dot_off4,target,horizontal_flip,pre,off,3tkzt9a5x886omy,html-keyboard-response,42,378832,0.0-11.0-5.7-1.7,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,https://exponline.ugr.es/publix/939/997/start?srid=18374,6772e76feabb30f82fcd8f59,20,38,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
8,1893.2000000001863,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,9,0,dot,scarf,scarf_mooney_dot_off2,catch,regular,pre,off,3tkzt9a5x886omy,html-keyboard-response,46,381727,0.0-11.0-5.8-1.8,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,https://exponline.ugr.es/publix/939/997/start?srid=18374,6772e76feabb30f82fcd8f59,20,38,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
9,1389.8999999999069,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,10,0,dot,axe,axe_mooney_dot_on3,target,upside_down,pre,on,3tkzt9a5x886omy,html-keyboard-response,50,384119,0.0-11.0-5.9-1.9,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,https://exponline.ugr.es/publix/939/997/start?srid=18374,6772e76feabb30f82fcd8f59,20,38,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
10,2685,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,11,0,dot,drill,drill_mooney_dot_on3,target,regular,pre,on,3tkzt9a5x886omy,html-keyboard-response,54,387806,0.0-11.0-5.10-1.10,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,https://exponline.ugr.es/publix/939/997/start?srid=18374,6772e76feabb30f82fcd8f59,20,38,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
11,1873.7000000001863,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,12,0,dot,candelabra,candelabra_mooney_dot_off2,target,horizontal_flip,pre,off,3tkzt9a5x886omy,html-keyboard-response,58,390682,0.0-11.0-5.11-1.11,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,https://exponline.ugr.es/publix/939/997/start?srid=18374,6772e76feabb30f82fcd8f59,20,38,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
12,2481.3000000000466,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,13,0,dot,scarf,scarf_mooney_dot_off4,catch,regular,pre,off,3tkzt9a5x886omy,html-keyboard-response,62,394165,0.0-11.0-5.12-1.12,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,https://exponline.ugr.es/publix/939/997/start?srid=18374,6772e76feabb30f82fcd8f59,20,38,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
13,3530.8000000000466,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,14,0,dot,axe,axe_mooney_dot_off4,target,upside_down,pre,off,3tkzt9a5x886omy,html-keyboard-response,66,398712,0.0-11.0-5.13-1.13,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,https://exponline.ugr.es/publix/939/997/start?srid=18374,6772e76feabb30f82fcd8f59,20,38,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
14,1389.5999999998603,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,15,0,dot,scarf,scarf_mooney_dot_on1,catch,regular,pre,on,3tkzt9a5x886omy,html-keyboard-response,70,401103,0.0-11.0-5.14-1.14,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,https://exponline.ugr.es/publix/939/997/start?srid=18374,6772e76feabb30f82fcd8f59,20,38,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
15,2620.8000000000466,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,16,0,dot,drill,drill_mooney_dot_off4,target,regular,pre,off,3tkzt9a5x886omy,html-keyboard-response,74,404726,0.0-11.0-5.15-1.15,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,https://exponline.ugr.es/publix/939/997/start?srid=18374,6772e76feabb30f82fcd8f59,20,38,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
16,,,,17,0,recognition,candelabra,candelabra_mooney,target,horizontal_flip,pre,null,3tkzt9a5x886omy,survey-text-autocomplete,82,413601,0.0-11.0-6.16-4.16,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,https://exponline.ugr.es/publix/939/997/start?srid=18374,6772e76feabb30f82fcd8f59,20,38,United Kingdom,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""tree""}",tree,0.5190020826731734,0.0
17,,,,18,0,recognition,drill,drill_mooney,target,regular,pre,null,3tkzt9a5x886omy,survey-text-autocomplete,89,418933,0.0-11.0-6.17-4.17,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,https://exponline.ugr.es/publix/939/997/start?srid=18374,6772e76feabb30f82fcd8f59,20,38,United Kingdom,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""plane""}",plane,0.739208748378307,0.0
18,,,,19,0,recognition,scarf,scarf_mooney,catch,regular,pre,null,3tkzt9a5x886omy,survey-text-autocomplete,96,440748,0.0-11.0-6.18-4.18,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,https://exponline.ugr.es/publix/939/997/start?srid=18374,6772e76feabb30f82fcd8f59,20,38,United Kingdom,Male,Right-handed,Exp,Recognition,,,,"""timeout""",,,0.0
19,,,,20,0,recognition,axe,axe_mooney,target,upside_down,pre,null,3tkzt9a5x886omy,survey-text-autocomplete,103,454126,0.0-11.0-6.19-4.19,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,https://exponline.ugr.es/publix/939/997/start?srid=18374,6772e76feabb30f82fcd8f59,20,38,United Kingdom,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""grate""}",grate,0.7219324315233362,0.0
20,,,,21,0,recognition,candelabra,candelabra,target,horizontal_flip,color,null,3tkzt9a5x886omy,survey-text-autocomplete,110,460585,0.0-11.0-6.20-4.20,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,https://exponline.ugr.es/publix/939/997/start?srid=18374,6772e76feabb30f82fcd8f59,20,38,United Kingdom,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""candlestick""}",candlestick,0.30387302268329675,0.0
21,,,,22,0,recognition,axe,axe,target,upside_down,color,null,3tkzt9a5x886omy,survey-text-autocomplete,117,465134,0.0-11.0-6.21-4.21,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,https://exponline.ugr.es/publix/939/997/start?srid=18374,6772e76feabb30f82fcd8f59,20,38,United Kingdom,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""axe""}",axe,0.0,1.0
22,,,,23,0,recognition,drill,drill,target,regular,color,null,3tkzt9a5x886omy,survey-text-autocomplete,124,470582,0.0-11.0-6.22-4.22,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,https://exponline.ugr.es/publix/939/997/start?srid=18374,6772e76feabb30f82fcd8f59,20,38,United Kingdom,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""drill""}",drill,0.0,1.0
23,1757.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/magnifier_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,24,1,dot,magnifier,magnifier_mooney_dot_off4,catch,upside_down,pre,off,3tkzt9a5x886omy,html-keyboard-response,130,491701,0.0-11.0-5.23-1.23,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,https://exponline.ugr.es/publix/939/997/start?srid=18374,6772e76feabb30f82fcd8f59,20,38,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
