index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,970,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gutter_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,1,0,dot,gutter,gutter_mooney_dot_off4,catch,regular,pre,off,3x9tmevt0v9es1r,html-keyboard-response,14,184296,0.0-11.0-5.0-1.0,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 559,https://exponline.ugr.es/publix/939/997/start?srid=18407,62dba63c6e7bd6308f5a7a13,12,39,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
1,1001,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,aloe,aloe_mooney_dot_on3,target,regular,pre,on,3x9tmevt0v9es1r,html-keyboard-response,18,186308,0.0-11.0-5.1-1.1,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 559,https://exponline.ugr.es/publix/939/997/start?srid=18407,62dba63c6e7bd6308f5a7a13,12,39,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
2,828.2000000011176,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,3,0,dot,steak,steak_mooney_dot_on3,target,horizontal_flip,pre,on,3x9tmevt0v9es1r,html-keyboard-response,22,188145,0.0-11.0-5.2-1.2,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 559,https://exponline.ugr.es/publix/939/997/start?srid=18407,62dba63c6e7bd6308f5a7a13,12,39,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
3,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",null,4,0,dot,buoy,buoy_mooney_dot_off4,target,upside_down,pre,off,3x9tmevt0v9es1r,html-keyboard-response,26,194155,0.0-11.0-5.3-1.3,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 559,https://exponline.ugr.es/publix/939/997/start?srid=18407,62dba63c6e7bd6308f5a7a13,12,39,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,1,,,,
4,944.6999999992549,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gutter_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,5,0,dot,gutter,gutter_mooney_dot_off2,catch,regular,pre,off,3x9tmevt0v9es1r,html-keyboard-response,30,196109,0.0-11.0-5.4-1.4,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 559,https://exponline.ugr.es/publix/939/997/start?srid=18407,62dba63c6e7bd6308f5a7a13,12,39,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
5,662.7000000011176,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,6,0,dot,steak,steak_mooney_dot_off2,target,horizontal_flip,pre,off,3x9tmevt0v9es1r,html-keyboard-response,34,197780,0.0-11.0-5.5-1.5,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 559,https://exponline.ugr.es/publix/939/997/start?srid=18407,62dba63c6e7bd6308f5a7a13,12,39,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
6,707.1999999992549,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,7,0,dot,aloe,aloe_mooney_dot_on1,target,regular,pre,on,3x9tmevt0v9es1r,html-keyboard-response,38,199505,0.0-11.0-5.6-1.6,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 559,https://exponline.ugr.es/publix/939/997/start?srid=18407,62dba63c6e7bd6308f5a7a13,12,39,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
7,682.7000000011176,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gutter_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,gutter,gutter_mooney_dot_on3,catch,regular,pre,on,3x9tmevt0v9es1r,html-keyboard-response,42,201203,0.0-11.0-5.7-1.7,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 559,https://exponline.ugr.es/publix/939/997/start?srid=18407,62dba63c6e7bd6308f5a7a13,12,39,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
8,714.8000000007451,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,9,0,dot,steak,steak_mooney_dot_off4,target,horizontal_flip,pre,off,3x9tmevt0v9es1r,html-keyboard-response,46,202937,0.0-11.0-5.8-1.8,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 559,https://exponline.ugr.es/publix/939/997/start?srid=18407,62dba63c6e7bd6308f5a7a13,12,39,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
9,617.5999999996275,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,10,0,dot,buoy,buoy_mooney_dot_on1,target,upside_down,pre,on,3x9tmevt0v9es1r,html-keyboard-response,50,204559,0.0-11.0-5.9-1.9,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 559,https://exponline.ugr.es/publix/939/997/start?srid=18407,62dba63c6e7bd6308f5a7a13,12,39,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
10,658.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,11,0,dot,steak,steak_mooney_dot_on1,target,horizontal_flip,pre,on,3x9tmevt0v9es1r,html-keyboard-response,54,206226,0.0-11.0-5.10-1.10,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 559,https://exponline.ugr.es/publix/939/997/start?srid=18407,62dba63c6e7bd6308f5a7a13,12,39,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
11,693.8000000007451,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gutter_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,12,0,dot,gutter,gutter_mooney_dot_on1,catch,regular,pre,on,3x9tmevt0v9es1r,html-keyboard-response,58,207939,0.0-11.0-5.11-1.11,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 559,https://exponline.ugr.es/publix/939/997/start?srid=18407,62dba63c6e7bd6308f5a7a13,12,39,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
