index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,2106.899999976158,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,1,0,dot,surfboard,surfboard_mooney_dot_off2,target,upside_down,pre,off,41zyv1nryq6h0qg,html-keyboard-response,14,278408,0.0-11.0-5.0-1.0,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18430,67f2a80b1e7ec85188a5a592,6,30,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
1,2251.300000011921,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,bat2,bat2_mooney_dot_off2,catch,regular,pre,off,41zyv1nryq6h0qg,html-keyboard-response,18,281682,0.0-11.0-5.1-1.1,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18430,67f2a80b1e7ec85188a5a592,6,30,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
2,2608.100000023842,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,3,0,dot,missile,missile_mooney_dot_off4,target,regular,pre,off,41zyv1nryq6h0qg,html-keyboard-response,22,285307,0.0-11.0-5.2-1.2,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18430,67f2a80b1e7ec85188a5a592,6,30,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
3,3047.599999964237,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,surfboard,surfboard_mooney_dot_off4,target,upside_down,pre,off,41zyv1nryq6h0qg,html-keyboard-response,26,289367,0.0-11.0-5.3-1.3,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18430,67f2a80b1e7ec85188a5a592,6,30,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
4,687.6999999880791,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,5,0,dot,bat2,bat2_mooney_dot_off4,catch,regular,pre,off,41zyv1nryq6h0qg,html-keyboard-response,30,291069,0.0-11.0-5.4-1.4,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18430,67f2a80b1e7ec85188a5a592,6,30,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
5,1493.9000000357628,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,6,0,dot,carriage,carriage_mooney_dot_off4,target,horizontal_flip,pre,off,41zyv1nryq6h0qg,html-keyboard-response,34,293578,0.0-11.0-5.5-1.5,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18430,67f2a80b1e7ec85188a5a592,6,30,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
6,1640.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,7,0,dot,missile,missile_mooney_dot_off2,target,regular,pre,off,41zyv1nryq6h0qg,html-keyboard-response,38,296228,0.0-11.0-5.6-1.6,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18430,67f2a80b1e7ec85188a5a592,6,30,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
7,1910.699999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,carriage,carriage_mooney_dot_on1,target,horizontal_flip,pre,on,41zyv1nryq6h0qg,html-keyboard-response,42,299144,0.0-11.0-5.7-1.7,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18430,67f2a80b1e7ec85188a5a592,6,30,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
8,1099.8999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,9,0,dot,bat2,bat2_mooney_dot_on3,catch,regular,pre,on,41zyv1nryq6h0qg,html-keyboard-response,46,301255,0.0-11.0-5.8-1.8,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18430,67f2a80b1e7ec85188a5a592,6,30,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
9,1001.9000000357628,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,10,0,dot,surfboard,surfboard_mooney_dot_on1,target,upside_down,pre,on,41zyv1nryq6h0qg,html-keyboard-response,50,303273,0.0-11.0-5.9-1.9,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18430,67f2a80b1e7ec85188a5a592,6,30,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
10,871.3999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,11,0,dot,missile,missile_mooney_dot_on1,target,regular,pre,on,41zyv1nryq6h0qg,html-keyboard-response,54,305163,0.0-11.0-5.10-1.10,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18430,67f2a80b1e7ec85188a5a592,6,30,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
11,1381.699999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,12,0,dot,carriage,carriage_mooney_dot_on3,target,horizontal_flip,pre,on,41zyv1nryq6h0qg,html-keyboard-response,58,307558,0.0-11.0-5.11-1.11,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18430,67f2a80b1e7ec85188a5a592,6,30,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
12,1885,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,13,0,dot,bat2,bat2_mooney_dot_on1,catch,regular,pre,on,41zyv1nryq6h0qg,html-keyboard-response,62,310464,0.0-11.0-5.12-1.12,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18430,67f2a80b1e7ec85188a5a592,6,30,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
13,1174,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,14,0,dot,surfboard,surfboard_mooney_dot_on3,target,upside_down,pre,on,41zyv1nryq6h0qg,html-keyboard-response,66,312655,0.0-11.0-5.13-1.13,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18430,67f2a80b1e7ec85188a5a592,6,30,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
14,1541.6000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,15,0,dot,carriage,carriage_mooney_dot_off2,target,horizontal_flip,pre,off,41zyv1nryq6h0qg,html-keyboard-response,70,315210,0.0-11.0-5.14-1.14,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18430,67f2a80b1e7ec85188a5a592,6,30,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
15,1071.800000011921,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,16,0,dot,missile,missile_mooney_dot_on3,target,regular,pre,on,41zyv1nryq6h0qg,html-keyboard-response,74,317310,0.0-11.0-5.15-1.15,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18430,67f2a80b1e7ec85188a5a592,6,30,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
16,,,,17,0,recognition,carriage,carriage_mooney,target,horizontal_flip,pre,null,41zyv1nryq6h0qg,survey-text-autocomplete,82,337382,0.0-11.0-6.16-4.16,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18430,67f2a80b1e7ec85188a5a592,6,30,United Kingdom,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""map""}",map,0.8321543809763241,0.0
17,,,,18,0,recognition,bat2,bat2_mooney,catch,regular,pre,null,41zyv1nryq6h0qg,survey-text-autocomplete,89,349381,0.0-11.0-6.17-4.17,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18430,67f2a80b1e7ec85188a5a592,6,30,United Kingdom,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""anchor""}",anchor,0.8250951330089196,0.0
18,,,,19,0,recognition,surfboard,surfboard_mooney,target,upside_down,pre,null,41zyv1nryq6h0qg,survey-text-autocomplete,96,369571,0.0-11.0-6.18-4.18,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18430,67f2a80b1e7ec85188a5a592,6,30,United Kingdom,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""river horse""}",river_horse,0.7996754787797249,0.0
19,,,,20,0,recognition,missile,missile_mooney,target,regular,pre,null,41zyv1nryq6h0qg,survey-text-autocomplete,103,376963,0.0-11.0-6.19-4.19,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18430,67f2a80b1e7ec85188a5a592,6,30,United Kingdom,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""line""}",line,0.7192594382498922,0.0
