index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,1,0,dot,puddle,puddle_mooney_dot_off4,target,regular,pre,off,4w13uz7sj9ov4p2,html-keyboard-response,14,221039,0.0-11.0-5.0-1.0,Chrome,135.0,macOS,10.15.7,undefined,undefined,1470 x 956,1470 x 831,https://exponline.ugr.es/publix/939/997/start?srid=18455,6658cf093c3b7a255aeae9eb,30,22,United Kingdom,Female,Right-handed,Exp,dot_recog,,0,1,,,,
1,2569.100000000035,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pedal_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,2,0,dot,pedal,pedal_mooney_dot_off4,catch,regular,pre,off,4w13uz7sj9ov4p2,html-keyboard-response,18,224614,0.0-11.0-5.1-1.1,Chrome,135.0,macOS,10.15.7,undefined,undefined,1470 x 956,1470 x 831,https://exponline.ugr.es/publix/939/997/start?srid=18455,6658cf093c3b7a255aeae9eb,30,22,United Kingdom,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
2,3465.7999999999884,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,3,0,dot,backpack,backpack_mooney_dot_off2,target,horizontal_flip,pre,off,4w13uz7sj9ov4p2,html-keyboard-response,22,229086,0.0-11.0-5.2-1.2,Chrome,135.0,macOS,10.15.7,undefined,undefined,1470 x 956,1470 x 831,https://exponline.ugr.es/publix/939/997/start?srid=18455,6658cf093c3b7a255aeae9eb,30,22,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
3,1499.2999999999884,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,pomegranate,pomegranate_mooney_dot_on3,target,upside_down,pre,on,4w13uz7sj9ov4p2,html-keyboard-response,26,231591,0.0-11.0-5.3-1.3,Chrome,135.0,macOS,10.15.7,undefined,undefined,1470 x 956,1470 x 831,https://exponline.ugr.es/publix/939/997/start?srid=18455,6658cf093c3b7a255aeae9eb,30,22,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
4,3721.7000000000116,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,5,0,dot,puddle,puddle_mooney_dot_on3,target,regular,pre,on,4w13uz7sj9ov4p2,html-keyboard-response,30,236318,0.0-11.0-5.4-1.4,Chrome,135.0,macOS,10.15.7,undefined,undefined,1470 x 956,1470 x 831,https://exponline.ugr.es/publix/939/997/start?srid=18455,6658cf093c3b7a255aeae9eb,30,22,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
5,2064.7999999999884,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,6,0,dot,pomegranate,pomegranate_mooney_dot_off4,target,upside_down,pre,off,4w13uz7sj9ov4p2,html-keyboard-response,34,239390,0.0-11.0-5.5-1.5,Chrome,135.0,macOS,10.15.7,undefined,undefined,1470 x 956,1470 x 831,https://exponline.ugr.es/publix/939/997/start?srid=18455,6658cf093c3b7a255aeae9eb,30,22,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
6,1194.2000000000116,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,7,0,dot,backpack,backpack_mooney_dot_on1,target,horizontal_flip,pre,on,4w13uz7sj9ov4p2,html-keyboard-response,38,241590,0.0-11.0-5.6-1.6,Chrome,135.0,macOS,10.15.7,undefined,undefined,1470 x 956,1470 x 831,https://exponline.ugr.es/publix/939/997/start?srid=18455,6658cf093c3b7a255aeae9eb,30,22,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
7,3538.2000000000116,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,8,0,dot,puddle,puddle_mooney_dot_off2,target,regular,pre,off,4w13uz7sj9ov4p2,html-keyboard-response,42,246135,0.0-11.0-5.7-1.7,Chrome,135.0,macOS,10.15.7,undefined,undefined,1470 x 956,1470 x 831,https://exponline.ugr.es/publix/939/997/start?srid=18455,6658cf093c3b7a255aeae9eb,30,22,United Kingdom,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
8,2034,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,9,0,dot,backpack,backpack_mooney_dot_on3,target,horizontal_flip,pre,on,4w13uz7sj9ov4p2,html-keyboard-response,46,249174,0.0-11.0-5.8-1.8,Chrome,135.0,macOS,10.15.7,undefined,undefined,1470 x 956,1470 x 831,https://exponline.ugr.es/publix/939/997/start?srid=18455,6658cf093c3b7a255aeae9eb,30,22,United Kingdom,Female,Right-handed,Exp,dot_recog,e,0,0,,,,
9,4703.799999999988,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,10,0,dot,pomegranate,pomegranate_mooney_dot_on1,target,upside_down,pre,on,4w13uz7sj9ov4p2,html-keyboard-response,50,254884,0.0-11.0-5.9-1.9,Chrome,135.0,macOS,10.15.7,undefined,undefined,1470 x 956,1470 x 831,https://exponline.ugr.es/publix/939/997/start?srid=18455,6658cf093c3b7a255aeae9eb,30,22,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
