index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,4038.7999999821186,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gutter_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,1,0,dot,gutter,gutter_mooney_dot_off4,catch,regular,pre,off,5a39mmf73501z47,html-keyboard-response,14,308263,0.0-11.0-5.0-1.0,Chrome,122.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 953,https://exponline.ugr.es/publix/939/997/start?srid=18446,664df63bbadb5bfc6fab223b,12,28,Pakistan,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
1,1309,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,2,0,dot,aloe,aloe_mooney_dot_on3,target,regular,pre,on,5a39mmf73501z47,html-keyboard-response,18,310582,0.0-11.0-5.1-1.1,Chrome,122.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 953,https://exponline.ugr.es/publix/939/997/start?srid=18446,664df63bbadb5bfc6fab223b,12,28,Pakistan,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
2,727.4000000059605,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,3,0,dot,steak,steak_mooney_dot_on3,target,horizontal_flip,pre,on,5a39mmf73501z47,html-keyboard-response,22,312319,0.0-11.0-5.2-1.2,Chrome,122.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 953,https://exponline.ugr.es/publix/939/997/start?srid=18446,664df63bbadb5bfc6fab223b,12,28,Pakistan,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
3,735.7000000178814,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,4,0,dot,buoy,buoy_mooney_dot_off4,target,upside_down,pre,off,5a39mmf73501z47,html-keyboard-response,26,314065,0.0-11.0-5.3-1.3,Chrome,122.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 953,https://exponline.ugr.es/publix/939/997/start?srid=18446,664df63bbadb5bfc6fab223b,12,28,Pakistan,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
4,663.1999999880791,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gutter_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,5,0,dot,gutter,gutter_mooney_dot_off2,catch,regular,pre,off,5a39mmf73501z47,html-keyboard-response,30,315735,0.0-11.0-5.4-1.4,Chrome,122.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 953,https://exponline.ugr.es/publix/939/997/start?srid=18446,664df63bbadb5bfc6fab223b,12,28,Pakistan,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
5,718.5999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,6,0,dot,steak,steak_mooney_dot_off2,target,horizontal_flip,pre,off,5a39mmf73501z47,html-keyboard-response,34,317463,0.0-11.0-5.5-1.5,Chrome,122.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 953,https://exponline.ugr.es/publix/939/997/start?srid=18446,664df63bbadb5bfc6fab223b,12,28,Pakistan,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
6,957.0999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,7,0,dot,aloe,aloe_mooney_dot_on1,target,regular,pre,on,5a39mmf73501z47,html-keyboard-response,38,319431,0.0-11.0-5.6-1.6,Chrome,122.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 953,https://exponline.ugr.es/publix/939/997/start?srid=18446,664df63bbadb5bfc6fab223b,12,28,Pakistan,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
7,786,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gutter_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,8,0,dot,gutter,gutter_mooney_dot_on3,catch,regular,pre,on,5a39mmf73501z47,html-keyboard-response,42,321231,0.0-11.0-5.7-1.7,Chrome,122.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 953,https://exponline.ugr.es/publix/939/997/start?srid=18446,664df63bbadb5bfc6fab223b,12,28,Pakistan,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
8,753.0999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,9,0,dot,steak,steak_mooney_dot_off4,target,horizontal_flip,pre,off,5a39mmf73501z47,html-keyboard-response,46,322999,0.0-11.0-5.8-1.8,Chrome,122.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 953,https://exponline.ugr.es/publix/939/997/start?srid=18446,664df63bbadb5bfc6fab223b,12,28,Pakistan,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
9,587.9000000059605,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,10,0,dot,buoy,buoy_mooney_dot_on1,target,upside_down,pre,on,5a39mmf73501z47,html-keyboard-response,50,324600,0.0-11.0-5.9-1.9,Chrome,122.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 953,https://exponline.ugr.es/publix/939/997/start?srid=18446,664df63bbadb5bfc6fab223b,12,28,Pakistan,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
