index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,1443.699999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,1,0,dot,axe,axe_mooney_dot_on3,catch,regular,pre,on,5uh57b9kkxdvfml,html-keyboard-response,14,393132,0.0-11.0-5.0-1.0,Chrome,135.0,macOS,10.15.7,undefined,undefined,1728 x 1117,809 x 876,https://exponline.ugr.es/publix/939/997/start?srid=18370,67894339aa346efa2532bf8d,24,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
1,474.69999998807907,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,eclair,eclair_mooney_dot_off2,target,regular,pre,off,5uh57b9kkxdvfml,html-keyboard-response,18,394613,0.0-11.0-5.1-1.1,Chrome,135.0,macOS,10.15.7,undefined,undefined,1728 x 1117,809 x 876,https://exponline.ugr.es/publix/939/997/start?srid=18370,67894339aa346efa2532bf8d,24,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
2,512,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/figurine_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,3,0,dot,figurine,figurine_mooney_dot_on3,target,horizontal_flip,pre,on,5uh57b9kkxdvfml,html-keyboard-response,22,396133,0.0-11.0-5.2-1.2,Chrome,135.0,macOS,10.15.7,undefined,undefined,1728 x 1117,809 x 876,https://exponline.ugr.es/publix/939/997/start?srid=18370,67894339aa346efa2532bf8d,24,37,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
3,443.69999998807907,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,4,0,dot,axe,axe_mooney_dot_on1,catch,regular,pre,on,5uh57b9kkxdvfml,html-keyboard-response,26,397585,0.0-11.0-5.3-1.3,Chrome,135.0,macOS,10.15.7,undefined,undefined,1728 x 1117,809 x 876,https://exponline.ugr.es/publix/939/997/start?srid=18370,67894339aa346efa2532bf8d,24,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
4,361,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/figurine_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,5,0,dot,figurine,figurine_mooney_dot_off2,target,horizontal_flip,pre,off,5uh57b9kkxdvfml,html-keyboard-response,30,398953,0.0-11.0-5.4-1.4,Chrome,135.0,macOS,10.15.7,undefined,undefined,1728 x 1117,809 x 876,https://exponline.ugr.es/publix/939/997/start?srid=18370,67894339aa346efa2532bf8d,24,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
5,418.39999997615814,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,6,0,dot,eclair,eclair_mooney_dot_on3,target,regular,pre,on,5uh57b9kkxdvfml,html-keyboard-response,34,400378,0.0-11.0-5.5-1.5,Chrome,135.0,macOS,10.15.7,undefined,undefined,1728 x 1117,809 x 876,https://exponline.ugr.es/publix/939/997/start?srid=18370,67894339aa346efa2532bf8d,24,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
6,404.90000000596046,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,7,0,dot,axe,axe_mooney_dot_off4,catch,regular,pre,off,5uh57b9kkxdvfml,html-keyboard-response,38,401792,0.0-11.0-5.6-1.6,Chrome,135.0,macOS,10.15.7,undefined,undefined,1728 x 1117,809 x 876,https://exponline.ugr.es/publix/939/997/start?srid=18370,67894339aa346efa2532bf8d,24,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
7,356.90000000596046,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,8,0,dot,peanut_butter,peanut_butter_mooney_dot_on3,target,upside_down,pre,on,5uh57b9kkxdvfml,html-keyboard-response,42,403154,0.0-11.0-5.7-1.7,Chrome,135.0,macOS,10.15.7,undefined,undefined,1728 x 1117,809 x 876,https://exponline.ugr.es/publix/939/997/start?srid=18370,67894339aa346efa2532bf8d,24,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
8,322,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,9,0,dot,axe,axe_mooney_dot_off2,catch,regular,pre,off,5uh57b9kkxdvfml,html-keyboard-response,46,404484,0.0-11.0-5.8-1.8,Chrome,135.0,macOS,10.15.7,undefined,undefined,1728 x 1117,809 x 876,https://exponline.ugr.es/publix/939/997/start?srid=18370,67894339aa346efa2532bf8d,24,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
9,276.2000000178814,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,10,0,dot,peanut_butter,peanut_butter_mooney_dot_on1,target,upside_down,pre,on,5uh57b9kkxdvfml,html-keyboard-response,50,405767,0.0-11.0-5.9-1.9,Chrome,135.0,macOS,10.15.7,undefined,undefined,1728 x 1117,809 x 876,https://exponline.ugr.es/publix/939/997/start?srid=18370,67894339aa346efa2532bf8d,24,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
10,311.40000000596046,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,11,0,dot,eclair,eclair_mooney_dot_on1,target,regular,pre,on,5uh57b9kkxdvfml,html-keyboard-response,54,407085,0.0-11.0-5.10-1.10,Chrome,135.0,macOS,10.15.7,undefined,undefined,1728 x 1117,809 x 876,https://exponline.ugr.es/publix/939/997/start?srid=18370,67894339aa346efa2532bf8d,24,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
11,351.2999999821186,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,12,0,dot,peanut_butter,peanut_butter_mooney_dot_off2,target,upside_down,pre,off,5uh57b9kkxdvfml,html-keyboard-response,58,408443,0.0-11.0-5.11-1.11,Chrome,135.0,macOS,10.15.7,undefined,undefined,1728 x 1117,809 x 876,https://exponline.ugr.es/publix/939/997/start?srid=18370,67894339aa346efa2532bf8d,24,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
12,303.69999998807907,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,13,0,dot,eclair,eclair_mooney_dot_off4,target,regular,pre,off,5uh57b9kkxdvfml,html-keyboard-response,62,409755,0.0-11.0-5.12-1.12,Chrome,135.0,macOS,10.15.7,undefined,undefined,1728 x 1117,809 x 876,https://exponline.ugr.es/publix/939/997/start?srid=18370,67894339aa346efa2532bf8d,24,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
13,447,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/figurine_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,14,0,dot,figurine,figurine_mooney_dot_on1,target,horizontal_flip,pre,on,5uh57b9kkxdvfml,html-keyboard-response,66,411211,0.0-11.0-5.13-1.13,Chrome,135.0,macOS,10.15.7,undefined,undefined,1728 x 1117,809 x 876,https://exponline.ugr.es/publix/939/997/start?srid=18370,67894339aa346efa2532bf8d,24,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
14,336,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,15,0,dot,peanut_butter,peanut_butter_mooney_dot_off4,target,upside_down,pre,off,5uh57b9kkxdvfml,html-keyboard-response,70,412554,0.0-11.0-5.14-1.14,Chrome,135.0,macOS,10.15.7,undefined,undefined,1728 x 1117,809 x 876,https://exponline.ugr.es/publix/939/997/start?srid=18370,67894339aa346efa2532bf8d,24,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
