index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,1207.8999999999069,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,1,0,dot,axe,axe_mooney_dot_off2,catch,regular,pre,off,5w7lj49gckh4v2o,html-keyboard-response,14,241403,0.0-11.0-5.0-1.0,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 645,https://exponline.ugr.es/publix/939/997/start?srid=18385,567f59e0d18c640011e7ac0b,22,36,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,0,,,,
1,592.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,2,0,dot,bat2,bat2_mooney_dot_off4,target,horizontal_flip,pre,off,5w7lj49gckh4v2o,html-keyboard-response,18,243017,0.0-11.0-5.1-1.1,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 645,https://exponline.ugr.es/publix/939/997/start?srid=18385,567f59e0d18c640011e7ac0b,22,36,United Kingdom,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
2,693.5999999998603,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,3,0,dot,banana_peel,banana_peel_mooney_dot_off4,target,regular,pre,off,5w7lj49gckh4v2o,html-keyboard-response,22,244733,0.0-11.0-5.2-1.2,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 645,https://exponline.ugr.es/publix/939/997/start?srid=18385,567f59e0d18c640011e7ac0b,22,36,United Kingdom,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
3,646,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,4,0,dot,bat2,bat2_mooney_dot_off2,target,horizontal_flip,pre,off,5w7lj49gckh4v2o,html-keyboard-response,26,246389,0.0-11.0-5.3-1.3,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 645,https://exponline.ugr.es/publix/939/997/start?srid=18385,567f59e0d18c640011e7ac0b,22,36,United Kingdom,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
4,706.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,5,0,dot,banana_peel,banana_peel_mooney_dot_on1,target,regular,pre,on,5w7lj49gckh4v2o,html-keyboard-response,30,248114,0.0-11.0-5.4-1.4,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 645,https://exponline.ugr.es/publix/939/997/start?srid=18385,567f59e0d18c640011e7ac0b,22,36,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
5,557.6999999999534,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,6,0,dot,axe,axe_mooney_dot_on1,catch,regular,pre,on,5w7lj49gckh4v2o,html-keyboard-response,34,249691,0.0-11.0-5.5-1.5,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 645,https://exponline.ugr.es/publix/939/997/start?srid=18385,567f59e0d18c640011e7ac0b,22,36,United Kingdom,Female,Right-handed,Exp,dot_recog,i,0,0,,,,
6,553.7000000001863,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,7,0,dot,bat2,bat2_mooney_dot_on1,target,horizontal_flip,pre,on,5w7lj49gckh4v2o,html-keyboard-response,38,251262,0.0-11.0-5.6-1.6,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 645,https://exponline.ugr.es/publix/939/997/start?srid=18385,567f59e0d18c640011e7ac0b,22,36,United Kingdom,Female,Right-handed,Exp,dot_recog,i,0,0,,,,
7,457.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,8,0,dot,banana_peel,banana_peel_mooney_dot_on3,target,regular,pre,on,5w7lj49gckh4v2o,html-keyboard-response,42,252731,0.0-11.0-5.7-1.7,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 645,https://exponline.ugr.es/publix/939/997/start?srid=18385,567f59e0d18c640011e7ac0b,22,36,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
8,298.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,9,0,dot,backpack,backpack_mooney_dot_off4,target,upside_down,pre,off,5w7lj49gckh4v2o,html-keyboard-response,46,254041,0.0-11.0-5.8-1.8,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 645,https://exponline.ugr.es/publix/939/997/start?srid=18385,567f59e0d18c640011e7ac0b,22,36,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,0,,,,
9,253.19999999995343,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,10,0,dot,banana_peel,banana_peel_mooney_dot_off2,target,regular,pre,off,5w7lj49gckh4v2o,html-keyboard-response,50,255310,0.0-11.0-5.9-1.9,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 645,https://exponline.ugr.es/publix/939/997/start?srid=18385,567f59e0d18c640011e7ac0b,22,36,United Kingdom,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
