index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,scale_factor,win_width_deg,win_height_deg,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,verbal_id,semantic_distance,verbal_acc_corrected
14,,,,,,html-keyboard-response,14,157599,0.0-11.0-5.0-1.0,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1280 x 585,6humc536hjh84hh,https://exponline.ugr.es/publix/939/997/start?srid=18445,5e3ddcf95556b204cb143eab,33,30,Russia,Female,Left-handed,,2804,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sandal_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,1,0,dot,sandal,sandal_mooney_dot_off4,target,regular,pre,off,Exp,dot_recog,e,0,1,,,
18,,,,,,html-keyboard-response,18,159563,0.0-11.0-5.1-1.1,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1280 x 585,6humc536hjh84hh,https://exponline.ugr.es/publix/939/997/start?srid=18445,5e3ddcf95556b204cb143eab,33,30,Russia,Female,Left-handed,,960.0999999046326,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,2,0,dot,banana_peel,banana_peel_mooney_dot_off4,catch,regular,pre,off,Exp,dot_recog,e,0,1,,,
22,,,,,,html-keyboard-response,22,161129,0.0-11.0-5.2-1.2,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1280 x 585,6humc536hjh84hh,https://exponline.ugr.es/publix/939/997/start?srid=18445,5e3ddcf95556b204cb143eab,33,30,Russia,Female,Left-handed,,555.5,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,3,0,dot,bat2,bat2_mooney_dot_off4,target,upside_down,pre,off,Exp,dot_recog,e,0,1,,,
26,,,,,,html-keyboard-response,26,163094,0.0-11.0-5.3-1.3,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1280 x 585,6humc536hjh84hh,https://exponline.ugr.es/publix/939/997/start?srid=18445,5e3ddcf95556b204cb143eab,33,30,Russia,Female,Left-handed,,955.6999998092651,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,4,0,dot,axe,axe_mooney_dot_on1,target,horizontal_flip,pre,on,Exp,dot_recog,e,0,0,,,
30,,,,,,html-keyboard-response,30,164578,0.0-11.0-5.4-1.4,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1280 x 585,6humc536hjh84hh,https://exponline.ugr.es/publix/939/997/start?srid=18445,5e3ddcf95556b204cb143eab,33,30,Russia,Female,Left-handed,,479.89999985694885,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,5,0,dot,banana_peel,banana_peel_mooney_dot_on1,catch,regular,pre,on,Exp,dot_recog,e,0,0,,,
34,,,,,,html-keyboard-response,34,166639,0.0-11.0-5.5-1.5,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1280 x 585,6humc536hjh84hh,https://exponline.ugr.es/publix/939/997/start?srid=18445,5e3ddcf95556b204cb143eab,33,30,Russia,Female,Left-handed,,1054.1000001430511,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,6,0,dot,axe,axe_mooney_dot_off4,target,horizontal_flip,pre,off,Exp,dot_recog,e,0,1,,,
38,,,,,,html-keyboard-response,38,168128,0.0-11.0-5.6-1.6,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1280 x 585,6humc536hjh84hh,https://exponline.ugr.es/publix/939/997/start?srid=18445,5e3ddcf95556b204cb143eab,33,30,Russia,Female,Left-handed,,483.7999999523163,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,7,0,dot,bat2,bat2_mooney_dot_on1,target,upside_down,pre,on,Exp,dot_recog,e,0,0,,,
42,,,,,,html-keyboard-response,42,169642,0.0-11.0-5.7-1.7,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1280 x 585,6humc536hjh84hh,https://exponline.ugr.es/publix/939/997/start?srid=18445,5e3ddcf95556b204cb143eab,33,30,Russia,Female,Left-handed,,510.2000000476837,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,8,0,dot,axe,axe_mooney_dot_on3,target,horizontal_flip,pre,on,Exp,dot_recog,e,0,0,,,
46,,,,,,html-keyboard-response,46,173092,0.0-11.0-5.8-1.8,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1280 x 585,6humc536hjh84hh,https://exponline.ugr.es/publix/939/997/start?srid=18445,5e3ddcf95556b204cb143eab,33,30,Russia,Female,Left-handed,,2444,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,9,0,dot,banana_peel,banana_peel_mooney_dot_off2,catch,regular,pre,off,Exp,dot_recog,e,0,1,,,
50,,,,,,html-keyboard-response,50,177846,0.0-11.0-5.9-1.9,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1280 x 585,6humc536hjh84hh,https://exponline.ugr.es/publix/939/997/start?srid=18445,5e3ddcf95556b204cb143eab,33,30,Russia,Female,Left-handed,,3734.199999809265,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,10,0,dot,bat2,bat2_mooney_dot_off2,target,upside_down,pre,off,Exp,dot_recog,i,1,0,,,
