index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,scale_factor,win_width_deg,win_height_deg,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,verbal_id,semantic_distance,verbal_acc_corrected
14,,,,,,html-keyboard-response,14,317194,0.0-11.0-5.0-1.0,Chrome,130.0,Windows,10,undefined,undefined,2560 x 1440,1280 x 1321,7c6b72atuq7zxj9,https://exponline.ugr.es/publix/939/997/start?srid=18444,67cdee09b38869cee9f948be,14,42,United States,Female,Left-handed,,null,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,1,0,dot,carriage,carriage_mooney_dot_off4,catch,regular,pre,off,Exp,dot_recog,,0,1,,,
18,,,,,,html-keyboard-response,18,322624,0.0-11.0-5.1-1.1,Chrome,130.0,Windows,10,undefined,undefined,2560 x 1440,1280 x 1321,7c6b72atuq7zxj9,https://exponline.ugr.es/publix/939/997/start?srid=18444,67cdee09b38869cee9f948be,14,42,United States,Female,Left-handed,,4425.5999999940395,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,2,0,dot,pomegranate,pomegranate_mooney_dot_off2,target,regular,pre,off,Exp,dot_recog,e,1,0,,,
22,,,,,,html-keyboard-response,22,325267,0.0-11.0-5.2-1.2,Chrome,130.0,Windows,10,undefined,undefined,2560 x 1440,1280 x 1321,7c6b72atuq7zxj9,https://exponline.ugr.es/publix/939/997/start?srid=18444,67cdee09b38869cee9f948be,14,42,United States,Female,Left-handed,,1636.2999999821186,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,3,0,dot,grasshopper,grasshopper_mooney_dot_on1,target,horizontal_flip,pre,on,Exp,dot_recog,e,1,1,,,
26,,,,,,html-keyboard-response,26,327346,0.0-11.0-5.3-1.3,Chrome,130.0,Windows,10,undefined,undefined,2560 x 1440,1280 x 1321,7c6b72atuq7zxj9,https://exponline.ugr.es/publix/939/997/start?srid=18444,67cdee09b38869cee9f948be,14,42,United States,Female,Left-handed,,1073.0999999940395,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,4,0,dot,pomegranate,pomegranate_mooney_dot_on1,target,regular,pre,on,Exp,dot_recog,i,0,0,,,
30,,,,,,html-keyboard-response,30,328763,0.0-11.0-5.4-1.4,Chrome,130.0,Windows,10,undefined,undefined,2560 x 1440,1280 x 1321,7c6b72atuq7zxj9,https://exponline.ugr.es/publix/939/997/start?srid=18444,67cdee09b38869cee9f948be,14,42,United States,Female,Left-handed,,412.60000002384186,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,5,0,dot,grasshopper,grasshopper_mooney_dot_off4,target,horizontal_flip,pre,off,Exp,dot_recog,e,1,0,,,
34,,,,,,html-keyboard-response,34,330538,0.0-11.0-5.5-1.5,Chrome,130.0,Windows,10,undefined,undefined,2560 x 1440,1280 x 1321,7c6b72atuq7zxj9,https://exponline.ugr.es/publix/939/997/start?srid=18444,67cdee09b38869cee9f948be,14,42,United States,Female,Left-handed,,769.7999999821186,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,6,0,dot,snail,snail_mooney_dot_on1,target,upside_down,pre,on,Exp,dot_recog,e,1,1,,,
38,,,,,,html-keyboard-response,38,331986,0.0-11.0-5.6-1.6,Chrome,130.0,Windows,10,undefined,undefined,2560 x 1440,1280 x 1321,7c6b72atuq7zxj9,https://exponline.ugr.es/publix/939/997/start?srid=18444,67cdee09b38869cee9f948be,14,42,United States,Female,Left-handed,,430.90000000596046,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,7,0,dot,grasshopper,grasshopper_mooney_dot_off2,target,horizontal_flip,pre,off,Exp,dot_recog,e,1,0,,,
42,,,,,,html-keyboard-response,42,333315,0.0-11.0-5.7-1.7,Chrome,130.0,Windows,10,undefined,undefined,2560 x 1440,1280 x 1321,7c6b72atuq7zxj9,https://exponline.ugr.es/publix/939/997/start?srid=18444,67cdee09b38869cee9f948be,14,42,United States,Female,Left-handed,,325.09999999403954,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,8,0,dot,carriage,carriage_mooney_dot_off2,catch,regular,pre,off,Exp,dot_recog,i,0,1,,,
46,,,,,,html-keyboard-response,46,334555,0.0-11.0-5.8-1.8,Chrome,130.0,Windows,10,undefined,undefined,2560 x 1440,1280 x 1321,7c6b72atuq7zxj9,https://exponline.ugr.es/publix/939/997/start?srid=18444,67cdee09b38869cee9f948be,14,42,United States,Female,Left-handed,,237.09999999403954,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,9,0,dot,snail,snail_mooney_dot_off2,target,upside_down,pre,off,Exp,dot_recog,e,1,0,,,
50,,,,,,html-keyboard-response,50,338419,0.0-11.0-5.9-1.9,Chrome,130.0,Windows,10,undefined,undefined,2560 x 1440,1280 x 1321,7c6b72atuq7zxj9,https://exponline.ugr.es/publix/939/997/start?srid=18444,67cdee09b38869cee9f948be,14,42,United States,Female,Left-handed,,2858.100000023842,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,10,0,dot,carriage,carriage_mooney_dot_on3,catch,regular,pre,on,Exp,dot_recog,i,0,0,,,
54,,,,,,html-keyboard-response,54,340803,0.0-11.0-5.10-1.10,Chrome,130.0,Windows,10,undefined,undefined,2560 x 1440,1280 x 1321,7c6b72atuq7zxj9,https://exponline.ugr.es/publix/939/997/start?srid=18444,67cdee09b38869cee9f948be,14,42,United States,Female,Left-handed,,1378.699999988079,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,11,0,dot,pomegranate,pomegranate_mooney_dot_on3,target,regular,pre,on,Exp,dot_recog,e,1,1,,,
58,,,,,,html-keyboard-response,58,342435,0.0-11.0-5.11-1.11,Chrome,130.0,Windows,10,undefined,undefined,2560 x 1440,1280 x 1321,7c6b72atuq7zxj9,https://exponline.ugr.es/publix/939/997/start?srid=18444,67cdee09b38869cee9f948be,14,42,United States,Female,Left-handed,,627.4000000059605,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,12,0,dot,grasshopper,grasshopper_mooney_dot_on3,target,horizontal_flip,pre,on,Exp,dot_recog,e,1,1,,,
62,,,,,,html-keyboard-response,62,344562,0.0-11.0-5.12-1.12,Chrome,130.0,Windows,10,undefined,undefined,2560 x 1440,1280 x 1321,7c6b72atuq7zxj9,https://exponline.ugr.es/publix/939/997/start?srid=18444,67cdee09b38869cee9f948be,14,42,United States,Female,Left-handed,,1120.5999999940395,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,13,0,dot,carriage,carriage_mooney_dot_on1,catch,regular,pre,on,Exp,dot_recog,e,1,1,,,
66,,,,,,html-keyboard-response,66,346299,0.0-11.0-5.13-1.13,Chrome,130.0,Windows,10,undefined,undefined,2560 x 1440,1280 x 1321,7c6b72atuq7zxj9,https://exponline.ugr.es/publix/939/997/start?srid=18444,67cdee09b38869cee9f948be,14,42,United States,Female,Left-handed,,733.1999999880791,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,14,0,dot,snail,snail_mooney_dot_on3,target,upside_down,pre,on,Exp,dot_recog,e,1,1,,,
