index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,4547,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,1,0,dot,aloe,aloe_mooney_dot_off2,catch,regular,pre,off,863p97db18nk6uj,html-keyboard-response,14,217338,0.0-11.0-5.0-1.0,Chrome,135.0,Windows,10,undefined,undefined,1368 x 912,1360 x 794,https://exponline.ugr.es/publix/939/997/start?srid=18396,667822ae2cfef0da7acb3960,8,31,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
1,760.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,2,0,dot,buoy,buoy_mooney_dot_on1,target,horizontal_flip,pre,on,863p97db18nk6uj,html-keyboard-response,18,219114,0.0-11.0-5.1-1.1,Chrome,135.0,Windows,10,undefined,undefined,1368 x 912,1360 x 794,https://exponline.ugr.es/publix/939/997/start?srid=18396,667822ae2cfef0da7acb3960,8,31,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
2,823,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,3,0,dot,gargoyle,gargoyle_mooney_dot_on1,target,upside_down,pre,on,863p97db18nk6uj,html-keyboard-response,22,220954,0.0-11.0-5.2-1.2,Chrome,135.0,Windows,10,undefined,undefined,1368 x 912,1360 x 794,https://exponline.ugr.es/publix/939/997/start?srid=18396,667822ae2cfef0da7acb3960,8,31,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
3,568.2000000011176,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,4,0,dot,banana_peel,banana_peel_mooney_dot_off4,target,regular,pre,off,863p97db18nk6uj,html-keyboard-response,26,222534,0.0-11.0-5.3-1.3,Chrome,135.0,Windows,10,undefined,undefined,1368 x 912,1360 x 794,https://exponline.ugr.es/publix/939/997/start?srid=18396,667822ae2cfef0da7acb3960,8,31,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
4,664.6999999992549,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,5,0,dot,buoy,buoy_mooney_dot_on3,target,horizontal_flip,pre,on,863p97db18nk6uj,html-keyboard-response,30,224214,0.0-11.0-5.4-1.4,Chrome,135.0,Windows,10,undefined,undefined,1368 x 912,1360 x 794,https://exponline.ugr.es/publix/939/997/start?srid=18396,667822ae2cfef0da7acb3960,8,31,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
5,731.4000000003725,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,6,0,dot,gargoyle,gargoyle_mooney_dot_off2,target,upside_down,pre,off,863p97db18nk6uj,html-keyboard-response,34,225954,0.0-11.0-5.5-1.5,Chrome,135.0,Windows,10,undefined,undefined,1368 x 912,1360 x 794,https://exponline.ugr.es/publix/939/997/start?srid=18396,667822ae2cfef0da7acb3960,8,31,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
6,1759.4000000003725,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,7,0,dot,aloe,aloe_mooney_dot_on1,catch,regular,pre,on,863p97db18nk6uj,html-keyboard-response,38,228726,0.0-11.0-5.6-1.6,Chrome,135.0,Windows,10,undefined,undefined,1368 x 912,1360 x 794,https://exponline.ugr.es/publix/939/997/start?srid=18396,667822ae2cfef0da7acb3960,8,31,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,0,,,,
7,835.4000000003725,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,8,0,dot,buoy,buoy_mooney_dot_off2,target,horizontal_flip,pre,off,863p97db18nk6uj,html-keyboard-response,42,230574,0.0-11.0-5.7-1.7,Chrome,135.0,Windows,10,undefined,undefined,1368 x 912,1360 x 794,https://exponline.ugr.es/publix/939/997/start?srid=18396,667822ae2cfef0da7acb3960,8,31,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
8,1244.5999999996275,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,9,0,dot,aloe,aloe_mooney_dot_on3,catch,regular,pre,on,863p97db18nk6uj,html-keyboard-response,46,232835,0.0-11.0-5.8-1.8,Chrome,135.0,Windows,10,undefined,undefined,1368 x 912,1360 x 794,https://exponline.ugr.es/publix/939/997/start?srid=18396,667822ae2cfef0da7acb3960,8,31,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
9,930.6999999992549,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,10,0,dot,banana_peel,banana_peel_mooney_dot_off2,target,regular,pre,off,863p97db18nk6uj,html-keyboard-response,50,234784,0.0-11.0-5.9-1.9,Chrome,135.0,Windows,10,undefined,undefined,1368 x 912,1360 x 794,https://exponline.ugr.es/publix/939/997/start?srid=18396,667822ae2cfef0da7acb3960,8,31,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
