index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,789,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puffin_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,1,0,dot,puffin,puffin_mooney_dot_off4,target,regular,pre,off,9c7fthldlqnmdns,html-keyboard-response,14,585496,0.0-11.0-5.0-1.0,Firefox,137.0,Windows,10,undefined,undefined,1440 x 960,1440 x 827,https://exponline.ugr.es/publix/939/997/start?srid=18423,62c5d0cfdf443d24e054d302,19,32,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
1,492,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/parking_meter_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,parking_meter,parking_meter_mooney_dot_on3,catch,regular,pre,on,9c7fthldlqnmdns,html-keyboard-response,18,587003,0.0-11.0-5.1-1.1,Firefox,137.0,Windows,10,undefined,undefined,1440 x 960,1440 x 827,https://exponline.ugr.es/publix/939/997/start?srid=18423,62c5d0cfdf443d24e054d302,19,32,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
2,570,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,3,0,dot,snail,snail_mooney_dot_off4,target,upside_down,pre,off,9c7fthldlqnmdns,html-keyboard-response,22,588590,0.0-11.0-5.2-1.2,Firefox,137.0,Windows,10,undefined,undefined,1440 x 960,1440 x 827,https://exponline.ugr.es/publix/939/997/start?srid=18423,62c5d0cfdf443d24e054d302,19,32,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
3,564,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puffin_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,4,0,dot,puffin,puffin_mooney_dot_on3,target,regular,pre,on,9c7fthldlqnmdns,html-keyboard-response,26,590164,0.0-11.0-5.3-1.3,Firefox,137.0,Windows,10,undefined,undefined,1440 x 960,1440 x 827,https://exponline.ugr.es/publix/939/997/start?srid=18423,62c5d0cfdf443d24e054d302,19,32,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
4,388,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,5,0,dot,snail,snail_mooney_dot_off2,target,upside_down,pre,off,9c7fthldlqnmdns,html-keyboard-response,30,591568,0.0-11.0-5.4-1.4,Firefox,137.0,Windows,10,undefined,undefined,1440 x 960,1440 x 827,https://exponline.ugr.es/publix/939/997/start?srid=18423,62c5d0cfdf443d24e054d302,19,32,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
5,740,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/parking_meter_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,6,0,dot,parking_meter,parking_meter_mooney_dot_off4,catch,regular,pre,off,9c7fthldlqnmdns,html-keyboard-response,34,593319,0.0-11.0-5.5-1.5,Firefox,137.0,Windows,10,undefined,undefined,1440 x 960,1440 x 827,https://exponline.ugr.es/publix/939/997/start?srid=18423,62c5d0cfdf443d24e054d302,19,32,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
6,1589,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,7,0,dot,candelabra,candelabra_mooney_dot_on3,target,horizontal_flip,pre,on,9c7fthldlqnmdns,html-keyboard-response,38,595916,0.0-11.0-5.6-1.6,Firefox,137.0,Windows,10,undefined,undefined,1440 x 960,1440 x 827,https://exponline.ugr.es/publix/939/997/start?srid=18423,62c5d0cfdf443d24e054d302,19,32,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
7,779,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,8,0,dot,snail,snail_mooney_dot_on1,target,upside_down,pre,on,9c7fthldlqnmdns,html-keyboard-response,42,597711,0.0-11.0-5.7-1.7,Firefox,137.0,Windows,10,undefined,undefined,1440 x 960,1440 x 827,https://exponline.ugr.es/publix/939/997/start?srid=18423,62c5d0cfdf443d24e054d302,19,32,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
8,933,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puffin_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,9,0,dot,puffin,puffin_mooney_dot_on1,target,regular,pre,on,9c7fthldlqnmdns,html-keyboard-response,46,599648,0.0-11.0-5.8-1.8,Firefox,137.0,Windows,10,undefined,undefined,1440 x 960,1440 x 827,https://exponline.ugr.es/publix/939/997/start?srid=18423,62c5d0cfdf443d24e054d302,19,32,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
9,847,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,10,0,dot,candelabra,candelabra_mooney_dot_off2,target,horizontal_flip,pre,off,9c7fthldlqnmdns,html-keyboard-response,50,601507,0.0-11.0-5.9-1.9,Firefox,137.0,Windows,10,undefined,undefined,1440 x 960,1440 x 827,https://exponline.ugr.es/publix/939/997/start?srid=18423,62c5d0cfdf443d24e054d302,19,32,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
10,1075,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puffin_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,11,0,dot,puffin,puffin_mooney_dot_off2,target,regular,pre,off,9c7fthldlqnmdns,html-keyboard-response,54,603594,0.0-11.0-5.10-1.10,Firefox,137.0,Windows,10,undefined,undefined,1440 x 960,1440 x 827,https://exponline.ugr.es/publix/939/997/start?srid=18423,62c5d0cfdf443d24e054d302,19,32,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
11,1162,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/parking_meter_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,12,0,dot,parking_meter,parking_meter_mooney_dot_off2,catch,regular,pre,off,9c7fthldlqnmdns,html-keyboard-response,58,605832,0.0-11.0-5.11-1.11,Firefox,137.0,Windows,10,undefined,undefined,1440 x 960,1440 x 827,https://exponline.ugr.es/publix/939/997/start?srid=18423,62c5d0cfdf443d24e054d302,19,32,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
12,1009,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,13,0,dot,candelabra,candelabra_mooney_dot_on1,target,horizontal_flip,pre,on,9c7fthldlqnmdns,html-keyboard-response,62,607849,0.0-11.0-5.12-1.12,Firefox,137.0,Windows,10,undefined,undefined,1440 x 960,1440 x 827,https://exponline.ugr.es/publix/939/997/start?srid=18423,62c5d0cfdf443d24e054d302,19,32,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
13,625,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/parking_meter_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,14,0,dot,parking_meter,parking_meter_mooney_dot_on1,catch,regular,pre,on,9c7fthldlqnmdns,html-keyboard-response,66,609485,0.0-11.0-5.13-1.13,Firefox,137.0,Windows,10,undefined,undefined,1440 x 960,1440 x 827,https://exponline.ugr.es/publix/939/997/start?srid=18423,62c5d0cfdf443d24e054d302,19,32,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
14,1285,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,15,0,dot,snail,snail_mooney_dot_on3,target,upside_down,pre,on,9c7fthldlqnmdns,html-keyboard-response,70,611785,0.0-11.0-5.14-1.14,Firefox,137.0,Windows,10,undefined,undefined,1440 x 960,1440 x 827,https://exponline.ugr.es/publix/939/997/start?srid=18423,62c5d0cfdf443d24e054d302,19,32,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
15,879,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,16,0,dot,candelabra,candelabra_mooney_dot_off4,target,horizontal_flip,pre,off,9c7fthldlqnmdns,html-keyboard-response,74,613671,0.0-11.0-5.15-1.15,Firefox,137.0,Windows,10,undefined,undefined,1440 x 960,1440 x 827,https://exponline.ugr.es/publix/939/997/start?srid=18423,62c5d0cfdf443d24e054d302,19,32,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
16,,,,17,0,recognition,puffin,puffin_mooney,target,regular,pre,null,9c7fthldlqnmdns,survey-text-autocomplete,82,624877,0.0-11.0-6.16-4.16,Firefox,137.0,Windows,10,undefined,undefined,1440 x 960,1440 x 827,https://exponline.ugr.es/publix/939/997/start?srid=18423,62c5d0cfdf443d24e054d302,19,32,United Kingdom,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""sack""}",sack,0.6293854566147872,0.0
17,,,,18,0,recognition,candelabra,candelabra_mooney,target,horizontal_flip,pre,null,9c7fthldlqnmdns,survey-text-autocomplete,89,646737,0.0-11.0-6.17-4.17,Firefox,137.0,Windows,10,undefined,undefined,1440 x 960,1440 x 827,https://exponline.ugr.es/publix/939/997/start?srid=18423,62c5d0cfdf443d24e054d302,19,32,United Kingdom,Male,Right-handed,Exp,Recognition,,,,"""timeout""",,,0.0
18,,,,19,0,recognition,parking_meter,parking_meter_mooney,catch,regular,pre,null,9c7fthldlqnmdns,survey-text-autocomplete,96,654916,0.0-11.0-6.18-4.18,Firefox,137.0,Windows,10,undefined,undefined,1440 x 960,1440 x 827,https://exponline.ugr.es/publix/939/997/start?srid=18423,62c5d0cfdf443d24e054d302,19,32,United Kingdom,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""candle""}",candle,0.731880757377841,0.0
19,,,,20,0,recognition,snail,snail_mooney,target,upside_down,pre,null,9c7fthldlqnmdns,survey-text-autocomplete,103,663899,0.0-11.0-6.19-4.19,Firefox,137.0,Windows,10,undefined,undefined,1440 x 960,1440 x 827,https://exponline.ugr.es/publix/939/997/start?srid=18423,62c5d0cfdf443d24e054d302,19,32,United Kingdom,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""earpiece""}",earpiece,0.847357412874559,0.0
20,,,,21,0,recognition,candelabra,candelabra,target,horizontal_flip,color,null,9c7fthldlqnmdns,survey-text-autocomplete,110,675049,0.0-11.0-6.20-4.20,Firefox,137.0,Windows,10,undefined,undefined,1440 x 960,1440 x 827,https://exponline.ugr.es/publix/939/997/start?srid=18423,62c5d0cfdf443d24e054d302,19,32,United Kingdom,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""table""}",table,0.7139115276000704,0.0
