index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,1,0,dot,bat2,bat2_mooney_dot_on3,target,regular,pre,on,dux4elsp9493oa3,html-keyboard-response,14,791463,0.0-11.0-5.0-1.0,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1304 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18450,6734f1a1bb7c7049f1af7029,7,33,Nigeria,Female,Right-handed,Exp,dot_recog,,0,0,,,,
1,2705.099999964237,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,2,0,dot,pomegranate,pomegranate_mooney_dot_off4,target,horizontal_flip,pre,off,dux4elsp9493oa3,html-keyboard-response,18,795190,0.0-11.0-5.1-1.1,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1304 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18450,6734f1a1bb7c7049f1af7029,7,33,Nigeria,Female,Right-handed,Exp,dot_recog,e,1,0,,,,
2,3583.900000035763,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,3,0,dot,gargoyle,gargoyle_mooney_dot_off2,catch,regular,pre,off,dux4elsp9493oa3,html-keyboard-response,22,799789,0.0-11.0-5.2-1.2,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1304 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18450,6734f1a1bb7c7049f1af7029,7,33,Nigeria,Female,Right-handed,Exp,dot_recog,e,1,0,,,,
3,2469.199999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,4,0,dot,pomegranate,pomegranate_mooney_dot_off2,target,horizontal_flip,pre,off,dux4elsp9493oa3,html-keyboard-response,26,803270,0.0-11.0-5.3-1.3,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1304 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18450,6734f1a1bb7c7049f1af7029,7,33,Nigeria,Female,Right-handed,Exp,dot_recog,e,1,0,,,,
4,4595.600000023842,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puffin_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,5,0,dot,puffin,puffin_mooney_dot_on1,target,upside_down,pre,on,dux4elsp9493oa3,html-keyboard-response,30,808877,0.0-11.0-5.4-1.4,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1304 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18450,6734f1a1bb7c7049f1af7029,7,33,Nigeria,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
5,2233.399999976158,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,6,0,dot,bat2,bat2_mooney_dot_off2,target,regular,pre,off,dux4elsp9493oa3,html-keyboard-response,34,812131,0.0-11.0-5.5-1.5,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1304 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18450,6734f1a1bb7c7049f1af7029,7,33,Nigeria,Female,Right-handed,Exp,dot_recog,e,1,0,,,,
6,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puffin_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",null,7,0,dot,puffin,puffin_mooney_dot_off4,target,upside_down,pre,off,dux4elsp9493oa3,html-keyboard-response,38,818166,0.0-11.0-5.6-1.6,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1304 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18450,6734f1a1bb7c7049f1af7029,7,33,Nigeria,Female,Right-handed,Exp,dot_recog,,0,1,,,,
7,839,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,8,0,dot,pomegranate,pomegranate_mooney_dot_on3,target,horizontal_flip,pre,on,dux4elsp9493oa3,html-keyboard-response,42,820016,0.0-11.0-5.7-1.7,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1304 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18450,6734f1a1bb7c7049f1af7029,7,33,Nigeria,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
8,863.8000000119209,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,9,0,dot,gargoyle,gargoyle_mooney_dot_on3,catch,regular,pre,on,dux4elsp9493oa3,html-keyboard-response,46,821893,0.0-11.0-5.8-1.8,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1304 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18450,6734f1a1bb7c7049f1af7029,7,33,Nigeria,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
9,608.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puffin_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,10,0,dot,puffin,puffin_mooney_dot_on3,target,upside_down,pre,on,dux4elsp9493oa3,html-keyboard-response,50,823517,0.0-11.0-5.9-1.9,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1304 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18450,6734f1a1bb7c7049f1af7029,7,33,Nigeria,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
10,937.1000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,11,0,dot,bat2,bat2_mooney_dot_on1,target,regular,pre,on,dux4elsp9493oa3,html-keyboard-response,54,825475,0.0-11.0-5.10-1.10,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1304 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18450,6734f1a1bb7c7049f1af7029,7,33,Nigeria,Female,Right-handed,Exp,dot_recog,i,0,0,,,,
11,705.1999999880791,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,12,0,dot,gargoyle,gargoyle_mooney_dot_off4,catch,regular,pre,off,dux4elsp9493oa3,html-keyboard-response,58,827205,0.0-11.0-5.11-1.11,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1304 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18450,6734f1a1bb7c7049f1af7029,7,33,Nigeria,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
12,1754.699999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puffin_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,13,0,dot,puffin,puffin_mooney_dot_off2,target,upside_down,pre,off,dux4elsp9493oa3,html-keyboard-response,62,829970,0.0-11.0-5.12-1.12,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1304 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18450,6734f1a1bb7c7049f1af7029,7,33,Nigeria,Female,Right-handed,Exp,dot_recog,e,1,0,,,,
13,627.9000000357628,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,14,0,dot,bat2,bat2_mooney_dot_off4,target,regular,pre,off,dux4elsp9493oa3,html-keyboard-response,66,831619,0.0-11.0-5.13-1.13,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1304 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18450,6734f1a1bb7c7049f1af7029,7,33,Nigeria,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
14,808.3999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,15,0,dot,gargoyle,gargoyle_mooney_dot_on1,catch,regular,pre,on,dux4elsp9493oa3,html-keyboard-response,70,833450,0.0-11.0-5.14-1.14,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1304 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18450,6734f1a1bb7c7049f1af7029,7,33,Nigeria,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
15,1303.199999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,16,0,dot,pomegranate,pomegranate_mooney_dot_on1,target,horizontal_flip,pre,on,dux4elsp9493oa3,html-keyboard-response,74,835777,0.0-11.0-5.15-1.15,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1304 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18450,6734f1a1bb7c7049f1af7029,7,33,Nigeria,Female,Right-handed,Exp,dot_recog,i,0,0,,,,
16,,,,17,0,recognition,puffin,puffin_mooney,target,upside_down,pre,null,dux4elsp9493oa3,survey-text-autocomplete,82,849870,0.0-11.0-6.16-4.16,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1304 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18450,6734f1a1bb7c7049f1af7029,7,33,Nigeria,Female,Right-handed,Exp,Recognition,,,,"{""recognition"":""ocular""}",ocular,0.7189689787557896,0.0
