index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,1,0,dot,backpack,backpack_mooney_dot_on3,target,regular,pre,on,e0qq5plag9smtkz,html-keyboard-response,14,247103,0.0-11.0-5.0-1.0,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/997/start?srid=18401,6661b3bccfa516ea302f4556,16,38,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,0,,,,
1,1436.2999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,2,0,dot,bat2,bat2_mooney_dot_off4,target,horizontal_flip,pre,off,e0qq5plag9smtkz,html-keyboard-response,18,249556,0.0-11.0-5.1-1.1,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/997/start?srid=18401,6661b3bccfa516ea302f4556,16,38,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
2,1029.199999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,3,0,dot,bullet,bullet_mooney_dot_off4,catch,regular,pre,off,e0qq5plag9smtkz,html-keyboard-response,22,251596,0.0-11.0-5.2-1.2,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/997/start?srid=18401,6661b3bccfa516ea302f4556,16,38,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
3,1328.300000011921,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,4,0,dot,bat2,bat2_mooney_dot_on3,target,horizontal_flip,pre,on,e0qq5plag9smtkz,html-keyboard-response,26,253933,0.0-11.0-5.3-1.3,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/997/start?srid=18401,6661b3bccfa516ea302f4556,16,38,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
4,1275.699999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,5,0,dot,carriage,carriage_mooney_dot_on1,target,upside_down,pre,on,e0qq5plag9smtkz,html-keyboard-response,30,256213,0.0-11.0-5.4-1.4,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/997/start?srid=18401,6661b3bccfa516ea302f4556,16,38,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
5,1331.300000011921,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,6,0,dot,backpack,backpack_mooney_dot_off2,target,regular,pre,off,e0qq5plag9smtkz,html-keyboard-response,34,258554,0.0-11.0-5.5-1.5,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/997/start?srid=18401,6661b3bccfa516ea302f4556,16,38,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
6,938.3999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,7,0,dot,bullet,bullet_mooney_dot_off2,catch,regular,pre,off,e0qq5plag9smtkz,html-keyboard-response,38,260496,0.0-11.0-5.6-1.6,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/997/start?srid=18401,6661b3bccfa516ea302f4556,16,38,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
7,813.3999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,8,0,dot,bat2,bat2_mooney_dot_off2,target,horizontal_flip,pre,off,e0qq5plag9smtkz,html-keyboard-response,42,262321,0.0-11.0-5.7-1.7,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/997/start?srid=18401,6661b3bccfa516ea302f4556,16,38,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
8,988.3000000119209,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,9,0,dot,carriage,carriage_mooney_dot_on3,target,upside_down,pre,on,e0qq5plag9smtkz,html-keyboard-response,46,264329,0.0-11.0-5.8-1.8,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/997/start?srid=18401,6661b3bccfa516ea302f4556,16,38,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
9,1068.800000011921,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,10,0,dot,bullet,bullet_mooney_dot_on3,catch,regular,pre,on,e0qq5plag9smtkz,html-keyboard-response,50,266402,0.0-11.0-5.9-1.9,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/997/start?srid=18401,6661b3bccfa516ea302f4556,16,38,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,0,,,,
