index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,verbal_id,semantic_distance,verbal_acc_corrected
14,,,,,,html-keyboard-response,14,445692,0.0-11.0-5.0-1.0,Chrome,124.0,Windows,10,undefined,undefined,1856 x 1392,1280 x 585,ehevwpgdww8azak,https://exponline.ugr.es/publix/939/997/start?srid=18464,67f6ac7981322f0413d31a3e,4,25,United States,Female,Right-handed,,2750.9000000953674,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,1,0,dot,carriage,carriage_mooney_dot_on1,catch,regular,pre,on,Exp,dot_recog,e,0,0,,,
18,,,,,,html-keyboard-response,18,448158,0.0-11.0-5.1-1.1,Chrome,124.0,Windows,10,undefined,undefined,1856 x 1392,1280 x 585,ehevwpgdww8azak,https://exponline.ugr.es/publix/939/997/start?srid=18464,67f6ac7981322f0413d31a3e,4,25,United States,Female,Right-handed,,1460.2000000476837,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gutter_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,gutter,gutter_mooney_dot_off2,target,horizontal_flip,pre,off,Exp,dot_recog,i,1,0,,,
22,,,,,,html-keyboard-response,22,451293,0.0-11.0-5.2-1.2,Chrome,124.0,Windows,10,undefined,undefined,1856 x 1392,1280 x 585,ehevwpgdww8azak,https://exponline.ugr.es/publix/939/997/start?srid=18464,67f6ac7981322f0413d31a3e,4,25,United States,Female,Right-handed,,2120.0999999046326,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,3,0,dot,carriage,carriage_mooney_dot_on3,catch,regular,pre,on,Exp,dot_recog,i,1,1,,,
26,,,,,,html-keyboard-response,26,456376,0.0-11.0-5.3-1.3,Chrome,124.0,Windows,10,undefined,undefined,1856 x 1392,1280 x 585,ehevwpgdww8azak,https://exponline.ugr.es/publix/939/997/start?srid=18464,67f6ac7981322f0413d31a3e,4,25,United States,Female,Right-handed,,4072.7999999523163,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,4,0,dot,gargoyle,gargoyle_mooney_dot_off2,target,regular,pre,off,Exp,dot_recog,e,0,1,,,
30,,,,,,html-keyboard-response,30,462382,0.0-11.0-5.4-1.4,Chrome,124.0,Windows,10,undefined,undefined,1856 x 1392,1280 x 585,ehevwpgdww8azak,https://exponline.ugr.es/publix/939/997/start?srid=18464,67f6ac7981322f0413d31a3e,4,25,United States,Female,Right-handed,,null,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",null,5,0,dot,drill,drill_mooney_dot_on1,target,upside_down,pre,on,Exp,dot_recog,,0,0,,,
34,,,,,,html-keyboard-response,34,464772,0.0-11.0-5.5-1.5,Chrome,124.0,Windows,10,undefined,undefined,1856 x 1392,1280 x 585,ehevwpgdww8azak,https://exponline.ugr.es/publix/939/997/start?srid=18464,67f6ac7981322f0413d31a3e,4,25,United States,Female,Right-handed,,1383.7999999523163,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,6,0,dot,gargoyle,gargoyle_mooney_dot_on3,target,regular,pre,on,Exp,dot_recog,i,1,1,,,
38,,,,,,html-keyboard-response,38,466403,0.0-11.0-5.6-1.6,Chrome,124.0,Windows,10,undefined,undefined,1856 x 1392,1280 x 585,ehevwpgdww8azak,https://exponline.ugr.es/publix/939/997/start?srid=18464,67f6ac7981322f0413d31a3e,4,25,United States,Female,Right-handed,,617.0999999046326,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gutter_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,7,0,dot,gutter,gutter_mooney_dot_off4,target,horizontal_flip,pre,off,Exp,dot_recog,e,0,1,,,
42,,,,,,html-keyboard-response,42,468968,0.0-11.0-5.7-1.7,Chrome,124.0,Windows,10,undefined,undefined,1856 x 1392,1280 x 585,ehevwpgdww8azak,https://exponline.ugr.es/publix/939/997/start?srid=18464,67f6ac7981322f0413d31a3e,4,25,United States,Female,Right-handed,,1550.5,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,8,0,dot,drill,drill_mooney_dot_off4,target,upside_down,pre,off,Exp,dot_recog,e,0,1,,,
46,,,,,,html-keyboard-response,46,472112,0.0-11.0-5.8-1.8,Chrome,124.0,Windows,10,undefined,undefined,1856 x 1392,1280 x 585,ehevwpgdww8azak,https://exponline.ugr.es/publix/939/997/start?srid=18464,67f6ac7981322f0413d31a3e,4,25,United States,Female,Right-handed,,2128.7999999523163,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,9,0,dot,gargoyle,gargoyle_mooney_dot_off4,target,regular,pre,off,Exp,dot_recog,i,1,0,,,
50,,,,,,html-keyboard-response,50,474162,0.0-11.0-5.9-1.9,Chrome,124.0,Windows,10,undefined,undefined,1856 x 1392,1280 x 585,ehevwpgdww8azak,https://exponline.ugr.es/publix/939/997/start?srid=18464,67f6ac7981322f0413d31a3e,4,25,United States,Female,Right-handed,,1045.5,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,10,0,dot,drill,drill_mooney_dot_off2,target,upside_down,pre,off,Exp,dot_recog,e,0,1,,,
