index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,938.7999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,1,0,dot,dumbbell,dumbbell_mooney_dot_on1,target,upside_down,pre,on,ftbmwvh9nb6rkwo,html-keyboard-response,14,692320,0.0-11.0-5.0-1.0,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18375,5e54c7fc2394ea4c99f88987,34,37,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
1,1249.7000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,2,0,dot,axe,axe_mooney_dot_off4,catch,regular,pre,off,ftbmwvh9nb6rkwo,html-keyboard-response,18,694576,0.0-11.0-5.1-1.1,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18375,5e54c7fc2394ea4c99f88987,34,37,United Kingdom,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
2,1310,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,3,0,dot,gargoyle,gargoyle_mooney_dot_on1,target,regular,pre,on,ftbmwvh9nb6rkwo,html-keyboard-response,22,696888,0.0-11.0-5.2-1.2,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18375,5e54c7fc2394ea4c99f88987,34,37,United Kingdom,Female,Right-handed,Exp,dot_recog,e,0,0,,,,
3,1037.7000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,4,0,dot,dumbbell,dumbbell_mooney_dot_on3,target,upside_down,pre,on,ftbmwvh9nb6rkwo,html-keyboard-response,26,698928,0.0-11.0-5.3-1.3,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18375,5e54c7fc2394ea4c99f88987,34,37,United Kingdom,Female,Right-handed,Exp,dot_recog,e,0,0,,,,
4,1121.9000000953674,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,5,0,dot,axe,axe_mooney_dot_off2,catch,regular,pre,off,ftbmwvh9nb6rkwo,html-keyboard-response,30,701064,0.0-11.0-5.4-1.4,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18375,5e54c7fc2394ea4c99f88987,34,37,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
5,1509.6000001430511,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,6,0,dot,aloe,aloe_mooney_dot_off4,target,horizontal_flip,pre,off,ftbmwvh9nb6rkwo,html-keyboard-response,34,703576,0.0-11.0-5.5-1.5,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18375,5e54c7fc2394ea4c99f88987,34,37,United Kingdom,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
6,713.5999999046326,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,7,0,dot,gargoyle,gargoyle_mooney_dot_off4,target,regular,pre,off,ftbmwvh9nb6rkwo,html-keyboard-response,38,705304,0.0-11.0-5.6-1.6,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18375,5e54c7fc2394ea4c99f88987,34,37,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
7,1300.7000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,8,0,dot,axe,axe_mooney_dot_on1,catch,regular,pre,on,ftbmwvh9nb6rkwo,html-keyboard-response,42,707608,0.0-11.0-5.7-1.7,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18375,5e54c7fc2394ea4c99f88987,34,37,United Kingdom,Female,Right-handed,Exp,dot_recog,e,0,0,,,,
8,2173.7000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,9,0,dot,dumbbell,dumbbell_mooney_dot_off2,target,upside_down,pre,off,ftbmwvh9nb6rkwo,html-keyboard-response,46,710784,0.0-11.0-5.8-1.8,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18375,5e54c7fc2394ea4c99f88987,34,37,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
9,3235.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,10,0,dot,aloe,aloe_mooney_dot_off2,target,horizontal_flip,pre,off,ftbmwvh9nb6rkwo,html-keyboard-response,50,715024,0.0-11.0-5.9-1.9,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/997/start?srid=18375,5e54c7fc2394ea4c99f88987,34,37,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
