index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,2336,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/shears_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,1,0,dot,shears,shears_mooney_dot_off4,target,upside_down,pre,off,gr2kkkkw7ntxwyr,html-keyboard-response,14,634186,0.0-11.0-5.0-1.0,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18456,67602097948fecb2335bb61c,1,26,United States,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
1,1917,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,gargoyle,gargoyle_mooney_dot_on1,target,horizontal_flip,pre,on,gr2kkkkw7ntxwyr,html-keyboard-response,18,637128,0.0-11.0-5.1-1.1,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18456,67602097948fecb2335bb61c,1,26,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
2,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,3,0,dot,missile,missile_mooney_dot_off2,target,regular,pre,off,gr2kkkkw7ntxwyr,html-keyboard-response,22,643166,0.0-11.0-5.2-1.2,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18456,67602097948fecb2335bb61c,1,26,United States,Female,Right-handed,Exp,dot_recog,,0,1,,,,
3,2089.5999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/shears_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,shears,shears_mooney_dot_off2,target,upside_down,pre,off,gr2kkkkw7ntxwyr,html-keyboard-response,26,646278,0.0-11.0-5.3-1.3,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18456,67602097948fecb2335bb61c,1,26,United States,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
4,1140.0999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,5,0,dot,missile,missile_mooney_dot_off4,target,regular,pre,off,gr2kkkkw7ntxwyr,html-keyboard-response,30,648452,0.0-11.0-5.4-1.4,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18456,67602097948fecb2335bb61c,1,26,United States,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
5,906.1999999880791,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/ginger_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,6,0,dot,ginger,ginger_mooney_dot_off4,catch,regular,pre,off,gr2kkkkw7ntxwyr,html-keyboard-response,34,650385,0.0-11.0-5.5-1.5,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18456,67602097948fecb2335bb61c,1,26,United States,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
6,1088.0999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,7,0,dot,gargoyle,gargoyle_mooney_dot_on3,target,horizontal_flip,pre,on,gr2kkkkw7ntxwyr,html-keyboard-response,38,652501,0.0-11.0-5.6-1.6,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18456,67602097948fecb2335bb61c,1,26,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
7,1268.699999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,missile,missile_mooney_dot_on3,target,regular,pre,on,gr2kkkkw7ntxwyr,html-keyboard-response,42,654796,0.0-11.0-5.7-1.7,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18456,67602097948fecb2335bb61c,1,26,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
8,935.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/ginger_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,9,0,dot,ginger,ginger_mooney_dot_on3,catch,regular,pre,on,gr2kkkkw7ntxwyr,html-keyboard-response,46,656758,0.0-11.0-5.8-1.8,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18456,67602097948fecb2335bb61c,1,26,United States,Female,Right-handed,Exp,dot_recog,e,0,0,,,,
9,807.1999999880791,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/shears_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,10,0,dot,shears,shears_mooney_dot_on3,target,upside_down,pre,on,gr2kkkkw7ntxwyr,html-keyboard-response,50,658587,0.0-11.0-5.9-1.9,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18456,67602097948fecb2335bb61c,1,26,United States,Female,Right-handed,Exp,dot_recog,e,0,0,,,,
