index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,1574.300000011921,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,1,0,dot,dumbbell,dumbbell_mooney_dot_on1,target,regular,pre,on,ha9o2pzuf9g6n5x,html-keyboard-response,14,1260839,0.0-11.0-5.0-1.0,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1713 x 830,https://exponline.ugr.es/publix/939/997/start?srid=18460,5dea7a7df87f5519e686ff7b,0,38,United States,Female,Right-handed,Exp,dot_recog,e,0,0,,,,
1,1763.3999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,2,0,dot,axe,axe_mooney_dot_on3,catch,regular,pre,on,ha9o2pzuf9g6n5x,html-keyboard-response,18,1263606,0.0-11.0-5.1-1.1,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1713 x 830,https://exponline.ugr.es/publix/939/997/start?srid=18460,5dea7a7df87f5519e686ff7b,0,38,United States,Female,Right-handed,Exp,dot_recog,e,0,0,,,,
2,1581.4000000357628,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,3,0,dot,bullet,bullet_mooney_dot_on1,target,horizontal_flip,pre,on,ha9o2pzuf9g6n5x,html-keyboard-response,22,1266204,0.0-11.0-5.2-1.2,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1713 x 830,https://exponline.ugr.es/publix/939/997/start?srid=18460,5dea7a7df87f5519e686ff7b,0,38,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
3,1505,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/rattlesnake_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,4,0,dot,rattlesnake,rattlesnake_mooney_dot_off2,target,upside_down,pre,off,ha9o2pzuf9g6n5x,html-keyboard-response,26,1268726,0.0-11.0-5.3-1.3,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1713 x 830,https://exponline.ugr.es/publix/939/997/start?srid=18460,5dea7a7df87f5519e686ff7b,0,38,United States,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
4,1633.8999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,5,0,dot,dumbbell,dumbbell_mooney_dot_off4,target,regular,pre,off,ha9o2pzuf9g6n5x,html-keyboard-response,30,1271378,0.0-11.0-5.4-1.4,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1713 x 830,https://exponline.ugr.es/publix/939/997/start?srid=18460,5dea7a7df87f5519e686ff7b,0,38,United States,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
5,1898.199999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/rattlesnake_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,6,0,dot,rattlesnake,rattlesnake_mooney_dot_on3,target,upside_down,pre,on,ha9o2pzuf9g6n5x,html-keyboard-response,34,1274290,0.0-11.0-5.5-1.5,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1713 x 830,https://exponline.ugr.es/publix/939/997/start?srid=18460,5dea7a7df87f5519e686ff7b,0,38,United States,Female,Right-handed,Exp,dot_recog,e,0,0,,,,
6,2048.600000023842,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,7,0,dot,axe,axe_mooney_dot_on1,catch,regular,pre,on,ha9o2pzuf9g6n5x,html-keyboard-response,38,1277355,0.0-11.0-5.6-1.6,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1713 x 830,https://exponline.ugr.es/publix/939/997/start?srid=18460,5dea7a7df87f5519e686ff7b,0,38,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
7,2783.800000011921,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,8,0,dot,bullet,bullet_mooney_dot_off4,target,horizontal_flip,pre,off,ha9o2pzuf9g6n5x,html-keyboard-response,42,1281150,0.0-11.0-5.7-1.7,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1713 x 830,https://exponline.ugr.es/publix/939/997/start?srid=18460,5dea7a7df87f5519e686ff7b,0,38,United States,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
8,2438.199999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/rattlesnake_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,9,0,dot,rattlesnake,rattlesnake_mooney_dot_on1,target,upside_down,pre,on,ha9o2pzuf9g6n5x,html-keyboard-response,46,1284595,0.0-11.0-5.8-1.8,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1713 x 830,https://exponline.ugr.es/publix/939/997/start?srid=18460,5dea7a7df87f5519e686ff7b,0,38,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
9,4665.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,10,0,dot,dumbbell,dumbbell_mooney_dot_on3,target,regular,pre,on,ha9o2pzuf9g6n5x,html-keyboard-response,50,1290274,0.0-11.0-5.9-1.9,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1713 x 830,https://exponline.ugr.es/publix/939/997/start?srid=18460,5dea7a7df87f5519e686ff7b,0,38,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
