index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,3142.9000000059605,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,1,0,dot,steak,steak_mooney_dot_off2,target,upside_down,pre,off,hk1jd9ch4rrkk13,html-keyboard-response,14,457860,0.0-11.0-5.0-1.0,Chrome,135.0,macOS,10.15.7,undefined,undefined,1280 x 800,1280 x 688,https://exponline.ugr.es/publix/939/997/start?srid=18380,5efcb50255a06b097b8d5d29,21,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
1,999,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/magnifier_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,2,0,dot,magnifier,magnifier_mooney_dot_off2,catch,regular,pre,off,hk1jd9ch4rrkk13,html-keyboard-response,18,459864,0.0-11.0-5.1-1.1,Chrome,135.0,macOS,10.15.7,undefined,undefined,1280 x 800,1280 x 688,https://exponline.ugr.es/publix/939/997/start?srid=18380,5efcb50255a06b097b8d5d29,21,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
2,657.0999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/lip_gloss_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,3,0,dot,lip_gloss,lip_gloss_mooney_dot_on1,target,horizontal_flip,pre,on,hk1jd9ch4rrkk13,html-keyboard-response,22,461526,0.0-11.0-5.2-1.2,Chrome,135.0,macOS,10.15.7,undefined,undefined,1280 x 800,1280 x 688,https://exponline.ugr.es/publix/939/997/start?srid=18380,5efcb50255a06b097b8d5d29,21,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,0,,,,
3,819.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,4,0,dot,candelabra,candelabra_mooney_dot_off4,target,regular,pre,off,hk1jd9ch4rrkk13,html-keyboard-response,26,463349,0.0-11.0-5.3-1.3,Chrome,135.0,macOS,10.15.7,undefined,undefined,1280 x 800,1280 x 688,https://exponline.ugr.es/publix/939/997/start?srid=18380,5efcb50255a06b097b8d5d29,21,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
4,850.4000000059605,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/magnifier_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,5,0,dot,magnifier,magnifier_mooney_dot_off4,catch,regular,pre,off,hk1jd9ch4rrkk13,html-keyboard-response,30,465205,0.0-11.0-5.4-1.4,Chrome,135.0,macOS,10.15.7,undefined,undefined,1280 x 800,1280 x 688,https://exponline.ugr.es/publix/939/997/start?srid=18380,5efcb50255a06b097b8d5d29,21,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
5,785,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/lip_gloss_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,6,0,dot,lip_gloss,lip_gloss_mooney_dot_off4,target,horizontal_flip,pre,off,hk1jd9ch4rrkk13,html-keyboard-response,34,466994,0.0-11.0-5.5-1.5,Chrome,135.0,macOS,10.15.7,undefined,undefined,1280 x 800,1280 x 688,https://exponline.ugr.es/publix/939/997/start?srid=18380,5efcb50255a06b097b8d5d29,21,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
6,748.0999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,7,0,dot,candelabra,candelabra_mooney_dot_on3,target,regular,pre,on,hk1jd9ch4rrkk13,html-keyboard-response,38,468748,0.0-11.0-5.6-1.6,Chrome,135.0,macOS,10.15.7,undefined,undefined,1280 x 800,1280 x 688,https://exponline.ugr.es/publix/939/997/start?srid=18380,5efcb50255a06b097b8d5d29,21,37,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
7,646.0999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/lip_gloss_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,8,0,dot,lip_gloss,lip_gloss_mooney_dot_off2,target,horizontal_flip,pre,off,hk1jd9ch4rrkk13,html-keyboard-response,42,470399,0.0-11.0-5.7-1.7,Chrome,135.0,macOS,10.15.7,undefined,undefined,1280 x 800,1280 x 688,https://exponline.ugr.es/publix/939/997/start?srid=18380,5efcb50255a06b097b8d5d29,21,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
8,630.3000000119209,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,9,0,dot,candelabra,candelabra_mooney_dot_on1,target,regular,pre,on,hk1jd9ch4rrkk13,html-keyboard-response,46,472034,0.0-11.0-5.8-1.8,Chrome,135.0,macOS,10.15.7,undefined,undefined,1280 x 800,1280 x 688,https://exponline.ugr.es/publix/939/997/start?srid=18380,5efcb50255a06b097b8d5d29,21,37,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
9,1691.2000000178814,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,10,0,dot,steak,steak_mooney_dot_on3,target,upside_down,pre,on,hk1jd9ch4rrkk13,html-keyboard-response,50,474731,0.0-11.0-5.9-1.9,Chrome,135.0,macOS,10.15.7,undefined,undefined,1280 x 800,1280 x 688,https://exponline.ugr.es/publix/939/997/start?srid=18380,5efcb50255a06b097b8d5d29,21,37,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
10,1832.699999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/lip_gloss_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,11,0,dot,lip_gloss,lip_gloss_mooney_dot_on3,target,horizontal_flip,pre,on,hk1jd9ch4rrkk13,html-keyboard-response,54,477568,0.0-11.0-5.10-1.10,Chrome,135.0,macOS,10.15.7,undefined,undefined,1280 x 800,1280 x 688,https://exponline.ugr.es/publix/939/997/start?srid=18380,5efcb50255a06b097b8d5d29,21,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,0,,,,
11,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",null,12,0,dot,steak,steak_mooney_dot_on1,target,upside_down,pre,on,hk1jd9ch4rrkk13,html-keyboard-response,58,483575,0.0-11.0-5.11-1.11,Chrome,135.0,macOS,10.15.7,undefined,undefined,1280 x 800,1280 x 688,https://exponline.ugr.es/publix/939/997/start?srid=18380,5efcb50255a06b097b8d5d29,21,37,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,0,,,,
12,910.8000000119209,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/magnifier_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,13,0,dot,magnifier,magnifier_mooney_dot_on1,catch,regular,pre,on,hk1jd9ch4rrkk13,html-keyboard-response,62,485493,0.0-11.0-5.12-1.12,Chrome,135.0,macOS,10.15.7,undefined,undefined,1280 x 800,1280 x 688,https://exponline.ugr.es/publix/939/997/start?srid=18380,5efcb50255a06b097b8d5d29,21,37,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
13,878.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,14,0,dot,candelabra,candelabra_mooney_dot_off2,target,regular,pre,off,hk1jd9ch4rrkk13,html-keyboard-response,66,487376,0.0-11.0-5.13-1.13,Chrome,135.0,macOS,10.15.7,undefined,undefined,1280 x 800,1280 x 688,https://exponline.ugr.es/publix/939/997/start?srid=18380,5efcb50255a06b097b8d5d29,21,37,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
14,1959.4000000059605,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,15,0,dot,steak,steak_mooney_dot_off4,target,upside_down,pre,off,hk1jd9ch4rrkk13,html-keyboard-response,70,490341,0.0-11.0-5.14-1.14,Chrome,135.0,macOS,10.15.7,undefined,undefined,1280 x 800,1280 x 688,https://exponline.ugr.es/publix/939/997/start?srid=18380,5efcb50255a06b097b8d5d29,21,37,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
15,738.1999999880791,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/magnifier_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,16,0,dot,magnifier,magnifier_mooney_dot_on3,catch,regular,pre,on,hk1jd9ch4rrkk13,html-keyboard-response,74,492084,0.0-11.0-5.15-1.15,Chrome,135.0,macOS,10.15.7,undefined,undefined,1280 x 800,1280 x 688,https://exponline.ugr.es/publix/939/997/start?srid=18380,5efcb50255a06b097b8d5d29,21,37,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
16,,,,17,0,recognition,candelabra,candelabra_mooney,target,regular,pre,null,hk1jd9ch4rrkk13,survey-text-autocomplete,82,515905,0.0-11.0-6.16-4.16,Chrome,135.0,macOS,10.15.7,undefined,undefined,1280 x 800,1280 x 688,https://exponline.ugr.es/publix/939/997/start?srid=18380,5efcb50255a06b097b8d5d29,21,37,United Kingdom,Male,Right-handed,Exp,Recognition,,,,"""timeout""",,,0.0
17,,,,18,0,recognition,lip_gloss,lip_gloss_mooney,target,horizontal_flip,pre,null,hk1jd9ch4rrkk13,survey-text-autocomplete,89,537723,0.0-11.0-6.17-4.17,Chrome,135.0,macOS,10.15.7,undefined,undefined,1280 x 800,1280 x 688,https://exponline.ugr.es/publix/939/997/start?srid=18380,5efcb50255a06b097b8d5d29,21,37,United Kingdom,Male,Right-handed,Exp,Recognition,,,,"""timeout""",,,0.0
