index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,312.30000019073486,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,1,0,dot,drill,drill_mooney_dot_on1,target,regular,pre,on,hvgl1xq7jd80xc0,html-keyboard-response,14,188920,0.0-11.0-5.0-1.0,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 703,https://exponline.ugr.es/publix/939/997/start?srid=18365,5fbfffc4e214a60ab1b745fd,20,27,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
1,354.80000019073486,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,candelabra,candelabra_mooney_dot_on1,target,horizontal_flip,pre,on,hvgl1xq7jd80xc0,html-keyboard-response,18,190283,0.0-11.0-5.1-1.1,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 703,https://exponline.ugr.es/publix/939/997/start?srid=18365,5fbfffc4e214a60ab1b745fd,20,27,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
2,533,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,3,0,dot,scarf,scarf_mooney_dot_on3,catch,regular,pre,on,hvgl1xq7jd80xc0,html-keyboard-response,22,191823,0.0-11.0-5.2-1.2,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 703,https://exponline.ugr.es/publix/939/997/start?srid=18365,5fbfffc4e214a60ab1b745fd,20,27,United Kingdom,Female,Right-handed,Exp,dot_recog,e,0,0,,,,
3,470.7999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,axe,axe_mooney_dot_on1,target,upside_down,pre,on,hvgl1xq7jd80xc0,html-keyboard-response,26,193303,0.0-11.0-5.3-1.3,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 703,https://exponline.ugr.es/publix/939/997/start?srid=18365,5fbfffc4e214a60ab1b745fd,20,27,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
4,545.6000001430511,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,5,0,dot,drill,drill_mooney_dot_off2,target,regular,pre,off,hvgl1xq7jd80xc0,html-keyboard-response,30,194856,0.0-11.0-5.4-1.4,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 703,https://exponline.ugr.es/publix/939/997/start?srid=18365,5fbfffc4e214a60ab1b745fd,20,27,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
5,448.2999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,6,0,dot,candelabra,candelabra_mooney_dot_on3,target,horizontal_flip,pre,on,hvgl1xq7jd80xc0,html-keyboard-response,34,196313,0.0-11.0-5.5-1.5,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 703,https://exponline.ugr.es/publix/939/997/start?srid=18365,5fbfffc4e214a60ab1b745fd,20,27,United Kingdom,Female,Right-handed,Exp,dot_recog,e,0,0,,,,
6,719.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,7,0,dot,axe,axe_mooney_dot_off2,target,upside_down,pre,off,hvgl1xq7jd80xc0,html-keyboard-response,38,198043,0.0-11.0-5.6-1.6,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 703,https://exponline.ugr.es/publix/939/997/start?srid=18365,5fbfffc4e214a60ab1b745fd,20,27,United Kingdom,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
7,773.8999998569489,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,8,0,dot,candelabra,candelabra_mooney_dot_off4,target,horizontal_flip,pre,off,hvgl1xq7jd80xc0,html-keyboard-response,42,199828,0.0-11.0-5.7-1.7,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 703,https://exponline.ugr.es/publix/939/997/start?srid=18365,5fbfffc4e214a60ab1b745fd,20,27,United Kingdom,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
8,734.2999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,9,0,dot,scarf,scarf_mooney_dot_off2,catch,regular,pre,off,hvgl1xq7jd80xc0,html-keyboard-response,46,201576,0.0-11.0-5.8-1.8,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 703,https://exponline.ugr.es/publix/939/997/start?srid=18365,5fbfffc4e214a60ab1b745fd,20,27,United Kingdom,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
9,542.6999998092651,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,10,0,dot,axe,axe_mooney_dot_on3,target,upside_down,pre,on,hvgl1xq7jd80xc0,html-keyboard-response,50,203139,0.0-11.0-5.9-1.9,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 703,https://exponline.ugr.es/publix/939/997/start?srid=18365,5fbfffc4e214a60ab1b745fd,20,27,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
