index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,3261.800000011921,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,1,0,dot,egg_roll,egg_roll_mooney_dot_off2,target,regular,pre,off,j8ms95phh8kjt41,html-keyboard-response,14,256834,0.0-11.0-5.0-1.0,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,https://exponline.ugr.es/publix/939/997/start?srid=18412,60819ba1a8862e33495f8914,2,33,Ireland,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
1,1020.4000000357628,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sandal_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,2,0,dot,sandal,sandal_mooney_dot_off4,target,horizontal_flip,pre,off,j8ms95phh8kjt41,html-keyboard-response,18,258858,0.0-11.0-5.1-1.1,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,https://exponline.ugr.es/publix/939/997/start?srid=18412,60819ba1a8862e33495f8914,2,33,Ireland,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
2,1290.300000011921,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,3,0,dot,grasshopper,grasshopper_mooney_dot_on1,catch,regular,pre,on,j8ms95phh8kjt41,html-keyboard-response,22,261154,0.0-11.0-5.2-1.2,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,https://exponline.ugr.es/publix/939/997/start?srid=18412,60819ba1a8862e33495f8914,2,33,Ireland,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
3,1203.300000011921,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,gargoyle,gargoyle_mooney_dot_off4,target,upside_down,pre,off,j8ms95phh8kjt41,html-keyboard-response,26,263371,0.0-11.0-5.3-1.3,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,https://exponline.ugr.es/publix/939/997/start?srid=18412,60819ba1a8862e33495f8914,2,33,Ireland,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
4,1193.0999999642372,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sandal_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,5,0,dot,sandal,sandal_mooney_dot_on3,target,horizontal_flip,pre,on,j8ms95phh8kjt41,html-keyboard-response,30,265571,0.0-11.0-5.4-1.4,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,https://exponline.ugr.es/publix/939/997/start?srid=18412,60819ba1a8862e33495f8914,2,33,Ireland,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
5,1795.1000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,6,0,dot,gargoyle,gargoyle_mooney_dot_on1,target,upside_down,pre,on,j8ms95phh8kjt41,html-keyboard-response,34,268371,0.0-11.0-5.5-1.5,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,https://exponline.ugr.es/publix/939/997/start?srid=18412,60819ba1a8862e33495f8914,2,33,Ireland,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
6,1839.800000011921,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,7,0,dot,grasshopper,grasshopper_mooney_dot_off2,catch,regular,pre,off,j8ms95phh8kjt41,html-keyboard-response,38,271220,0.0-11.0-5.6-1.6,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,https://exponline.ugr.es/publix/939/997/start?srid=18412,60819ba1a8862e33495f8914,2,33,Ireland,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
7,1743.5999999642372,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,8,0,dot,egg_roll,egg_roll_mooney_dot_on3,target,regular,pre,on,j8ms95phh8kjt41,html-keyboard-response,42,273972,0.0-11.0-5.7-1.7,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,https://exponline.ugr.es/publix/939/997/start?srid=18412,60819ba1a8862e33495f8914,2,33,Ireland,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
8,789.0999999642372,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,9,0,dot,gargoyle,gargoyle_mooney_dot_off2,target,upside_down,pre,off,j8ms95phh8kjt41,html-keyboard-response,46,275772,0.0-11.0-5.8-1.8,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,https://exponline.ugr.es/publix/939/997/start?srid=18412,60819ba1a8862e33495f8914,2,33,Ireland,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
9,1601.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,10,0,dot,grasshopper,grasshopper_mooney_dot_off4,catch,regular,pre,off,j8ms95phh8kjt41,html-keyboard-response,50,278389,0.0-11.0-5.9-1.9,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,https://exponline.ugr.es/publix/939/997/start?srid=18412,60819ba1a8862e33495f8914,2,33,Ireland,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
