index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",null,1,0,dot,steak,steak_mooney_dot_off2,target,upside_down,pre,off,jyfutdpe0f375gh,html-keyboard-response,14,267733,0.0-11.0-5.0-1.0,Chrome,134.0,Chrome OS,,undefined,undefined,1366 x 768,1318 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18465,66eddcfe67e927db6f0a4768,21,37,United States,Other,Right-handed,Exp,dot_recog,,0,1,,,,
1,2312.5999999999767,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/magnifier_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,2,0,dot,magnifier,magnifier_mooney_dot_off2,catch,regular,pre,off,jyfutdpe0f375gh,html-keyboard-response,18,271057,0.0-11.0-5.1-1.1,Chrome,134.0,Chrome OS,,undefined,undefined,1366 x 768,1318 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18465,66eddcfe67e927db6f0a4768,21,37,United States,Other,Right-handed,Exp,dot_recog,i,0,1,,,,
2,2305.29999999993,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/lip_gloss_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,3,0,dot,lip_gloss,lip_gloss_mooney_dot_on1,target,horizontal_flip,pre,on,jyfutdpe0f375gh,html-keyboard-response,22,274376,0.0-11.0-5.2-1.2,Chrome,134.0,Chrome OS,,undefined,undefined,1366 x 768,1318 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18465,66eddcfe67e927db6f0a4768,21,37,United States,Other,Right-handed,Exp,dot_recog,i,0,0,,,,
3,1283,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,4,0,dot,candelabra,candelabra_mooney_dot_off4,target,regular,pre,off,jyfutdpe0f375gh,html-keyboard-response,26,276669,0.0-11.0-5.3-1.3,Chrome,134.0,Chrome OS,,undefined,undefined,1366 x 768,1318 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18465,66eddcfe67e927db6f0a4768,21,37,United States,Other,Right-handed,Exp,dot_recog,i,0,1,,,,
4,937,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/magnifier_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,5,0,dot,magnifier,magnifier_mooney_dot_off4,catch,regular,pre,off,jyfutdpe0f375gh,html-keyboard-response,30,278617,0.0-11.0-5.4-1.4,Chrome,134.0,Chrome OS,,undefined,undefined,1366 x 768,1318 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18465,66eddcfe67e927db6f0a4768,21,37,United States,Other,Right-handed,Exp,dot_recog,i,0,1,,,,
5,1152.8000000000466,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/lip_gloss_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,6,0,dot,lip_gloss,lip_gloss_mooney_dot_off4,target,horizontal_flip,pre,off,jyfutdpe0f375gh,html-keyboard-response,34,280774,0.0-11.0-5.5-1.5,Chrome,134.0,Chrome OS,,undefined,undefined,1366 x 768,1318 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18465,66eddcfe67e927db6f0a4768,21,37,United States,Other,Right-handed,Exp,dot_recog,i,0,1,,,,
6,1057.4000000000233,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,7,0,dot,candelabra,candelabra_mooney_dot_on3,target,regular,pre,on,jyfutdpe0f375gh,html-keyboard-response,38,282840,0.0-11.0-5.6-1.6,Chrome,134.0,Chrome OS,,undefined,undefined,1366 x 768,1318 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18465,66eddcfe67e927db6f0a4768,21,37,United States,Other,Right-handed,Exp,dot_recog,e,1,1,,,,
7,741.4000000000233,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/lip_gloss_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,8,0,dot,lip_gloss,lip_gloss_mooney_dot_off2,target,horizontal_flip,pre,off,jyfutdpe0f375gh,html-keyboard-response,42,284593,0.0-11.0-5.7-1.7,Chrome,134.0,Chrome OS,,undefined,undefined,1366 x 768,1318 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18465,66eddcfe67e927db6f0a4768,21,37,United States,Other,Right-handed,Exp,dot_recog,i,0,1,,,,
8,798.4000000000233,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,9,0,dot,candelabra,candelabra_mooney_dot_on1,target,regular,pre,on,jyfutdpe0f375gh,html-keyboard-response,46,286400,0.0-11.0-5.8-1.8,Chrome,134.0,Chrome OS,,undefined,undefined,1366 x 768,1318 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18465,66eddcfe67e927db6f0a4768,21,37,United States,Other,Right-handed,Exp,dot_recog,e,1,1,,,,
9,1341.7000000000698,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,10,0,dot,steak,steak_mooney_dot_on3,target,upside_down,pre,on,jyfutdpe0f375gh,html-keyboard-response,50,288752,0.0-11.0-5.9-1.9,Chrome,134.0,Chrome OS,,undefined,undefined,1366 x 768,1318 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18465,66eddcfe67e927db6f0a4768,21,37,United States,Other,Right-handed,Exp,dot_recog,i,0,0,,,,
10,719.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/lip_gloss_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,11,0,dot,lip_gloss,lip_gloss_mooney_dot_on3,target,horizontal_flip,pre,on,jyfutdpe0f375gh,html-keyboard-response,54,290484,0.0-11.0-5.10-1.10,Chrome,134.0,Chrome OS,,undefined,undefined,1366 x 768,1318 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18465,66eddcfe67e927db6f0a4768,21,37,United States,Other,Right-handed,Exp,dot_recog,i,0,0,,,,
11,883.4000000000233,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,12,0,dot,steak,steak_mooney_dot_on1,target,upside_down,pre,on,jyfutdpe0f375gh,html-keyboard-response,58,292381,0.0-11.0-5.11-1.11,Chrome,134.0,Chrome OS,,undefined,undefined,1366 x 768,1318 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18465,66eddcfe67e927db6f0a4768,21,37,United States,Other,Right-handed,Exp,dot_recog,e,1,1,,,,
12,772.4000000000233,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/magnifier_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,13,0,dot,magnifier,magnifier_mooney_dot_on1,catch,regular,pre,on,jyfutdpe0f375gh,html-keyboard-response,62,294168,0.0-11.0-5.12-1.12,Chrome,134.0,Chrome OS,,undefined,undefined,1366 x 768,1318 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18465,66eddcfe67e927db6f0a4768,21,37,United States,Other,Right-handed,Exp,dot_recog,e,1,1,,,,
13,789.6999999999534,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,14,0,dot,candelabra,candelabra_mooney_dot_off2,target,regular,pre,off,jyfutdpe0f375gh,html-keyboard-response,66,295975,0.0-11.0-5.13-1.13,Chrome,134.0,Chrome OS,,undefined,undefined,1366 x 768,1318 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18465,66eddcfe67e927db6f0a4768,21,37,United States,Other,Right-handed,Exp,dot_recog,e,1,0,,,,
14,860.4000000000233,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,15,0,dot,steak,steak_mooney_dot_off4,target,upside_down,pre,off,jyfutdpe0f375gh,html-keyboard-response,70,297847,0.0-11.0-5.14-1.14,Chrome,134.0,Chrome OS,,undefined,undefined,1366 x 768,1318 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18465,66eddcfe67e927db6f0a4768,21,37,United States,Other,Right-handed,Exp,dot_recog,e,1,0,,,,
15,762.9000000000233,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/magnifier_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,16,0,dot,magnifier,magnifier_mooney_dot_on3,catch,regular,pre,on,jyfutdpe0f375gh,html-keyboard-response,74,299622,0.0-11.0-5.15-1.15,Chrome,134.0,Chrome OS,,undefined,undefined,1366 x 768,1318 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18465,66eddcfe67e927db6f0a4768,21,37,United States,Other,Right-handed,Exp,dot_recog,e,1,1,,,,
16,,,,17,0,recognition,candelabra,candelabra_mooney,target,regular,pre,null,jyfutdpe0f375gh,survey-text-autocomplete,82,308056,0.0-11.0-6.16-4.16,Chrome,134.0,Chrome OS,,undefined,undefined,1366 x 768,1318 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18465,66eddcfe67e927db6f0a4768,21,37,United States,Other,Right-handed,Exp,Recognition,,,,"{""recognition"":""desk""}",desk,0.7442012029857752,0.0
17,,,,18,0,recognition,lip_gloss,lip_gloss_mooney,target,horizontal_flip,pre,null,jyfutdpe0f375gh,survey-text-autocomplete,89,329881,0.0-11.0-6.17-4.17,Chrome,134.0,Chrome OS,,undefined,undefined,1366 x 768,1318 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18465,66eddcfe67e927db6f0a4768,21,37,United States,Other,Right-handed,Exp,Recognition,,,,"""timeout""",,,0.0
18,,,,19,0,recognition,magnifier,magnifier_mooney,catch,regular,pre,null,jyfutdpe0f375gh,survey-text-autocomplete,96,350622,0.0-11.0-6.18-4.18,Chrome,134.0,Chrome OS,,undefined,undefined,1366 x 768,1318 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18465,66eddcfe67e927db6f0a4768,21,37,United States,Other,Right-handed,Exp,Recognition,,,,"{""recognition"":""block""}",block,0.8321961123952186,0.0
19,,,,20,0,recognition,steak,steak_mooney,target,upside_down,pre,null,jyfutdpe0f375gh,survey-text-autocomplete,103,362230,0.0-11.0-6.19-4.19,Chrome,134.0,Chrome OS,,undefined,undefined,1366 x 768,1318 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18465,66eddcfe67e927db6f0a4768,21,37,United States,Other,Right-handed,Exp,Recognition,,,,"{""recognition"":""shell (fruit/nut)""}",shell3,0.605400489749049,0.0
20,,,,21,0,recognition,lip_gloss,lip_gloss,target,horizontal_flip,color,null,jyfutdpe0f375gh,survey-text-autocomplete,110,368351,0.0-11.0-6.20-4.20,Chrome,134.0,Chrome OS,,undefined,undefined,1366 x 768,1318 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18465,66eddcfe67e927db6f0a4768,21,37,United States,Other,Right-handed,Exp,Recognition,,,,"{""recognition"":""lipstick""}",lipstick,0.3386423889777298,0.0
21,,,,22,0,recognition,candelabra,candelabra,target,regular,color,null,jyfutdpe0f375gh,survey-text-autocomplete,117,373513,0.0-11.0-6.21-4.21,Chrome,134.0,Chrome OS,,undefined,undefined,1366 x 768,1318 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18465,66eddcfe67e927db6f0a4768,21,37,United States,Other,Right-handed,Exp,Recognition,,,,"{""recognition"":""candle holder""}",candle_holder,0.30387302268329675,0.0
22,,,,23,0,recognition,steak,steak,target,upside_down,color,null,jyfutdpe0f375gh,survey-text-autocomplete,124,378143,0.0-11.0-6.22-4.22,Chrome,134.0,Chrome OS,,undefined,undefined,1366 x 768,1318 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18465,66eddcfe67e927db6f0a4768,21,37,United States,Other,Right-handed,Exp,Recognition,,,,"{""recognition"":""steak""}",steak,0.0,1.0
23,999.4000000000233,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,24,1,dot,buoy,buoy_mooney_dot_on3,target,horizontal_flip,pre,on,jyfutdpe0f375gh,html-keyboard-response,130,399361,0.0-11.0-5.23-1.23,Chrome,134.0,Chrome OS,,undefined,undefined,1366 x 768,1318 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18465,66eddcfe67e927db6f0a4768,21,37,United States,Other,Right-handed,Exp,dot_recog,e,1,1,,,,
24,955.7999999999302,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on5.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,25,1,dot,steak,steak_mooney_dot_on5,target,upside_down,post,on,jyfutdpe0f375gh,html-keyboard-response,134,401330,0.0-11.0-5.24-1.24,Chrome,134.0,Chrome OS,,undefined,undefined,1366 x 768,1318 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18465,66eddcfe67e927db6f0a4768,21,37,United States,Other,Right-handed,Exp,dot_recog,i,0,0,,,,
25,817.3000000000466,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,26,1,dot,puddle,puddle_mooney_dot_off2,target,regular,pre,off,jyfutdpe0f375gh,html-keyboard-response,138,403159,0.0-11.0-5.25-1.25,Chrome,134.0,Chrome OS,,undefined,undefined,1366 x 768,1318 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18465,66eddcfe67e927db6f0a4768,21,37,United States,Other,Right-handed,Exp,dot_recog,e,1,0,,,,
26,1170.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pedal_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,27,1,dot,pedal,pedal_mooney_dot_on3,catch,upside_down,pre,on,jyfutdpe0f375gh,html-keyboard-response,142,405342,0.0-11.0-5.26-1.26,Chrome,134.0,Chrome OS,,undefined,undefined,1366 x 768,1318 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18465,66eddcfe67e927db6f0a4768,21,37,United States,Other,Right-handed,Exp,dot_recog,e,1,1,,,,
27,879.8000000000466,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,28,1,dot,puddle,puddle_mooney_dot_off4,target,regular,pre,off,jyfutdpe0f375gh,html-keyboard-response,146,407240,0.0-11.0-5.27-1.27,Chrome,134.0,Chrome OS,,undefined,undefined,1366 x 768,1318 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18465,66eddcfe67e927db6f0a4768,21,37,United States,Other,Right-handed,Exp,dot_recog,e,1,0,,,,
28,798.8000000000466,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off6.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,29,1,dot,candelabra,candelabra_mooney_dot_off6,target,regular,post,off,jyfutdpe0f375gh,html-keyboard-response,150,409053,0.0-11.0-5.28-1.28,Chrome,134.0,Chrome OS,,undefined,undefined,1366 x 768,1318 x 681,https://exponline.ugr.es/publix/939/997/start?srid=18465,66eddcfe67e927db6f0a4768,21,37,United States,Other,Right-handed,Exp,dot_recog,i,0,1,,,,
