index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,scale_factor,win_width_deg,win_height_deg,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,verbal_id,semantic_distance,verbal_acc_corrected
14,,,,,,html-keyboard-response,14,882428,0.0-11.0-5.0-1.0,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,l2asb1729f8vmr3,https://exponline.ugr.es/publix/939/997/start?srid=18443,612df482fb26d2d8dab91688,17,27,United Kingdom,Male,Right-handed,,4387.199999988079,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/garlic_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,1,0,dot,garlic,garlic_mooney_dot_on3,target,upside_down,pre,on,Exp,dot_recog,i,1,1,,,
18,,,,,,html-keyboard-response,18,885629,0.0-11.0-5.1-1.1,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,l2asb1729f8vmr3,https://exponline.ugr.es/publix/939/997/start?srid=18443,612df482fb26d2d8dab91688,17,27,United Kingdom,Male,Right-handed,,2197.599999964237,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,dumbbell,dumbbell_mooney_dot_off2,target,horizontal_flip,pre,off,Exp,dot_recog,i,1,0,,,
22,,,,,,html-keyboard-response,22,887856,0.0-11.0-5.2-1.2,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,l2asb1729f8vmr3,https://exponline.ugr.es/publix/939/997/start?srid=18443,612df482fb26d2d8dab91688,17,27,United Kingdom,Male,Right-handed,,1208.1000000238419,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/ginger_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,3,0,dot,ginger,ginger_mooney_dot_off4,catch,regular,pre,off,Exp,dot_recog,i,1,0,,,
26,,,,,,html-keyboard-response,26,890265,0.0-11.0-5.3-1.3,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,l2asb1729f8vmr3,https://exponline.ugr.es/publix/939/997/start?srid=18443,612df482fb26d2d8dab91688,17,27,United Kingdom,Male,Right-handed,,1396.5,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,4,0,dot,dumbbell,dumbbell_mooney_dot_on1,target,horizontal_flip,pre,on,Exp,dot_recog,e,0,0,,,
30,,,,,,html-keyboard-response,30,892108,0.0-11.0-5.4-1.4,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,l2asb1729f8vmr3,https://exponline.ugr.es/publix/939/997/start?srid=18443,612df482fb26d2d8dab91688,17,27,United Kingdom,Male,Right-handed,,832.5,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,5,0,dot,puddle,puddle_mooney_dot_on1,target,regular,pre,on,Exp,dot_recog,i,1,1,,,
34,,,,,,html-keyboard-response,34,893614,0.0-11.0-5.5-1.5,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,l2asb1729f8vmr3,https://exponline.ugr.es/publix/939/997/start?srid=18443,612df482fb26d2d8dab91688,17,27,United Kingdom,Male,Right-handed,,488.5999999642372,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/ginger_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,6,0,dot,ginger,ginger_mooney_dot_on3,catch,regular,pre,on,Exp,dot_recog,e,0,0,,,
38,,,,,,html-keyboard-response,38,895437,0.0-11.0-5.6-1.6,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,l2asb1729f8vmr3,https://exponline.ugr.es/publix/939/997/start?srid=18443,612df482fb26d2d8dab91688,17,27,United Kingdom,Male,Right-handed,,808.9000000357628,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,7,0,dot,dumbbell,dumbbell_mooney_dot_off4,target,horizontal_flip,pre,off,Exp,dot_recog,i,1,0,,,
42,,,,,,html-keyboard-response,42,897779,0.0-11.0-5.7-1.7,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,l2asb1729f8vmr3,https://exponline.ugr.es/publix/939/997/start?srid=18443,612df482fb26d2d8dab91688,17,27,United Kingdom,Male,Right-handed,,1329.4000000357628,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,8,0,dot,puddle,puddle_mooney_dot_off2,target,regular,pre,off,Exp,dot_recog,e,0,1,,,
46,,,,,,html-keyboard-response,46,900325,0.0-11.0-5.8-1.8,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,l2asb1729f8vmr3,https://exponline.ugr.es/publix/939/997/start?srid=18443,612df482fb26d2d8dab91688,17,27,United Kingdom,Male,Right-handed,,1527.2000000476837,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/garlic_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,9,0,dot,garlic,garlic_mooney_dot_off2,target,upside_down,pre,off,Exp,dot_recog,i,1,0,,,
50,,,,,,html-keyboard-response,50,902260,0.0-11.0-5.9-1.9,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,l2asb1729f8vmr3,https://exponline.ugr.es/publix/939/997/start?srid=18443,612df482fb26d2d8dab91688,17,27,United Kingdom,Male,Right-handed,,927.3999999761581,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,10,0,dot,puddle,puddle_mooney_dot_off4,target,regular,pre,off,Exp,dot_recog,i,1,0,,,
