index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,1096.2999999988824,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/garlic_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,1,0,dot,garlic,garlic_mooney_dot_on3,target,upside_down,pre,on,menen9h4h7pv2q5,html-keyboard-response,14,121166,0.0-11.0-5.0-1.0,Chrome,135.0,Windows,10,undefined,undefined,2462 x 1385,2455 x 1228,https://exponline.ugr.es/publix/939/997/start?srid=18383,6658c1554c1d2a4e2d02e301,17,36,Ireland,Female,Left-handed,Exp,dot_recog,i,1,1,,,,
1,1027.199999999255,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,2,0,dot,dumbbell,dumbbell_mooney_dot_off2,target,horizontal_flip,pre,off,menen9h4h7pv2q5,html-keyboard-response,20,126734,0.0-11.0-5.1-1.1,Chrome,135.0,Windows,10,undefined,undefined,2462 x 1385,2455 x 1228,https://exponline.ugr.es/publix/939/997/start?srid=18383,6658c1554c1d2a4e2d02e301,17,36,Ireland,Female,Left-handed,Exp,dot_recog,e,0,1,,,,
2,726.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/ginger_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,3,0,dot,ginger,ginger_mooney_dot_off4,catch,regular,pre,off,menen9h4h7pv2q5,html-keyboard-response,24,128468,0.0-11.0-5.2-1.2,Chrome,135.0,Windows,10,undefined,undefined,2462 x 1385,2455 x 1228,https://exponline.ugr.es/publix/939/997/start?srid=18383,6658c1554c1d2a4e2d02e301,17,36,Ireland,Female,Left-handed,Exp,dot_recog,i,1,0,,,,
3,645.3999999985099,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,4,0,dot,dumbbell,dumbbell_mooney_dot_on1,target,horizontal_flip,pre,on,menen9h4h7pv2q5,html-keyboard-response,28,130118,0.0-11.0-5.3-1.3,Chrome,135.0,Windows,10,undefined,undefined,2462 x 1385,2455 x 1228,https://exponline.ugr.es/publix/939/997/start?srid=18383,6658c1554c1d2a4e2d02e301,17,36,Ireland,Female,Left-handed,Exp,dot_recog,i,1,1,,,,
4,757.1999999992549,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,5,0,dot,puddle,puddle_mooney_dot_on1,target,regular,pre,on,menen9h4h7pv2q5,html-keyboard-response,32,131886,0.0-11.0-5.4-1.4,Chrome,135.0,Windows,10,undefined,undefined,2462 x 1385,2455 x 1228,https://exponline.ugr.es/publix/939/997/start?srid=18383,6658c1554c1d2a4e2d02e301,17,36,Ireland,Female,Left-handed,Exp,dot_recog,i,1,1,,,,
5,651,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/ginger_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,6,0,dot,ginger,ginger_mooney_dot_on3,catch,regular,pre,on,menen9h4h7pv2q5,html-keyboard-response,36,133558,0.0-11.0-5.5-1.5,Chrome,135.0,Windows,10,undefined,undefined,2462 x 1385,2455 x 1228,https://exponline.ugr.es/publix/939/997/start?srid=18383,6658c1554c1d2a4e2d02e301,17,36,Ireland,Female,Left-handed,Exp,dot_recog,e,0,0,,,,
6,585.7000000011176,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,7,0,dot,dumbbell,dumbbell_mooney_dot_off4,target,horizontal_flip,pre,off,menen9h4h7pv2q5,html-keyboard-response,40,135157,0.0-11.0-5.6-1.6,Chrome,135.0,Windows,10,undefined,undefined,2462 x 1385,2455 x 1228,https://exponline.ugr.es/publix/939/997/start?srid=18383,6658c1554c1d2a4e2d02e301,17,36,Ireland,Female,Left-handed,Exp,dot_recog,e,0,1,,,,
7,710.4000000003725,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,puddle,puddle_mooney_dot_off2,target,regular,pre,off,menen9h4h7pv2q5,html-keyboard-response,44,136885,0.0-11.0-5.7-1.7,Chrome,135.0,Windows,10,undefined,undefined,2462 x 1385,2455 x 1228,https://exponline.ugr.es/publix/939/997/start?srid=18383,6658c1554c1d2a4e2d02e301,17,36,Ireland,Female,Left-handed,Exp,dot_recog,i,1,0,,,,
8,597.0999999996275,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/garlic_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,9,0,dot,garlic,garlic_mooney_dot_off2,target,upside_down,pre,off,menen9h4h7pv2q5,html-keyboard-response,48,138501,0.0-11.0-5.8-1.8,Chrome,135.0,Windows,10,undefined,undefined,2462 x 1385,2455 x 1228,https://exponline.ugr.es/publix/939/997/start?srid=18383,6658c1554c1d2a4e2d02e301,17,36,Ireland,Female,Left-handed,Exp,dot_recog,i,1,0,,,,
9,614.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,10,0,dot,puddle,puddle_mooney_dot_off4,target,regular,pre,off,menen9h4h7pv2q5,html-keyboard-response,52,140133,0.0-11.0-5.9-1.9,Chrome,135.0,Windows,10,undefined,undefined,2462 x 1385,2455 x 1228,https://exponline.ugr.es/publix/939/997/start?srid=18383,6658c1554c1d2a4e2d02e301,17,36,Ireland,Female,Left-handed,Exp,dot_recog,i,1,0,,,,
