index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,scale_factor,win_width_deg,win_height_deg,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,verbal_id,semantic_distance,verbal_acc_corrected
14,,,,,,html-keyboard-response,14,140839,0.0-11.0-5.0-1.0,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1713 x 830,nbn3vjn0zj11g7q,https://exponline.ugr.es/publix/939/997/start?srid=18462,5dea7a7df87f5519e686ff7b,0,38,United States,Female,Right-handed,,1541,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,1,0,dot,dumbbell,dumbbell_mooney_dot_on1,target,regular,pre,on,Exp,dot_recog,e,1,1,,,
18,,,,,,html-keyboard-response,18,143023,0.0-11.0-5.1-1.1,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1713 x 830,nbn3vjn0zj11g7q,https://exponline.ugr.es/publix/939/997/start?srid=18462,5dea7a7df87f5519e686ff7b,0,38,United States,Female,Right-handed,,1166.6000000238419,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,2,0,dot,axe,axe_mooney_dot_on3,catch,regular,pre,on,Exp,dot_recog,e,1,1,,,
22,,,,,,html-keyboard-response,22,144701,0.0-11.0-5.2-1.2,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1713 x 830,nbn3vjn0zj11g7q,https://exponline.ugr.es/publix/939/997/start?srid=18462,5dea7a7df87f5519e686ff7b,0,38,United States,Female,Right-handed,,660,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,3,0,dot,bullet,bullet_mooney_dot_on1,target,horizontal_flip,pre,on,Exp,dot_recog,e,1,1,,,
26,,,,,,html-keyboard-response,26,146838,0.0-11.0-5.3-1.3,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1713 x 830,nbn3vjn0zj11g7q,https://exponline.ugr.es/publix/939/997/start?srid=18462,5dea7a7df87f5519e686ff7b,0,38,United States,Female,Right-handed,,1126.300000011921,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/rattlesnake_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,4,0,dot,rattlesnake,rattlesnake_mooney_dot_off2,target,upside_down,pre,off,Exp,dot_recog,e,1,0,,,
30,,,,,,html-keyboard-response,30,148351,0.0-11.0-5.4-1.4,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1713 x 830,nbn3vjn0zj11g7q,https://exponline.ugr.es/publix/939/997/start?srid=18462,5dea7a7df87f5519e686ff7b,0,38,United States,Female,Right-handed,,496.69999998807907,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,5,0,dot,dumbbell,dumbbell_mooney_dot_off4,target,regular,pre,off,Exp,dot_recog,i,0,1,,,
34,,,,,,html-keyboard-response,34,150052,0.0-11.0-5.5-1.5,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1713 x 830,nbn3vjn0zj11g7q,https://exponline.ugr.es/publix/939/997/start?srid=18462,5dea7a7df87f5519e686ff7b,0,38,United States,Female,Right-handed,,690.6999999880791,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/rattlesnake_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,6,0,dot,rattlesnake,rattlesnake_mooney_dot_on3,target,upside_down,pre,on,Exp,dot_recog,i,0,0,,,
38,,,,,,html-keyboard-response,38,151761,0.0-11.0-5.6-1.6,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1713 x 830,nbn3vjn0zj11g7q,https://exponline.ugr.es/publix/939/997/start?srid=18462,5dea7a7df87f5519e686ff7b,0,38,United States,Female,Right-handed,,689.5999999642372,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,7,0,dot,axe,axe_mooney_dot_on1,catch,regular,pre,on,Exp,dot_recog,e,1,1,,,
42,,,,,,html-keyboard-response,42,153417,0.0-11.0-5.7-1.7,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1713 x 830,nbn3vjn0zj11g7q,https://exponline.ugr.es/publix/939/997/start?srid=18462,5dea7a7df87f5519e686ff7b,0,38,United States,Female,Right-handed,,643.5,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,8,0,dot,bullet,bullet_mooney_dot_off4,target,horizontal_flip,pre,off,Exp,dot_recog,i,0,1,,,
46,,,,,,html-keyboard-response,46,154842,0.0-11.0-5.8-1.8,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1713 x 830,nbn3vjn0zj11g7q,https://exponline.ugr.es/publix/939/997/start?srid=18462,5dea7a7df87f5519e686ff7b,0,38,United States,Female,Right-handed,,416.39999997615814,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/rattlesnake_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,9,0,dot,rattlesnake,rattlesnake_mooney_dot_on1,target,upside_down,pre,on,Exp,dot_recog,e,1,1,,,
50,,,,,,html-keyboard-response,50,156361,0.0-11.0-5.9-1.9,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1713 x 830,nbn3vjn0zj11g7q,https://exponline.ugr.es/publix/939/997/start?srid=18462,5dea7a7df87f5519e686ff7b,0,38,United States,Female,Right-handed,,509.89999997615814,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,10,0,dot,dumbbell,dumbbell_mooney_dot_on3,target,regular,pre,on,Exp,dot_recog,e,1,1,,,
