index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,2879,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,1,0,dot,axe,axe_mooney_dot_off2,catch,regular,pre,off,odc30rw06upetq6,html-keyboard-response,14,317883,0.0-11.0-5.0-1.0,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 927,https://exponline.ugr.es/publix/939/997/start?srid=18403,5d29c671bc573b00165c9014,22,40,United Kingdom,Male,Left-handed,Exp,dot_recog,i,0,1,,,,
1,1632,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,2,0,dot,bat2,bat2_mooney_dot_off4,target,horizontal_flip,pre,off,odc30rw06upetq6,html-keyboard-response,18,320522,0.0-11.0-5.1-1.1,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 927,https://exponline.ugr.es/publix/939/997/start?srid=18403,5d29c671bc573b00165c9014,22,40,United Kingdom,Male,Left-handed,Exp,dot_recog,i,0,1,,,,
2,1545,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,3,0,dot,banana_peel,banana_peel_mooney_dot_off4,target,regular,pre,off,odc30rw06upetq6,html-keyboard-response,22,323075,0.0-11.0-5.2-1.2,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 927,https://exponline.ugr.es/publix/939/997/start?srid=18403,5d29c671bc573b00165c9014,22,40,United Kingdom,Male,Left-handed,Exp,dot_recog,i,0,1,,,,
3,2170,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,4,0,dot,bat2,bat2_mooney_dot_off2,target,horizontal_flip,pre,off,odc30rw06upetq6,html-keyboard-response,26,326251,0.0-11.0-5.3-1.3,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 927,https://exponline.ugr.es/publix/939/997/start?srid=18403,5d29c671bc573b00165c9014,22,40,United Kingdom,Male,Left-handed,Exp,dot_recog,i,0,1,,,,
4,1380,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,5,0,dot,banana_peel,banana_peel_mooney_dot_on1,target,regular,pre,on,odc30rw06upetq6,html-keyboard-response,30,328634,0.0-11.0-5.4-1.4,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 927,https://exponline.ugr.es/publix/939/997/start?srid=18403,5d29c671bc573b00165c9014,22,40,United Kingdom,Male,Left-handed,Exp,dot_recog,e,1,1,,,,
5,940,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,6,0,dot,axe,axe_mooney_dot_on1,catch,regular,pre,on,odc30rw06upetq6,html-keyboard-response,34,330578,0.0-11.0-5.5-1.5,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 927,https://exponline.ugr.es/publix/939/997/start?srid=18403,5d29c671bc573b00165c9014,22,40,United Kingdom,Male,Left-handed,Exp,dot_recog,e,1,1,,,,
6,1013,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,7,0,dot,bat2,bat2_mooney_dot_on1,target,horizontal_flip,pre,on,odc30rw06upetq6,html-keyboard-response,38,332602,0.0-11.0-5.6-1.6,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 927,https://exponline.ugr.es/publix/939/997/start?srid=18403,5d29c671bc573b00165c9014,22,40,United Kingdom,Male,Left-handed,Exp,dot_recog,i,0,0,,,,
7,1009,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,8,0,dot,banana_peel,banana_peel_mooney_dot_on3,target,regular,pre,on,odc30rw06upetq6,html-keyboard-response,42,334619,0.0-11.0-5.7-1.7,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 927,https://exponline.ugr.es/publix/939/997/start?srid=18403,5d29c671bc573b00165c9014,22,40,United Kingdom,Male,Left-handed,Exp,dot_recog,e,1,1,,,,
8,1268,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,9,0,dot,backpack,backpack_mooney_dot_off4,target,upside_down,pre,off,odc30rw06upetq6,html-keyboard-response,46,336891,0.0-11.0-5.8-1.8,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 927,https://exponline.ugr.es/publix/939/997/start?srid=18403,5d29c671bc573b00165c9014,22,40,United Kingdom,Male,Left-handed,Exp,dot_recog,e,1,0,,,,
9,1107,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,10,0,dot,banana_peel,banana_peel_mooney_dot_off2,target,regular,pre,off,odc30rw06upetq6,html-keyboard-response,50,339026,0.0-11.0-5.9-1.9,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 927,https://exponline.ugr.es/publix/939/997/start?srid=18403,5d29c671bc573b00165c9014,22,40,United Kingdom,Male,Left-handed,Exp,dot_recog,i,0,1,,,,
