index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,3890.899999976158,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,1,0,dot,gargoyle,gargoyle_mooney_dot_on1,catch,regular,pre,on,os8dqzoyr61swfn,html-keyboard-response,14,1198141,0.0-11.0-5.0-1.0,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/997/start?srid=18361,665c6d5618baa7f9455039b3,18,29,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
1,1616.0999999642372,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,puddle,puddle_mooney_dot_on1,target,regular,pre,on,os8dqzoyr61swfn,html-keyboard-response,18,1200769,0.0-11.0-5.1-1.1,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/997/start?srid=18361,665c6d5618baa7f9455039b3,18,29,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
2,3030.300000011921,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,3,0,dot,steak,steak_mooney_dot_on3,target,horizontal_flip,pre,on,os8dqzoyr61swfn,html-keyboard-response,22,1204813,0.0-11.0-5.2-1.2,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/997/start?srid=18361,665c6d5618baa7f9455039b3,18,29,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
3,1435.2999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/punching_bag_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,punching_bag,punching_bag_mooney_dot_on3,target,upside_down,pre,on,os8dqzoyr61swfn,html-keyboard-response,26,1207265,0.0-11.0-5.3-1.3,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/997/start?srid=18361,665c6d5618baa7f9455039b3,18,29,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
4,2772.2000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,5,0,dot,gargoyle,gargoyle_mooney_dot_off2,catch,regular,pre,off,os8dqzoyr61swfn,html-keyboard-response,30,1211059,0.0-11.0-5.4-1.4,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/997/start?srid=18361,665c6d5618baa7f9455039b3,18,29,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
5,1953.699999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,6,0,dot,steak,steak_mooney_dot_on1,target,horizontal_flip,pre,on,os8dqzoyr61swfn,html-keyboard-response,34,1214027,0.0-11.0-5.5-1.5,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/997/start?srid=18361,665c6d5618baa7f9455039b3,18,29,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
6,3116,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/punching_bag_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,7,0,dot,punching_bag,punching_bag_mooney_dot_on1,target,upside_down,pre,on,os8dqzoyr61swfn,html-keyboard-response,38,1218166,0.0-11.0-5.6-1.6,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/997/start?srid=18361,665c6d5618baa7f9455039b3,18,29,United Kingdom,Female,Right-handed,Exp,dot_recog,e,0,0,,,,
7,1884.199999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,gargoyle,gargoyle_mooney_dot_on3,catch,regular,pre,on,os8dqzoyr61swfn,html-keyboard-response,42,1221069,0.0-11.0-5.7-1.7,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/997/start?srid=18361,665c6d5618baa7f9455039b3,18,29,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
8,1824.300000011921,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,9,0,dot,steak,steak_mooney_dot_off4,target,horizontal_flip,pre,off,os8dqzoyr61swfn,html-keyboard-response,46,1223906,0.0-11.0-5.8-1.8,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/997/start?srid=18361,665c6d5618baa7f9455039b3,18,29,United Kingdom,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
9,1410.199999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,10,0,dot,puddle,puddle_mooney_dot_off4,target,regular,pre,off,os8dqzoyr61swfn,html-keyboard-response,50,1226337,0.0-11.0-5.9-1.9,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/997/start?srid=18361,665c6d5618baa7f9455039b3,18,29,United Kingdom,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
