index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,scale_factor,win_width_deg,win_height_deg,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,verbal_id,semantic_distance,verbal_acc_corrected
14,,,,,,html-keyboard-response,14,148961,0.0-11.0-5.0-1.0,Chrome,133.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 726,p6jtb0m0mykzkcv,https://exponline.ugr.es/publix/939/997/start?srid=18382,63f782f160eb53150d24c549,31,30,United Kingdom,Female,Right-handed,,2078.5,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,1,0,dot,candelabra,candelabra_mooney_dot_on3,target,upside_down,pre,on,Exp,dot_recog,i,1,1,,,
18,,,,,,html-keyboard-response,18,151133,0.0-11.0-5.1-1.1,Chrome,133.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 726,p6jtb0m0mykzkcv,https://exponline.ugr.es/publix/939/997/start?srid=18382,63f782f160eb53150d24c549,31,30,United Kingdom,Female,Right-handed,,1166.5999999940395,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,grasshopper,grasshopper_mooney_dot_off2,target,horizontal_flip,pre,off,Exp,dot_recog,i,1,0,,,
22,,,,,,html-keyboard-response,22,156091,0.0-11.0-5.2-1.2,Chrome,133.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 726,p6jtb0m0mykzkcv,https://exponline.ugr.es/publix/939/997/start?srid=18382,63f782f160eb53150d24c549,31,30,United Kingdom,Female,Right-handed,,3953.4000000059605,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,3,0,dot,candelabra,candelabra_mooney_dot_off4,target,upside_down,pre,off,Exp,dot_recog,e,0,1,,,
26,,,,,,html-keyboard-response,26,158284,0.0-11.0-5.3-1.3,Chrome,133.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 726,p6jtb0m0mykzkcv,https://exponline.ugr.es/publix/939/997/start?srid=18382,63f782f160eb53150d24c549,31,30,United Kingdom,Female,Right-handed,,1188.0999999940395,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,4,0,dot,peanut_butter,peanut_butter_mooney_dot_on1,target,regular,pre,on,Exp,dot_recog,i,1,1,,,
30,,,,,,html-keyboard-response,30,160686,0.0-11.0-5.4-1.4,Chrome,133.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 726,p6jtb0m0mykzkcv,https://exponline.ugr.es/publix/939/997/start?srid=18382,63f782f160eb53150d24c549,31,30,United Kingdom,Female,Right-handed,,1397.1000000238419,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,5,0,dot,grasshopper,grasshopper_mooney_dot_off4,target,horizontal_flip,pre,off,Exp,dot_recog,e,0,1,,,
34,,,,,,html-keyboard-response,34,163600,0.0-11.0-5.5-1.5,Chrome,133.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 726,p6jtb0m0mykzkcv,https://exponline.ugr.es/publix/939/997/start?srid=18382,63f782f160eb53150d24c549,31,30,United Kingdom,Female,Right-handed,,1910.300000011921,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,6,0,dot,backpack,backpack_mooney_dot_on1,catch,regular,pre,on,Exp,dot_recog,e,0,0,,,
38,,,,,,html-keyboard-response,38,165900,0.0-11.0-5.6-1.6,Chrome,133.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 726,p6jtb0m0mykzkcv,https://exponline.ugr.es/publix/939/997/start?srid=18382,63f782f160eb53150d24c549,31,30,United Kingdom,Female,Right-handed,,1294.4000000059605,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,7,0,dot,grasshopper,grasshopper_mooney_dot_on3,target,horizontal_flip,pre,on,Exp,dot_recog,i,1,1,,,
42,,,,,,html-keyboard-response,42,168233,0.0-11.0-5.7-1.7,Chrome,133.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 726,p6jtb0m0mykzkcv,https://exponline.ugr.es/publix/939/997/start?srid=18382,63f782f160eb53150d24c549,31,30,United Kingdom,Female,Right-handed,,1327.199999988079,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,peanut_butter,peanut_butter_mooney_dot_off2,target,regular,pre,off,Exp,dot_recog,i,1,0,,,
46,,,,,,html-keyboard-response,46,170374,0.0-11.0-5.8-1.8,Chrome,133.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 726,p6jtb0m0mykzkcv,https://exponline.ugr.es/publix/939/997/start?srid=18382,63f782f160eb53150d24c549,31,30,United Kingdom,Female,Right-handed,,1134.9000000059605,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,9,0,dot,candelabra,candelabra_mooney_dot_off2,target,upside_down,pre,off,Exp,dot_recog,i,1,0,,,
50,,,,,,html-keyboard-response,50,172374,0.0-11.0-5.9-1.9,Chrome,133.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 726,p6jtb0m0mykzkcv,https://exponline.ugr.es/publix/939/997/start?srid=18382,63f782f160eb53150d24c549,31,30,United Kingdom,Female,Right-handed,,994.3000000119209,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,10,0,dot,backpack,backpack_mooney_dot_off4,catch,regular,pre,off,Exp,dot_recog,i,1,0,,,
