index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,1,0,dot,axe,axe_mooney_dot_off2,catch,regular,pre,off,pudbk98xalh07en,html-keyboard-response,14,250297,0.0-11.0-5.0-1.0,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 947,https://exponline.ugr.es/publix/939/997/start?srid=18426,5a706cc5efd3a7000120ff3e,22,38,United Kingdom,Female,Right-handed,Exp,dot_recog,,0,1,,,,
1,1388,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,2,0,dot,bat2,bat2_mooney_dot_off4,target,horizontal_flip,pre,off,pudbk98xalh07en,html-keyboard-response,18,252701,0.0-11.0-5.1-1.1,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 947,https://exponline.ugr.es/publix/939/997/start?srid=18426,5a706cc5efd3a7000120ff3e,22,38,United Kingdom,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
2,1344,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,3,0,dot,banana_peel,banana_peel_mooney_dot_off4,target,regular,pre,off,pudbk98xalh07en,html-keyboard-response,22,255054,0.0-11.0-5.2-1.2,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 947,https://exponline.ugr.es/publix/939/997/start?srid=18426,5a706cc5efd3a7000120ff3e,22,38,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,0,,,,
3,859,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,4,0,dot,bat2,bat2_mooney_dot_off2,target,horizontal_flip,pre,off,pudbk98xalh07en,html-keyboard-response,26,256924,0.0-11.0-5.3-1.3,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 947,https://exponline.ugr.es/publix/939/997/start?srid=18426,5a706cc5efd3a7000120ff3e,22,38,United Kingdom,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
4,1516,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,5,0,dot,banana_peel,banana_peel_mooney_dot_on1,target,regular,pre,on,pudbk98xalh07en,html-keyboard-response,30,259462,0.0-11.0-5.4-1.4,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 947,https://exponline.ugr.es/publix/939/997/start?srid=18426,5a706cc5efd3a7000120ff3e,22,38,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
5,1305,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,6,0,dot,axe,axe_mooney_dot_on1,catch,regular,pre,on,pudbk98xalh07en,html-keyboard-response,34,261782,0.0-11.0-5.5-1.5,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 947,https://exponline.ugr.es/publix/939/997/start?srid=18426,5a706cc5efd3a7000120ff3e,22,38,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
6,1055,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,7,0,dot,bat2,bat2_mooney_dot_on1,target,horizontal_flip,pre,on,pudbk98xalh07en,html-keyboard-response,38,263847,0.0-11.0-5.6-1.6,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 947,https://exponline.ugr.es/publix/939/997/start?srid=18426,5a706cc5efd3a7000120ff3e,22,38,United Kingdom,Female,Right-handed,Exp,dot_recog,i,0,0,,,,
7,1543,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,8,0,dot,banana_peel,banana_peel_mooney_dot_on3,target,regular,pre,on,pudbk98xalh07en,html-keyboard-response,42,266413,0.0-11.0-5.7-1.7,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 947,https://exponline.ugr.es/publix/939/997/start?srid=18426,5a706cc5efd3a7000120ff3e,22,38,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
8,1774,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,9,0,dot,backpack,backpack_mooney_dot_off4,target,upside_down,pre,off,pudbk98xalh07en,html-keyboard-response,46,269203,0.0-11.0-5.8-1.8,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 947,https://exponline.ugr.es/publix/939/997/start?srid=18426,5a706cc5efd3a7000120ff3e,22,38,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,0,,,,
9,1470,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,10,0,dot,banana_peel,banana_peel_mooney_dot_off2,target,regular,pre,off,pudbk98xalh07en,html-keyboard-response,50,271687,0.0-11.0-5.9-1.9,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 947,https://exponline.ugr.es/publix/939/997/start?srid=18426,5a706cc5efd3a7000120ff3e,22,38,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,0,,,,
10,1322,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,11,0,dot,backpack,backpack_mooney_dot_on3,target,upside_down,pre,on,pudbk98xalh07en,html-keyboard-response,54,274020,0.0-11.0-5.10-1.10,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 947,https://exponline.ugr.es/publix/939/997/start?srid=18426,5a706cc5efd3a7000120ff3e,22,38,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
11,2028,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,12,0,dot,bat2,bat2_mooney_dot_on3,target,horizontal_flip,pre,on,pudbk98xalh07en,html-keyboard-response,58,277060,0.0-11.0-5.11-1.11,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 947,https://exponline.ugr.es/publix/939/997/start?srid=18426,5a706cc5efd3a7000120ff3e,22,38,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
12,2360,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,13,0,dot,backpack,backpack_mooney_dot_on1,target,upside_down,pre,on,pudbk98xalh07en,html-keyboard-response,62,280428,0.0-11.0-5.12-1.12,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 947,https://exponline.ugr.es/publix/939/997/start?srid=18426,5a706cc5efd3a7000120ff3e,22,38,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
13,1500,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,14,0,dot,axe,axe_mooney_dot_on3,catch,regular,pre,on,pudbk98xalh07en,html-keyboard-response,66,282939,0.0-11.0-5.13-1.13,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 947,https://exponline.ugr.es/publix/939/997/start?srid=18426,5a706cc5efd3a7000120ff3e,22,38,United Kingdom,Female,Right-handed,Exp,dot_recog,i,0,0,,,,
14,1780,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,15,0,dot,backpack,backpack_mooney_dot_off2,target,upside_down,pre,off,pudbk98xalh07en,html-keyboard-response,70,285734,0.0-11.0-5.14-1.14,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 947,https://exponline.ugr.es/publix/939/997/start?srid=18426,5a706cc5efd3a7000120ff3e,22,38,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,0,,,,
15,1882,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,16,0,dot,axe,axe_mooney_dot_off4,catch,regular,pre,off,pudbk98xalh07en,html-keyboard-response,74,288637,0.0-11.0-5.15-1.15,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 947,https://exponline.ugr.es/publix/939/997/start?srid=18426,5a706cc5efd3a7000120ff3e,22,38,United Kingdom,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
16,,,,17,0,recognition,banana_peel,banana_peel_mooney,target,regular,pre,null,pudbk98xalh07en,survey-text-autocomplete,82,299191,0.0-11.0-6.16-4.16,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 947,https://exponline.ugr.es/publix/939/997/start?srid=18426,5a706cc5efd3a7000120ff3e,22,38,United Kingdom,Female,Right-handed,Exp,Recognition,,,,"{""recognition"":""wolf""}",wolf,0.8551757483351061,0.0
17,,,,18,0,recognition,bat2,bat2_mooney,target,horizontal_flip,pre,null,pudbk98xalh07en,survey-text-autocomplete,89,307468,0.0-11.0-6.17-4.17,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 947,https://exponline.ugr.es/publix/939/997/start?srid=18426,5a706cc5efd3a7000120ff3e,22,38,United Kingdom,Female,Right-handed,Exp,Recognition,,,,"{""recognition"":""gun""}",gun,0.6546829000862524,0.0
18,,,,19,0,recognition,axe,axe_mooney,catch,regular,pre,null,pudbk98xalh07en,survey-text-autocomplete,96,318061,0.0-11.0-6.18-4.18,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 947,https://exponline.ugr.es/publix/939/997/start?srid=18426,5a706cc5efd3a7000120ff3e,22,38,United Kingdom,Female,Right-handed,Exp,Recognition,,,,"{""recognition"":""clipper""}",clipper,0.5822218095602192,0.0
19,,,,20,0,recognition,backpack,backpack_mooney,target,upside_down,pre,null,pudbk98xalh07en,survey-text-autocomplete,103,327013,0.0-11.0-6.19-4.19,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 947,https://exponline.ugr.es/publix/939/997/start?srid=18426,5a706cc5efd3a7000120ff3e,22,38,United Kingdom,Female,Right-handed,Exp,Recognition,,,,"{""recognition"":""daisy""}",daisy,0.7850463307985911,0.0
20,,,,21,0,recognition,banana_peel,banana_peel,target,regular,color,null,pudbk98xalh07en,survey-text-autocomplete,110,334652,0.0-11.0-6.20-4.20,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 947,https://exponline.ugr.es/publix/939/997/start?srid=18426,5a706cc5efd3a7000120ff3e,22,38,United Kingdom,Female,Right-handed,Exp,Recognition,,,,"{""recognition"":""banana peel""}",banana_peel,0.0,1.0
21,,,,22,0,recognition,backpack,backpack,target,upside_down,color,null,pudbk98xalh07en,survey-text-autocomplete,117,342836,0.0-11.0-6.21-4.21,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 947,https://exponline.ugr.es/publix/939/997/start?srid=18426,5a706cc5efd3a7000120ff3e,22,38,United Kingdom,Female,Right-handed,Exp,Recognition,,,,"{""recognition"":""bag""}",bag,0.29563851593176427,0.0
22,,,,23,0,recognition,bat2,bat2,target,horizontal_flip,color,null,pudbk98xalh07en,survey-text-autocomplete,124,350789,0.0-11.0-6.22-4.22,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 947,https://exponline.ugr.es/publix/939/997/start?srid=18426,5a706cc5efd3a7000120ff3e,22,38,United Kingdom,Female,Right-handed,Exp,Recognition,,,,"{""recognition"":""bat""}",bat2,0.0,1.0
23,3847,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on5.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,24,1,dot,axe,axe_mooney_dot_on5,catch,regular,post,on,pudbk98xalh07en,html-keyboard-response,130,371576,0.0-11.0-5.23-1.23,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 947,https://exponline.ugr.es/publix/939/997/start?srid=18426,5a706cc5efd3a7000120ff3e,22,38,United Kingdom,Female,Right-handed,Exp,dot_recog,i,0,0,,,,
24,2557,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/figurine_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,25,1,dot,figurine,figurine_mooney_dot_on3,target,regular,pre,on,pudbk98xalh07en,html-keyboard-response,134,375156,0.0-11.0-5.24-1.24,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 947,https://exponline.ugr.es/publix/939/997/start?srid=18426,5a706cc5efd3a7000120ff3e,22,38,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
25,4157,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,26,1,dot,drill,drill_mooney_dot_on3,target,upside_down,pre,on,pudbk98xalh07en,html-keyboard-response,138,380324,0.0-11.0-5.25-1.25,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 947,https://exponline.ugr.es/publix/939/997/start?srid=18426,5a706cc5efd3a7000120ff3e,22,38,United Kingdom,Female,Right-handed,Exp,dot_recog,i,0,0,,,,
26,1921,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on7.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,27,1,dot,bat2,bat2_mooney_dot_on7,target,horizontal_flip,post,on,pudbk98xalh07en,html-keyboard-response,142,383260,0.0-11.0-5.26-1.26,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 947,https://exponline.ugr.es/publix/939/997/start?srid=18426,5a706cc5efd3a7000120ff3e,22,38,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
27,1748,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,28,1,dot,drill,drill_mooney_dot_on1,target,upside_down,pre,on,pudbk98xalh07en,html-keyboard-response,146,386021,0.0-11.0-5.27-1.27,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 947,https://exponline.ugr.es/publix/939/997/start?srid=18426,5a706cc5efd3a7000120ff3e,22,38,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
