index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,1,0,dot,carriage,carriage_mooney_dot_on1,catch,regular,pre,on,pxywelxaoh6aoz5,html-keyboard-response,14,384936,0.0-11.0-5.0-1.0,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 679,https://exponline.ugr.es/publix/939/997/start?srid=18366,67dee768738a03ed34f8017d,4,26,United States,Female,Right-handed,Exp,dot_recog,,0,0,,,,
1,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gutter_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,2,0,dot,gutter,gutter_mooney_dot_off2,target,horizontal_flip,pre,off,pxywelxaoh6aoz5,html-keyboard-response,20,394797,0.0-11.0-5.1-1.1,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 679,https://exponline.ugr.es/publix/939/997/start?srid=18366,67dee768738a03ed34f8017d,4,26,United States,Female,Right-handed,Exp,dot_recog,,0,1,,,,
2,2141,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,3,0,dot,carriage,carriage_mooney_dot_on3,catch,regular,pre,on,pxywelxaoh6aoz5,html-keyboard-response,24,397951,0.0-11.0-5.2-1.2,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 679,https://exponline.ugr.es/publix/939/997/start?srid=18366,67dee768738a03ed34f8017d,4,26,United States,Female,Right-handed,Exp,dot_recog,e,0,0,,,,
3,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,4,0,dot,gargoyle,gargoyle_mooney_dot_off2,target,regular,pre,off,pxywelxaoh6aoz5,html-keyboard-response,28,403979,0.0-11.0-5.3-1.3,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 679,https://exponline.ugr.es/publix/939/997/start?srid=18366,67dee768738a03ed34f8017d,4,26,United States,Female,Right-handed,Exp,dot_recog,,0,1,,,,
4,2238.2000000001863,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,5,0,dot,drill,drill_mooney_dot_on1,target,upside_down,pre,on,pxywelxaoh6aoz5,html-keyboard-response,32,407236,0.0-11.0-5.4-1.4,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 679,https://exponline.ugr.es/publix/939/997/start?srid=18366,67dee768738a03ed34f8017d,4,26,United States,Female,Right-handed,Exp,dot_recog,e,0,0,,,,
5,2039.2000000001863,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,6,0,dot,gargoyle,gargoyle_mooney_dot_on3,target,regular,pre,on,pxywelxaoh6aoz5,html-keyboard-response,36,410281,0.0-11.0-5.5-1.5,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 679,https://exponline.ugr.es/publix/939/997/start?srid=18366,67dee768738a03ed34f8017d,4,26,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
6,1529.7000000001863,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gutter_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,7,0,dot,gutter,gutter_mooney_dot_off4,target,horizontal_flip,pre,off,pxywelxaoh6aoz5,html-keyboard-response,40,412832,0.0-11.0-5.6-1.6,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 679,https://exponline.ugr.es/publix/939/997/start?srid=18366,67dee768738a03ed34f8017d,4,26,United States,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
7,2889,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,8,0,dot,drill,drill_mooney_dot_off4,target,upside_down,pre,off,pxywelxaoh6aoz5,html-keyboard-response,44,416737,0.0-11.0-5.7-1.7,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 679,https://exponline.ugr.es/publix/939/997/start?srid=18366,67dee768738a03ed34f8017d,4,26,United States,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
8,470.8999999994412,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,9,0,dot,gargoyle,gargoyle_mooney_dot_off4,target,regular,pre,off,pxywelxaoh6aoz5,html-keyboard-response,48,418232,0.0-11.0-5.8-1.8,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 679,https://exponline.ugr.es/publix/939/997/start?srid=18366,67dee768738a03ed34f8017d,4,26,United States,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
9,1596.3999999994412,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,10,0,dot,drill,drill_mooney_dot_off2,target,upside_down,pre,off,pxywelxaoh6aoz5,html-keyboard-response,52,420844,0.0-11.0-5.9-1.9,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 679,https://exponline.ugr.es/publix/939/997/start?srid=18366,67dee768738a03ed34f8017d,4,26,United States,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
10,3159.9000000003725,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gutter_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,11,0,dot,gutter,gutter_mooney_dot_on3,target,horizontal_flip,pre,on,pxywelxaoh6aoz5,html-keyboard-response,56,425021,0.0-11.0-5.10-1.10,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 679,https://exponline.ugr.es/publix/939/997/start?srid=18366,67dee768738a03ed34f8017d,4,26,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
11,1864.2000000001863,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,12,0,dot,carriage,carriage_mooney_dot_off4,catch,regular,pre,off,pxywelxaoh6aoz5,html-keyboard-response,60,427902,0.0-11.0-5.11-1.11,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 679,https://exponline.ugr.es/publix/939/997/start?srid=18366,67dee768738a03ed34f8017d,4,26,United States,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
12,1297.7000000001863,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,13,0,dot,drill,drill_mooney_dot_on3,target,upside_down,pre,on,pxywelxaoh6aoz5,html-keyboard-response,64,430216,0.0-11.0-5.12-1.12,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 679,https://exponline.ugr.es/publix/939/997/start?srid=18366,67dee768738a03ed34f8017d,4,26,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
13,753.2000000001863,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gutter_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,14,0,dot,gutter,gutter_mooney_dot_on1,target,horizontal_flip,pre,on,pxywelxaoh6aoz5,html-keyboard-response,68,431979,0.0-11.0-5.13-1.13,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 679,https://exponline.ugr.es/publix/939/997/start?srid=18366,67dee768738a03ed34f8017d,4,26,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
14,851,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,15,0,dot,carriage,carriage_mooney_dot_off2,catch,regular,pre,off,pxywelxaoh6aoz5,html-keyboard-response,72,433849,0.0-11.0-5.14-1.14,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 679,https://exponline.ugr.es/publix/939/997/start?srid=18366,67dee768738a03ed34f8017d,4,26,United States,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
15,1532.7000000001863,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,16,0,dot,gargoyle,gargoyle_mooney_dot_on1,target,regular,pre,on,pxywelxaoh6aoz5,html-keyboard-response,76,436397,0.0-11.0-5.15-1.15,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 679,https://exponline.ugr.es/publix/939/997/start?srid=18366,67dee768738a03ed34f8017d,4,26,United States,Female,Right-handed,Exp,dot_recog,e,0,0,,,,
16,,,,17,0,recognition,gutter,gutter_mooney,target,horizontal_flip,pre,null,pxywelxaoh6aoz5,survey-text-autocomplete,84,452242,0.0-11.0-6.16-4.16,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 679,https://exponline.ugr.es/publix/939/997/start?srid=18366,67dee768738a03ed34f8017d,4,26,United States,Female,Right-handed,Exp,Recognition,,,,"{""recognition"":""balloon""}",balloon,0.7260599598192972,0.0
17,,,,18,0,recognition,drill,drill_mooney,target,upside_down,pre,null,pxywelxaoh6aoz5,survey-text-autocomplete,91,461186,0.0-11.0-6.17-4.17,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 679,https://exponline.ugr.es/publix/939/997/start?srid=18366,67dee768738a03ed34f8017d,4,26,United States,Female,Right-handed,Exp,Recognition,,,,"{""recognition"":""brick""}",brick,0.8408917818638791,0.0
18,,,,19,0,recognition,carriage,carriage_mooney,catch,regular,pre,null,pxywelxaoh6aoz5,survey-text-autocomplete,98,469602,0.0-11.0-6.18-4.18,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 679,https://exponline.ugr.es/publix/939/997/start?srid=18366,67dee768738a03ed34f8017d,4,26,United States,Female,Right-handed,Exp,Recognition,,,,"{""recognition"":""food elevator""}",food_elevator,0.5051391746707357,0.0
19,,,,20,0,recognition,gargoyle,gargoyle_mooney,target,regular,pre,null,pxywelxaoh6aoz5,survey-text-autocomplete,105,475842,0.0-11.0-6.19-4.19,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 679,https://exponline.ugr.es/publix/939/997/start?srid=18366,67dee768738a03ed34f8017d,4,26,United States,Female,Right-handed,Exp,Recognition,,,,"{""recognition"":""foam""}",foam,0.7972421986011553,0.0
20,,,,21,0,recognition,drill,drill,target,upside_down,color,null,pxywelxaoh6aoz5,survey-text-autocomplete,112,491938,0.0-11.0-6.20-4.20,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 679,https://exponline.ugr.es/publix/939/997/start?srid=18366,67dee768738a03ed34f8017d,4,26,United States,Female,Right-handed,Exp,Recognition,,,,"{""recognition"":""gun trigger""}",gun_trigger,0.6530351823965314,0.0
21,,,,22,0,recognition,gargoyle,gargoyle,target,regular,color,null,pxywelxaoh6aoz5,survey-text-autocomplete,119,505706,0.0-11.0-6.21-4.21,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 679,https://exponline.ugr.es/publix/939/997/start?srid=18366,67dee768738a03ed34f8017d,4,26,United States,Female,Right-handed,Exp,Recognition,,,,"{""recognition"":""scaffold""}",scaffold,0.7009923191503453,0.0
22,,,,23,0,recognition,gutter,gutter,target,horizontal_flip,color,null,pxywelxaoh6aoz5,survey-text-autocomplete,126,511507,0.0-11.0-6.22-4.22,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 679,https://exponline.ugr.es/publix/939/997/start?srid=18366,67dee768738a03ed34f8017d,4,26,United States,Female,Right-handed,Exp,Recognition,,,,"{""recognition"":""gage""}",gage,0.8746903322527867,0.0
23,4165.5999999996275,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off8.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,24,1,dot,gargoyle,gargoyle_mooney_dot_off8,target,regular,post,off,pxywelxaoh6aoz5,html-keyboard-response,132,524159,0.0-11.0-5.23-1.23,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 679,https://exponline.ugr.es/publix/939/997/start?srid=18366,67dee768738a03ed34f8017d,4,26,United States,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
