index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,4798.5999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,1,0,dot,egg_roll,egg_roll_mooney_dot_off2,target,regular,pre,off,quo70ly2w3znb9c,html-keyboard-response,14,277021,0.0-11.0-5.0-1.0,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 754,https://exponline.ugr.es/publix/939/997/start?srid=18355,606f1462c3fcfaeb5c52bec8,2,31,Portugal,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
1,1857.7000000029802,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sandal_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,2,0,dot,sandal,sandal_mooney_dot_off4,target,horizontal_flip,pre,off,quo70ly2w3znb9c,html-keyboard-response,18,279883,0.0-11.0-5.1-1.1,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 754,https://exponline.ugr.es/publix/939/997/start?srid=18355,606f1462c3fcfaeb5c52bec8,2,31,Portugal,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
2,2409.0999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,3,0,dot,grasshopper,grasshopper_mooney_dot_on1,catch,regular,pre,on,quo70ly2w3znb9c,html-keyboard-response,22,283297,0.0-11.0-5.2-1.2,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 754,https://exponline.ugr.es/publix/939/997/start?srid=18355,606f1462c3fcfaeb5c52bec8,2,31,Portugal,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
3,2287,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,gargoyle,gargoyle_mooney_dot_off4,target,upside_down,pre,off,quo70ly2w3znb9c,html-keyboard-response,26,286584,0.0-11.0-5.3-1.3,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 754,https://exponline.ugr.es/publix/939/997/start?srid=18355,606f1462c3fcfaeb5c52bec8,2,31,Portugal,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
4,4820.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sandal_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,5,0,dot,sandal,sandal_mooney_dot_on3,target,horizontal_flip,pre,on,quo70ly2w3znb9c,html-keyboard-response,30,292405,0.0-11.0-5.4-1.4,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 754,https://exponline.ugr.es/publix/939/997/start?srid=18355,606f1462c3fcfaeb5c52bec8,2,31,Portugal,Female,Right-handed,Exp,dot_recog,e,0,0,,,,
5,4459.600000008941,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,6,0,dot,gargoyle,gargoyle_mooney_dot_on1,target,upside_down,pre,on,quo70ly2w3znb9c,html-keyboard-response,34,297866,0.0-11.0-5.5-1.5,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 754,https://exponline.ugr.es/publix/939/997/start?srid=18355,606f1462c3fcfaeb5c52bec8,2,31,Portugal,Female,Right-handed,Exp,dot_recog,e,0,0,,,,
6,1675.300000011921,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,7,0,dot,grasshopper,grasshopper_mooney_dot_off2,catch,regular,pre,off,quo70ly2w3znb9c,html-keyboard-response,38,300543,0.0-11.0-5.6-1.6,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 754,https://exponline.ugr.es/publix/939/997/start?srid=18355,606f1462c3fcfaeb5c52bec8,2,31,Portugal,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
7,3267.8999999910593,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,egg_roll,egg_roll_mooney_dot_on3,target,regular,pre,on,quo70ly2w3znb9c,html-keyboard-response,42,304814,0.0-11.0-5.7-1.7,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 754,https://exponline.ugr.es/publix/939/997/start?srid=18355,606f1462c3fcfaeb5c52bec8,2,31,Portugal,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
8,1145.7000000029802,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,9,0,dot,gargoyle,gargoyle_mooney_dot_off2,target,upside_down,pre,off,quo70ly2w3znb9c,html-keyboard-response,46,306963,0.0-11.0-5.8-1.8,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 754,https://exponline.ugr.es/publix/939/997/start?srid=18355,606f1462c3fcfaeb5c52bec8,2,31,Portugal,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
9,1373.2000000029802,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,10,0,dot,grasshopper,grasshopper_mooney_dot_off4,catch,regular,pre,off,quo70ly2w3znb9c,html-keyboard-response,50,309342,0.0-11.0-5.9-1.9,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 754,https://exponline.ugr.es/publix/939/997/start?srid=18355,606f1462c3fcfaeb5c52bec8,2,31,Portugal,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
