index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,4838,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/shears_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,1,0,dot,shears,shears_mooney_dot_off4,target,upside_down,pre,off,qy4x7hrtayhtb9z,html-keyboard-response,14,230341,0.0-11.0-5.0-1.0,Chrome,132.0,macOS,10.15.7,undefined,undefined,1440 x 900,1385 x 650,https://exponline.ugr.es/publix/939/997/start?srid=18406,60075e196fb79a24d8bf995c,1,29,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,0,,,,
1,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,2,0,dot,gargoyle,gargoyle_mooney_dot_on1,target,horizontal_flip,pre,on,qy4x7hrtayhtb9z,html-keyboard-response,20,263958,0.0-11.0-5.1-1.1,Chrome,132.0,macOS,10.15.7,undefined,undefined,1440 x 900,1385 x 650,https://exponline.ugr.es/publix/939/997/start?srid=18406,60075e196fb79a24d8bf995c,1,29,United Kingdom,Female,Right-handed,Exp,dot_recog,,0,0,,,,
2,2409,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,3,0,dot,missile,missile_mooney_dot_off2,target,regular,pre,off,qy4x7hrtayhtb9z,html-keyboard-response,24,267375,0.0-11.0-5.2-1.2,Chrome,132.0,macOS,10.15.7,undefined,undefined,1440 x 900,1385 x 650,https://exponline.ugr.es/publix/939/997/start?srid=18406,60075e196fb79a24d8bf995c,1,29,United Kingdom,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
3,1300.8999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/shears_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,4,0,dot,shears,shears_mooney_dot_off2,target,upside_down,pre,off,qy4x7hrtayhtb9z,html-keyboard-response,28,269684,0.0-11.0-5.3-1.3,Chrome,132.0,macOS,10.15.7,undefined,undefined,1440 x 900,1385 x 650,https://exponline.ugr.es/publix/939/997/start?srid=18406,60075e196fb79a24d8bf995c,1,29,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,0,,,,
4,1586,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,5,0,dot,missile,missile_mooney_dot_off4,target,regular,pre,off,qy4x7hrtayhtb9z,html-keyboard-response,32,272275,0.0-11.0-5.4-1.4,Chrome,132.0,macOS,10.15.7,undefined,undefined,1440 x 900,1385 x 650,https://exponline.ugr.es/publix/939/997/start?srid=18406,60075e196fb79a24d8bf995c,1,29,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,0,,,,
5,1075.4000000953674,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/ginger_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,6,0,dot,ginger,ginger_mooney_dot_off4,catch,regular,pre,off,qy4x7hrtayhtb9z,html-keyboard-response,36,274355,0.0-11.0-5.5-1.5,Chrome,132.0,macOS,10.15.7,undefined,undefined,1440 x 900,1385 x 650,https://exponline.ugr.es/publix/939/997/start?srid=18406,60075e196fb79a24d8bf995c,1,29,United Kingdom,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
6,1510.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,7,0,dot,gargoyle,gargoyle_mooney_dot_on3,target,horizontal_flip,pre,on,qy4x7hrtayhtb9z,html-keyboard-response,40,276870,0.0-11.0-5.6-1.6,Chrome,132.0,macOS,10.15.7,undefined,undefined,1440 x 900,1385 x 650,https://exponline.ugr.es/publix/939/997/start?srid=18406,60075e196fb79a24d8bf995c,1,29,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
7,1335.6999999284744,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,8,0,dot,missile,missile_mooney_dot_on3,target,regular,pre,on,qy4x7hrtayhtb9z,html-keyboard-response,44,279211,0.0-11.0-5.7-1.7,Chrome,132.0,macOS,10.15.7,undefined,undefined,1440 x 900,1385 x 650,https://exponline.ugr.es/publix/939/997/start?srid=18406,60075e196fb79a24d8bf995c,1,29,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
8,1199.8999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/ginger_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,9,0,dot,ginger,ginger_mooney_dot_on3,catch,regular,pre,on,qy4x7hrtayhtb9z,html-keyboard-response,48,281420,0.0-11.0-5.8-1.8,Chrome,132.0,macOS,10.15.7,undefined,undefined,1440 x 900,1385 x 650,https://exponline.ugr.es/publix/939/997/start?srid=18406,60075e196fb79a24d8bf995c,1,29,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
9,1742.8999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/shears_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,10,0,dot,shears,shears_mooney_dot_on3,target,upside_down,pre,on,qy4x7hrtayhtb9z,html-keyboard-response,52,284170,0.0-11.0-5.9-1.9,Chrome,132.0,macOS,10.15.7,undefined,undefined,1440 x 900,1385 x 650,https://exponline.ugr.es/publix/939/997/start?srid=18406,60075e196fb79a24d8bf995c,1,29,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
10,895.7000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,11,0,dot,gargoyle,gargoyle_mooney_dot_off4,target,horizontal_flip,pre,off,qy4x7hrtayhtb9z,html-keyboard-response,56,286072,0.0-11.0-5.10-1.10,Chrome,132.0,macOS,10.15.7,undefined,undefined,1440 x 900,1385 x 650,https://exponline.ugr.es/publix/939/997/start?srid=18406,60075e196fb79a24d8bf995c,1,29,United Kingdom,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
11,951.7999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/shears_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,12,0,dot,shears,shears_mooney_dot_on1,target,upside_down,pre,on,qy4x7hrtayhtb9z,html-keyboard-response,60,288029,0.0-11.0-5.11-1.11,Chrome,132.0,macOS,10.15.7,undefined,undefined,1440 x 900,1385 x 650,https://exponline.ugr.es/publix/939/997/start?srid=18406,60075e196fb79a24d8bf995c,1,29,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
12,1023.8999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/ginger_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,13,0,dot,ginger,ginger_mooney_dot_off2,catch,regular,pre,off,qy4x7hrtayhtb9z,html-keyboard-response,64,290059,0.0-11.0-5.12-1.12,Chrome,132.0,macOS,10.15.7,undefined,undefined,1440 x 900,1385 x 650,https://exponline.ugr.es/publix/939/997/start?srid=18406,60075e196fb79a24d8bf995c,1,29,United Kingdom,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
13,1244.2999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,14,0,dot,missile,missile_mooney_dot_on1,target,regular,pre,on,qy4x7hrtayhtb9z,html-keyboard-response,68,292308,0.0-11.0-5.13-1.13,Chrome,132.0,macOS,10.15.7,undefined,undefined,1440 x 900,1385 x 650,https://exponline.ugr.es/publix/939/997/start?srid=18406,60075e196fb79a24d8bf995c,1,29,United Kingdom,Female,Right-handed,Exp,dot_recog,i,0,0,,,,
