index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,scale_factor,win_width_deg,win_height_deg,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,verbal_id,semantic_distance,verbal_acc_corrected
14,,,,,,html-keyboard-response,14,193073,0.0-11.0-5.0-1.0,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,r3dt581k9saesrm,https://exponline.ugr.es/publix/939/997/start?srid=18449,63e6132468f99695fc58b132,7,32,United Kingdom,Male,Right-handed,,null,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,1,0,dot,bat2,bat2_mooney_dot_on3,target,regular,pre,on,Exp,dot_recog,,0,0,,,
18,,,,,,html-keyboard-response,18,197061,0.0-11.0-5.1-1.1,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,r3dt581k9saesrm,https://exponline.ugr.es/publix/939/997/start?srid=18449,63e6132468f99695fc58b132,7,32,United Kingdom,Male,Right-handed,,2978.0999999996275,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,pomegranate,pomegranate_mooney_dot_off4,target,horizontal_flip,pre,off,Exp,dot_recog,i,1,0,,,
22,,,,,,html-keyboard-response,22,199085,0.0-11.0-5.2-1.2,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,r3dt581k9saesrm,https://exponline.ugr.es/publix/939/997/start?srid=18449,63e6132468f99695fc58b132,7,32,United Kingdom,Male,Right-handed,,1006.7000000011176,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,3,0,dot,gargoyle,gargoyle_mooney_dot_off2,catch,regular,pre,off,Exp,dot_recog,e,0,1,,,
26,,,,,,html-keyboard-response,26,201893,0.0-11.0-5.3-1.3,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,r3dt581k9saesrm,https://exponline.ugr.es/publix/939/997/start?srid=18449,63e6132468f99695fc58b132,7,32,United Kingdom,Male,Right-handed,,1801.5999999996275,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,4,0,dot,pomegranate,pomegranate_mooney_dot_off2,target,horizontal_flip,pre,off,Exp,dot_recog,e,0,1,,,
30,,,,,,html-keyboard-response,30,204541,0.0-11.0-5.4-1.4,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,r3dt581k9saesrm,https://exponline.ugr.es/publix/939/997/start?srid=18449,63e6132468f99695fc58b132,7,32,United Kingdom,Male,Right-handed,,1629.5,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puffin_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,5,0,dot,puffin,puffin_mooney_dot_on1,target,upside_down,pre,on,Exp,dot_recog,i,1,1,,,
34,,,,,,html-keyboard-response,34,207221,0.0-11.0-5.5-1.5,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,r3dt581k9saesrm,https://exponline.ugr.es/publix/939/997/start?srid=18449,63e6132468f99695fc58b132,7,32,United Kingdom,Male,Right-handed,,1664.199999999255,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,6,0,dot,bat2,bat2_mooney_dot_off2,target,regular,pre,off,Exp,dot_recog,e,0,1,,,
38,,,,,,html-keyboard-response,38,210357,0.0-11.0-5.6-1.6,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,r3dt581k9saesrm,https://exponline.ugr.es/publix/939/997/start?srid=18449,63e6132468f99695fc58b132,7,32,United Kingdom,Male,Right-handed,,2126.4000000003725,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puffin_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,7,0,dot,puffin,puffin_mooney_dot_off4,target,upside_down,pre,off,Exp,dot_recog,e,0,1,,,
42,,,,,,html-keyboard-response,42,212885,0.0-11.0-5.7-1.7,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,r3dt581k9saesrm,https://exponline.ugr.es/publix/939/997/start?srid=18449,63e6132468f99695fc58b132,7,32,United Kingdom,Male,Right-handed,,1517.699999999255,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,pomegranate,pomegranate_mooney_dot_on3,target,horizontal_flip,pre,on,Exp,dot_recog,i,1,1,,,
46,,,,,,html-keyboard-response,46,216061,0.0-11.0-5.8-1.8,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,r3dt581k9saesrm,https://exponline.ugr.es/publix/939/997/start?srid=18449,63e6132468f99695fc58b132,7,32,United Kingdom,Male,Right-handed,,2166.7999999988824,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,9,0,dot,gargoyle,gargoyle_mooney_dot_on3,catch,regular,pre,on,Exp,dot_recog,i,1,1,,,
50,,,,,,html-keyboard-response,50,218220,0.0-11.0-5.9-1.9,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,r3dt581k9saesrm,https://exponline.ugr.es/publix/939/997/start?srid=18449,63e6132468f99695fc58b132,7,32,United Kingdom,Male,Right-handed,,1149.4000000003725,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puffin_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,10,0,dot,puffin,puffin_mooney_dot_on3,target,upside_down,pre,on,Exp,dot_recog,i,1,1,,,
54,,,,,,html-keyboard-response,54,220861,0.0-11.0-5.10-1.10,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,r3dt581k9saesrm,https://exponline.ugr.es/publix/939/997/start?srid=18449,63e6132468f99695fc58b132,7,32,United Kingdom,Male,Right-handed,,1625.0999999996275,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,11,0,dot,bat2,bat2_mooney_dot_on1,target,regular,pre,on,Exp,dot_recog,i,1,1,,,
58,,,,,,html-keyboard-response,58,222980,0.0-11.0-5.11-1.11,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,r3dt581k9saesrm,https://exponline.ugr.es/publix/939/997/start?srid=18449,63e6132468f99695fc58b132,7,32,United Kingdom,Male,Right-handed,,1113.7999999988824,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,12,0,dot,gargoyle,gargoyle_mooney_dot_off4,catch,regular,pre,off,Exp,dot_recog,e,0,1,,,
62,,,,,,html-keyboard-response,62,225364,0.0-11.0-5.12-1.12,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,r3dt581k9saesrm,https://exponline.ugr.es/publix/939/997/start?srid=18449,63e6132468f99695fc58b132,7,32,United Kingdom,Male,Right-handed,,1370.4000000003725,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puffin_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,13,0,dot,puffin,puffin_mooney_dot_off2,target,upside_down,pre,off,Exp,dot_recog,i,1,0,,,
66,,,,,,html-keyboard-response,66,227276,0.0-11.0-5.13-1.13,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,r3dt581k9saesrm,https://exponline.ugr.es/publix/939/997/start?srid=18449,63e6132468f99695fc58b132,7,32,United Kingdom,Male,Right-handed,,893.4000000003725,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,14,0,dot,bat2,bat2_mooney_dot_off4,target,regular,pre,off,Exp,dot_recog,e,0,1,,,
70,,,,,,html-keyboard-response,70,229533,0.0-11.0-5.14-1.14,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,r3dt581k9saesrm,https://exponline.ugr.es/publix/939/997/start?srid=18449,63e6132468f99695fc58b132,7,32,United Kingdom,Male,Right-handed,,1240.1000000014901,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,15,0,dot,gargoyle,gargoyle_mooney_dot_on1,catch,regular,pre,on,Exp,dot_recog,i,1,1,,,
74,,,,,,html-keyboard-response,74,232260,0.0-11.0-5.15-1.15,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,r3dt581k9saesrm,https://exponline.ugr.es/publix/939/997/start?srid=18449,63e6132468f99695fc58b132,7,32,United Kingdom,Male,Right-handed,,1720.8999999985099,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,16,0,dot,pomegranate,pomegranate_mooney_dot_on1,target,horizontal_flip,pre,on,Exp,dot_recog,i,1,1,,,
82,,,,,,survey-text-autocomplete,82,242993,0.0-11.0-6.16-4.16,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,r3dt581k9saesrm,https://exponline.ugr.es/publix/939/997/start?srid=18449,63e6132468f99695fc58b132,7,32,United Kingdom,Male,Right-handed,,,"{""recognition"":""horse""}",,,,,,,,,,,,,,,17,0,recognition,puffin,puffin_mooney,target,upside_down,pre,null,Exp,Recognition,,,,horse,0.6936065199476855,0.0
89,,,,,,survey-text-autocomplete,89,251940,0.0-11.0-6.17-4.17,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,r3dt581k9saesrm,https://exponline.ugr.es/publix/939/997/start?srid=18449,63e6132468f99695fc58b132,7,32,United Kingdom,Male,Right-handed,,,"{""recognition"":""gun""}",,,,,,,,,,,,,,,18,0,recognition,bat2,bat2_mooney,target,regular,pre,null,Exp,Recognition,,,,gun,0.6546829000862524,0.0
96,,,,,,survey-text-autocomplete,96,256241,0.0-11.0-6.18-4.18,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,r3dt581k9saesrm,https://exponline.ugr.es/publix/939/997/start?srid=18449,63e6132468f99695fc58b132,7,32,United Kingdom,Male,Right-handed,,,"{""recognition"":""horse""}",,,,,,,,,,,,,,,19,0,recognition,gargoyle,gargoyle_mooney,catch,regular,pre,null,Exp,Recognition,,,,horse,0.4254749505820892,0.0
103,,,,,,survey-text-autocomplete,103,266513,0.0-11.0-6.19-4.19,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,r3dt581k9saesrm,https://exponline.ugr.es/publix/939/997/start?srid=18449,63e6132468f99695fc58b132,7,32,United Kingdom,Male,Right-handed,,,"{""recognition"":""bucket""}",,,,,,,,,,,,,,,20,0,recognition,pomegranate,pomegranate_mooney,target,horizontal_flip,pre,null,Exp,Recognition,,,,bucket,0.7721331956435347,0.0
110,,,,,,survey-text-autocomplete,110,271739,0.0-11.0-6.20-4.20,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,r3dt581k9saesrm,https://exponline.ugr.es/publix/939/997/start?srid=18449,63e6132468f99695fc58b132,7,32,United Kingdom,Male,Right-handed,,,"{""recognition"":""bat""}",,,,,,,,,,,,,,,21,0,recognition,bat2,bat2,target,regular,color,null,Exp,Recognition,,,,bat2,0.0,1.0
117,,,,,,survey-text-autocomplete,117,277829,0.0-11.0-6.21-4.21,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,r3dt581k9saesrm,https://exponline.ugr.es/publix/939/997/start?srid=18449,63e6132468f99695fc58b132,7,32,United Kingdom,Male,Right-handed,,,"{""recognition"":""puffin""}",,,,,,,,,,,,,,,22,0,recognition,puffin,puffin,target,upside_down,color,null,Exp,Recognition,,,,puffin,0.0,1.0
124,,,,,,survey-text-autocomplete,124,282435,0.0-11.0-6.22-4.22,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,r3dt581k9saesrm,https://exponline.ugr.es/publix/939/997/start?srid=18449,63e6132468f99695fc58b132,7,32,United Kingdom,Male,Right-handed,,,"{""recognition"":""pomegranate""}",,,,,,,,,,,,,,,23,0,recognition,pomegranate,pomegranate,target,horizontal_flip,color,null,Exp,Recognition,,,,pomegranate,0.0,1.0
130,,,,,,html-keyboard-response,130,293448,0.0-11.0-5.23-1.23,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,r3dt581k9saesrm,https://exponline.ugr.es/publix/939/997/start?srid=18449,63e6132468f99695fc58b132,7,32,United Kingdom,Male,Right-handed,,null,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/mannequin_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,24,1,dot,mannequin,mannequin_mooney_dot_off4,target,regular,pre,off,Exp,dot_recog,,0,1,,,
134,,,,,,html-keyboard-response,134,297766,0.0-11.0-5.24-1.24,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,r3dt581k9saesrm,https://exponline.ugr.es/publix/939/997/start?srid=18449,63e6132468f99695fc58b132,7,32,United Kingdom,Male,Right-handed,,3309.9000000003725,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off8.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,25,1,dot,bat2,bat2_mooney_dot_off8,target,regular,post,off,Exp,dot_recog,e,0,1,,,
138,,,,,,html-keyboard-response,138,300925,0.0-11.0-5.25-1.25,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,r3dt581k9saesrm,https://exponline.ugr.es/publix/939/997/start?srid=18449,63e6132468f99695fc58b132,7,32,United Kingdom,Male,Right-handed,,2145.199999999255,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,26,1,dot,scarf,scarf_mooney_dot_off2,catch,upside_down,pre,off,Exp,dot_recog,i,1,0,,,
142,,,,,,html-keyboard-response,142,304285,0.0-11.0-5.26-1.26,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,r3dt581k9saesrm,https://exponline.ugr.es/publix/939/997/start?srid=18449,63e6132468f99695fc58b132,7,32,United Kingdom,Male,Right-handed,,2348.199999999255,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off6.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,27,1,dot,gargoyle,gargoyle_mooney_dot_off6,catch,regular,post,off,Exp,dot_recog,e,0,1,,,
146,,,,,,html-keyboard-response,146,307205,0.0-11.0-5.27-1.27,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,r3dt581k9saesrm,https://exponline.ugr.es/publix/939/997/start?srid=18449,63e6132468f99695fc58b132,7,32,United Kingdom,Male,Right-handed,,1903.3999999985099,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,28,1,dot,dumbbell,dumbbell_mooney_dot_off2,target,upside_down,pre,off,Exp,dot_recog,i,1,0,,,
