index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,769.1999999880791,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,1,0,dot,surfboard,surfboard_mooney_dot_off2,target,upside_down,pre,off,su0zcvsewa8gqv1,html-keyboard-response,14,228852,0.0-11.0-5.0-1.0,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 695,https://exponline.ugr.es/publix/939/997/start?srid=18362,5bec8053b6b5ab00017c7349,6,34,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
1,696.0999999642372,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,2,0,dot,bat2,bat2_mooney_dot_off2,catch,regular,pre,off,su0zcvsewa8gqv1,html-keyboard-response,18,230563,0.0-11.0-5.1-1.1,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 695,https://exponline.ugr.es/publix/939/997/start?srid=18362,5bec8053b6b5ab00017c7349,6,34,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
2,561.8999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,3,0,dot,missile,missile_mooney_dot_off4,target,regular,pre,off,su0zcvsewa8gqv1,html-keyboard-response,22,232147,0.0-11.0-5.2-1.2,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 695,https://exponline.ugr.es/publix/939/997/start?srid=18362,5bec8053b6b5ab00017c7349,6,34,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
3,506.19999998807907,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,surfboard,surfboard_mooney_dot_off4,target,upside_down,pre,off,su0zcvsewa8gqv1,html-keyboard-response,26,233675,0.0-11.0-5.3-1.3,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 695,https://exponline.ugr.es/publix/939/997/start?srid=18362,5bec8053b6b5ab00017c7349,6,34,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
4,749.1999999880791,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,5,0,dot,bat2,bat2_mooney_dot_off4,catch,regular,pre,off,su0zcvsewa8gqv1,html-keyboard-response,30,235435,0.0-11.0-5.4-1.4,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 695,https://exponline.ugr.es/publix/939/997/start?srid=18362,5bec8053b6b5ab00017c7349,6,34,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
5,1046.1000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,6,0,dot,carriage,carriage_mooney_dot_off4,target,horizontal_flip,pre,off,su0zcvsewa8gqv1,html-keyboard-response,34,237500,0.0-11.0-5.5-1.5,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 695,https://exponline.ugr.es/publix/939/997/start?srid=18362,5bec8053b6b5ab00017c7349,6,34,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
6,706.3999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,7,0,dot,missile,missile_mooney_dot_off2,target,regular,pre,off,su0zcvsewa8gqv1,html-keyboard-response,38,239227,0.0-11.0-5.6-1.6,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 695,https://exponline.ugr.es/publix/939/997/start?srid=18362,5bec8053b6b5ab00017c7349,6,34,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
7,813.2999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,8,0,dot,carriage,carriage_mooney_dot_on1,target,horizontal_flip,pre,on,su0zcvsewa8gqv1,html-keyboard-response,42,241051,0.0-11.0-5.7-1.7,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 695,https://exponline.ugr.es/publix/939/997/start?srid=18362,5bec8053b6b5ab00017c7349,6,34,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
8,666.8999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,9,0,dot,bat2,bat2_mooney_dot_on3,catch,regular,pre,on,su0zcvsewa8gqv1,html-keyboard-response,46,242739,0.0-11.0-5.8-1.8,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 695,https://exponline.ugr.es/publix/939/997/start?srid=18362,5bec8053b6b5ab00017c7349,6,34,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,0,,,,
9,759.0999999642372,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,10,0,dot,surfboard,surfboard_mooney_dot_on1,target,upside_down,pre,on,su0zcvsewa8gqv1,html-keyboard-response,50,244515,0.0-11.0-5.9-1.9,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 695,https://exponline.ugr.es/publix/939/997/start?srid=18362,5bec8053b6b5ab00017c7349,6,34,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
