index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,1568.199999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,1,0,dot,axe,axe_mooney_dot_on3,target,regular,pre,on,tmj4b573x8p5jny,html-keyboard-response,14,219854,0.0-11.0-5.0-1.0,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 551,https://exponline.ugr.es/publix/939/997/start?srid=18408,66c3262103f0333ce7b58f8c,26,22,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
1,1060.699999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,surfboard,surfboard_mooney_dot_on3,target,horizontal_flip,pre,on,tmj4b573x8p5jny,html-keyboard-response,18,221927,0.0-11.0-5.1-1.1,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 551,https://exponline.ugr.es/publix/939/997/start?srid=18408,66c3262103f0333ce7b58f8c,26,22,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
2,1121.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,3,0,dot,banana_peel,banana_peel_mooney_dot_off2,catch,regular,pre,off,tmj4b573x8p5jny,html-keyboard-response,22,224062,0.0-11.0-5.2-1.2,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 551,https://exponline.ugr.es/publix/939/997/start?srid=18408,66c3262103f0333ce7b58f8c,26,22,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
3,880.3000000119209,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,4,0,dot,surfboard,surfboard_mooney_dot_off4,target,horizontal_flip,pre,off,tmj4b573x8p5jny,html-keyboard-response,26,225949,0.0-11.0-5.3-1.3,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 551,https://exponline.ugr.es/publix/939/997/start?srid=18408,66c3262103f0333ce7b58f8c,26,22,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
4,798,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,5,0,dot,axe,axe_mooney_dot_off4,target,regular,pre,off,tmj4b573x8p5jny,html-keyboard-response,30,227761,0.0-11.0-5.4-1.4,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 551,https://exponline.ugr.es/publix/939/997/start?srid=18408,66c3262103f0333ce7b58f8c,26,22,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
5,745.1999999880791,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,6,0,dot,aloe,aloe_mooney_dot_off2,target,upside_down,pre,off,tmj4b573x8p5jny,html-keyboard-response,34,229513,0.0-11.0-5.5-1.5,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 551,https://exponline.ugr.es/publix/939/997/start?srid=18408,66c3262103f0333ce7b58f8c,26,22,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
6,764.1999999880791,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,7,0,dot,banana_peel,banana_peel_mooney_dot_off4,catch,regular,pre,off,tmj4b573x8p5jny,html-keyboard-response,38,231283,0.0-11.0-5.6-1.6,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 551,https://exponline.ugr.es/publix/939/997/start?srid=18408,66c3262103f0333ce7b58f8c,26,22,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
7,579.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,axe,axe_mooney_dot_on1,target,regular,pre,on,tmj4b573x8p5jny,html-keyboard-response,42,232882,0.0-11.0-5.7-1.7,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 551,https://exponline.ugr.es/publix/939/997/start?srid=18408,66c3262103f0333ce7b58f8c,26,22,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
8,545.0999999642372,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,9,0,dot,aloe,aloe_mooney_dot_off4,target,upside_down,pre,off,tmj4b573x8p5jny,html-keyboard-response,46,234439,0.0-11.0-5.8-1.8,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 551,https://exponline.ugr.es/publix/939/997/start?srid=18408,66c3262103f0333ce7b58f8c,26,22,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
9,873.8000000119209,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,10,0,dot,banana_peel,banana_peel_mooney_dot_on1,catch,regular,pre,on,tmj4b573x8p5jny,html-keyboard-response,50,236324,0.0-11.0-5.9-1.9,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 551,https://exponline.ugr.es/publix/939/997/start?srid=18408,66c3262103f0333ce7b58f8c,26,22,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
10,487,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,11,0,dot,aloe,aloe_mooney_dot_on3,target,upside_down,pre,on,tmj4b573x8p5jny,html-keyboard-response,54,237826,0.0-11.0-5.10-1.10,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 551,https://exponline.ugr.es/publix/939/997/start?srid=18408,66c3262103f0333ce7b58f8c,26,22,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
11,473.10000002384186,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,12,0,dot,surfboard,surfboard_mooney_dot_off2,target,horizontal_flip,pre,off,tmj4b573x8p5jny,html-keyboard-response,58,239305,0.0-11.0-5.11-1.11,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 551,https://exponline.ugr.es/publix/939/997/start?srid=18408,66c3262103f0333ce7b58f8c,26,22,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
12,552.3999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,13,0,dot,banana_peel,banana_peel_mooney_dot_on3,catch,regular,pre,on,tmj4b573x8p5jny,html-keyboard-response,62,240871,0.0-11.0-5.12-1.12,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 551,https://exponline.ugr.es/publix/939/997/start?srid=18408,66c3262103f0333ce7b58f8c,26,22,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
13,500.10000002384186,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,14,0,dot,surfboard,surfboard_mooney_dot_on1,target,horizontal_flip,pre,on,tmj4b573x8p5jny,html-keyboard-response,66,242378,0.0-11.0-5.13-1.13,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 551,https://exponline.ugr.es/publix/939/997/start?srid=18408,66c3262103f0333ce7b58f8c,26,22,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
14,467.80000001192093,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,15,0,dot,aloe,aloe_mooney_dot_on1,target,upside_down,pre,on,tmj4b573x8p5jny,html-keyboard-response,70,243851,0.0-11.0-5.14-1.14,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 551,https://exponline.ugr.es/publix/939/997/start?srid=18408,66c3262103f0333ce7b58f8c,26,22,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
15,538.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,16,0,dot,axe,axe_mooney_dot_off2,target,regular,pre,off,tmj4b573x8p5jny,html-keyboard-response,74,245399,0.0-11.0-5.15-1.15,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 551,https://exponline.ugr.es/publix/939/997/start?srid=18408,66c3262103f0333ce7b58f8c,26,22,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
16,,,,17,0,recognition,banana_peel,banana_peel_mooney,catch,regular,pre,null,tmj4b573x8p5jny,survey-text-autocomplete,82,264719,0.0-11.0-6.16-4.16,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 551,https://exponline.ugr.es/publix/939/997/start?srid=18408,66c3262103f0333ce7b58f8c,26,22,United Kingdom,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""grass""}",grass,0.6563093322783999,0.0
17,,,,18,0,recognition,aloe,aloe_mooney,target,upside_down,pre,null,tmj4b573x8p5jny,survey-text-autocomplete,89,286566,0.0-11.0-6.17-4.17,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 551,https://exponline.ugr.es/publix/939/997/start?srid=18408,66c3262103f0333ce7b58f8c,26,22,United Kingdom,Male,Right-handed,Exp,Recognition,,,,"""timeout""",,,0.0
18,,,,19,0,recognition,surfboard,surfboard_mooney,target,horizontal_flip,pre,null,tmj4b573x8p5jny,survey-text-autocomplete,96,294001,0.0-11.0-6.18-4.18,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 551,https://exponline.ugr.es/publix/939/997/start?srid=18408,66c3262103f0333ce7b58f8c,26,22,United Kingdom,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""house trailer""}",house_trailer,0.6716895889781815,0.0
19,,,,20,0,recognition,axe,axe_mooney,target,regular,pre,null,tmj4b573x8p5jny,survey-text-autocomplete,103,302844,0.0-11.0-6.19-4.19,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 551,https://exponline.ugr.es/publix/939/997/start?srid=18408,66c3262103f0333ce7b58f8c,26,22,United Kingdom,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""window""}",window,0.7741661445992525,0.0
20,,,,21,0,recognition,aloe,aloe,target,upside_down,color,null,tmj4b573x8p5jny,survey-text-autocomplete,110,308022,0.0-11.0-6.20-4.20,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 551,https://exponline.ugr.es/publix/939/997/start?srid=18408,66c3262103f0333ce7b58f8c,26,22,United Kingdom,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""plant""}",plant,0.2951582564947093,0.0
21,,,,22,0,recognition,axe,axe,target,regular,color,null,tmj4b573x8p5jny,survey-text-autocomplete,117,312939,0.0-11.0-6.21-4.21,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 551,https://exponline.ugr.es/publix/939/997/start?srid=18408,66c3262103f0333ce7b58f8c,26,22,United Kingdom,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""axe""}",axe,0.0,1.0
