index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,2359,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,1,0,dot,snail,snail_mooney_dot_off2,catch,regular,pre,off,tur468bxe1kp0p3,html-keyboard-response,14,496912,0.0-11.0-5.0-1.0,Firefox,115.0,macOS,10.13,undefined,undefined,1366 x 768,1343 x 599,https://exponline.ugr.es/publix/939/997/start?srid=18414,5c17c149f596b100011ca8b8,23,37,United Kingdom,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
1,3115,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,2,0,dot,gargoyle,gargoyle_mooney_dot_off4,target,upside_down,pre,off,tur468bxe1kp0p3,html-keyboard-response,18,501038,0.0-11.0-5.1-1.1,Firefox,115.0,macOS,10.13,undefined,undefined,1366 x 768,1343 x 599,https://exponline.ugr.es/publix/939/997/start?srid=18414,5c17c149f596b100011ca8b8,23,37,United Kingdom,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
2,4489,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/polar_bear_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,3,0,dot,polar_bear,polar_bear_mooney_dot_off4,target,regular,pre,off,tur468bxe1kp0p3,html-keyboard-response,22,506538,0.0-11.0-5.2-1.2,Firefox,115.0,macOS,10.13,undefined,undefined,1366 x 768,1343 x 599,https://exponline.ugr.es/publix/939/997/start?srid=18414,5c17c149f596b100011ca8b8,23,37,United Kingdom,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
3,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,4,0,dot,pomegranate,pomegranate_mooney_dot_on1,target,horizontal_flip,pre,on,tur468bxe1kp0p3,html-keyboard-response,26,512554,0.0-11.0-5.3-1.3,Firefox,115.0,macOS,10.13,undefined,undefined,1366 x 768,1343 x 599,https://exponline.ugr.es/publix/939/997/start?srid=18414,5c17c149f596b100011ca8b8,23,37,United Kingdom,Female,Right-handed,Exp,dot_recog,,0,0,,,,
4,2435,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,5,0,dot,snail,snail_mooney_dot_off4,catch,regular,pre,off,tur468bxe1kp0p3,html-keyboard-response,30,515999,0.0-11.0-5.4-1.4,Firefox,115.0,macOS,10.13,undefined,undefined,1366 x 768,1343 x 599,https://exponline.ugr.es/publix/939/997/start?srid=18414,5c17c149f596b100011ca8b8,23,37,United Kingdom,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
5,2686,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/polar_bear_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,6,0,dot,polar_bear,polar_bear_mooney_dot_on1,target,regular,pre,on,tur468bxe1kp0p3,html-keyboard-response,34,519695,0.0-11.0-5.5-1.5,Firefox,115.0,macOS,10.13,undefined,undefined,1366 x 768,1343 x 599,https://exponline.ugr.es/publix/939/997/start?srid=18414,5c17c149f596b100011ca8b8,23,37,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
6,1233,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,7,0,dot,gargoyle,gargoyle_mooney_dot_on3,target,upside_down,pre,on,tur468bxe1kp0p3,html-keyboard-response,38,521937,0.0-11.0-5.6-1.6,Firefox,115.0,macOS,10.13,undefined,undefined,1366 x 768,1343 x 599,https://exponline.ugr.es/publix/939/997/start?srid=18414,5c17c149f596b100011ca8b8,23,37,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
7,2266,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/polar_bear_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,8,0,dot,polar_bear,polar_bear_mooney_dot_on3,target,regular,pre,on,tur468bxe1kp0p3,html-keyboard-response,42,525213,0.0-11.0-5.7-1.7,Firefox,115.0,macOS,10.13,undefined,undefined,1366 x 768,1343 x 599,https://exponline.ugr.es/publix/939/997/start?srid=18414,5c17c149f596b100011ca8b8,23,37,United Kingdom,Female,Right-handed,Exp,dot_recog,e,0,0,,,,
8,2638,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,9,0,dot,pomegranate,pomegranate_mooney_dot_off2,target,horizontal_flip,pre,off,tur468bxe1kp0p3,html-keyboard-response,46,528860,0.0-11.0-5.8-1.8,Firefox,115.0,macOS,10.13,undefined,undefined,1366 x 768,1343 x 599,https://exponline.ugr.es/publix/939/997/start?srid=18414,5c17c149f596b100011ca8b8,23,37,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
9,1870,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/polar_bear_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,10,0,dot,polar_bear,polar_bear_mooney_dot_off2,target,regular,pre,off,tur468bxe1kp0p3,html-keyboard-response,50,531739,0.0-11.0-5.9-1.9,Firefox,115.0,macOS,10.13,undefined,undefined,1366 x 768,1343 x 599,https://exponline.ugr.es/publix/939/997/start?srid=18414,5c17c149f596b100011ca8b8,23,37,United Kingdom,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
10,1959,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,11,0,dot,pomegranate,pomegranate_mooney_dot_on3,target,horizontal_flip,pre,on,tur468bxe1kp0p3,html-keyboard-response,54,534709,0.0-11.0-5.10-1.10,Firefox,115.0,macOS,10.13,undefined,undefined,1366 x 768,1343 x 599,https://exponline.ugr.es/publix/939/997/start?srid=18414,5c17c149f596b100011ca8b8,23,37,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
11,1055,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,12,0,dot,gargoyle,gargoyle_mooney_dot_off2,target,upside_down,pre,off,tur468bxe1kp0p3,html-keyboard-response,58,536775,0.0-11.0-5.11-1.11,Firefox,115.0,macOS,10.13,undefined,undefined,1366 x 768,1343 x 599,https://exponline.ugr.es/publix/939/997/start?srid=18414,5c17c149f596b100011ca8b8,23,37,United Kingdom,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
12,2966,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,13,0,dot,snail,snail_mooney_dot_on1,catch,regular,pre,on,tur468bxe1kp0p3,html-keyboard-response,62,540751,0.0-11.0-5.12-1.12,Firefox,115.0,macOS,10.13,undefined,undefined,1366 x 768,1343 x 599,https://exponline.ugr.es/publix/939/997/start?srid=18414,5c17c149f596b100011ca8b8,23,37,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
13,2828,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,14,0,dot,gargoyle,gargoyle_mooney_dot_on1,target,upside_down,pre,on,tur468bxe1kp0p3,html-keyboard-response,66,544587,0.0-11.0-5.13-1.13,Firefox,115.0,macOS,10.13,undefined,undefined,1366 x 768,1343 x 599,https://exponline.ugr.es/publix/939/997/start?srid=18414,5c17c149f596b100011ca8b8,23,37,United Kingdom,Female,Right-handed,Exp,dot_recog,e,0,0,,,,
14,2245,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,15,0,dot,snail,snail_mooney_dot_on3,catch,regular,pre,on,tur468bxe1kp0p3,html-keyboard-response,70,547844,0.0-11.0-5.14-1.14,Firefox,115.0,macOS,10.13,undefined,undefined,1366 x 768,1343 x 599,https://exponline.ugr.es/publix/939/997/start?srid=18414,5c17c149f596b100011ca8b8,23,37,United Kingdom,Female,Right-handed,Exp,dot_recog,e,0,0,,,,
15,1149,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,16,0,dot,pomegranate,pomegranate_mooney_dot_off4,target,horizontal_flip,pre,off,tur468bxe1kp0p3,html-keyboard-response,74,550003,0.0-11.0-5.15-1.15,Firefox,115.0,macOS,10.13,undefined,undefined,1366 x 768,1343 x 599,https://exponline.ugr.es/publix/939/997/start?srid=18414,5c17c149f596b100011ca8b8,23,37,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
16,,,,17,0,recognition,snail,snail_mooney,catch,regular,pre,null,tur468bxe1kp0p3,survey-text-autocomplete,82,570441,0.0-11.0-6.16-4.16,Firefox,115.0,macOS,10.13,undefined,undefined,1366 x 768,1343 x 599,https://exponline.ugr.es/publix/939/997/start?srid=18414,5c17c149f596b100011ca8b8,23,37,United Kingdom,Female,Right-handed,Exp,Recognition,,,,"{""recognition"":""bird""}",bird,0.4622552012906229,0.0
