index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,1,0,dot,dumbbell,dumbbell_mooney_dot_on1,target,regular,pre,on,ubnb432zacjn9pf,html-keyboard-response,14,271218,0.0-11.0-5.0-1.0,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/997/start?srid=18421,6676e7538c7c4c68e18aa31a,0,30,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,0,,,,
1,2445.699999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,2,0,dot,axe,axe_mooney_dot_on3,catch,regular,pre,on,ubnb432zacjn9pf,html-keyboard-response,18,274669,0.0-11.0-5.1-1.1,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/997/start?srid=18421,6676e7538c7c4c68e18aa31a,0,30,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
2,2120.300000011921,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,3,0,dot,bullet,bullet_mooney_dot_on1,target,horizontal_flip,pre,on,ubnb432zacjn9pf,html-keyboard-response,22,277805,0.0-11.0-5.2-1.2,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/997/start?srid=18421,6676e7538c7c4c68e18aa31a,0,30,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
3,2356.400000035763,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/rattlesnake_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,rattlesnake,rattlesnake_mooney_dot_off2,target,upside_down,pre,off,ubnb432zacjn9pf,html-keyboard-response,26,281172,0.0-11.0-5.3-1.3,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/997/start?srid=18421,6676e7538c7c4c68e18aa31a,0,30,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
4,2137.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,5,0,dot,dumbbell,dumbbell_mooney_dot_off4,target,regular,pre,off,ubnb432zacjn9pf,html-keyboard-response,30,284320,0.0-11.0-5.4-1.4,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/997/start?srid=18421,6676e7538c7c4c68e18aa31a,0,30,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
5,1343,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/rattlesnake_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,6,0,dot,rattlesnake,rattlesnake_mooney_dot_on3,target,upside_down,pre,on,ubnb432zacjn9pf,html-keyboard-response,34,286673,0.0-11.0-5.5-1.5,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/997/start?srid=18421,6676e7538c7c4c68e18aa31a,0,30,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
6,1702.7999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,7,0,dot,axe,axe_mooney_dot_on1,catch,regular,pre,on,ubnb432zacjn9pf,html-keyboard-response,38,289390,0.0-11.0-5.6-1.6,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/997/start?srid=18421,6676e7538c7c4c68e18aa31a,0,30,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
7,1557.1000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,bullet,bullet_mooney_dot_off4,target,horizontal_flip,pre,off,ubnb432zacjn9pf,html-keyboard-response,42,291966,0.0-11.0-5.7-1.7,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/997/start?srid=18421,6676e7538c7c4c68e18aa31a,0,30,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
8,3238.300000011921,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/rattlesnake_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,9,0,dot,rattlesnake,rattlesnake_mooney_dot_on1,target,upside_down,pre,on,ubnb432zacjn9pf,html-keyboard-response,46,296209,0.0-11.0-5.8-1.8,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/997/start?srid=18421,6676e7538c7c4c68e18aa31a,0,30,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
9,1315.800000011921,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,10,0,dot,dumbbell,dumbbell_mooney_dot_on3,target,regular,pre,on,ubnb432zacjn9pf,html-keyboard-response,50,298541,0.0-11.0-5.9-1.9,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/997/start?srid=18421,6676e7538c7c4c68e18aa31a,0,30,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
10,2033.7999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,11,0,dot,axe,axe_mooney_dot_off4,catch,regular,pre,off,ubnb432zacjn9pf,html-keyboard-response,54,301582,0.0-11.0-5.10-1.10,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/997/start?srid=18421,6676e7538c7c4c68e18aa31a,0,30,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
11,1854.6000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,12,0,dot,bullet,bullet_mooney_dot_off2,target,horizontal_flip,pre,off,ubnb432zacjn9pf,html-keyboard-response,58,304445,0.0-11.0-5.11-1.11,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/997/start?srid=18421,6676e7538c7c4c68e18aa31a,0,30,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
12,1938.3999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,13,0,dot,axe,axe_mooney_dot_off2,catch,regular,pre,off,ubnb432zacjn9pf,html-keyboard-response,62,307399,0.0-11.0-5.12-1.12,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/997/start?srid=18421,6676e7538c7c4c68e18aa31a,0,30,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
13,1866.8999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/rattlesnake_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,14,0,dot,rattlesnake,rattlesnake_mooney_dot_off4,target,upside_down,pre,off,ubnb432zacjn9pf,html-keyboard-response,66,310275,0.0-11.0-5.13-1.13,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/997/start?srid=18421,6676e7538c7c4c68e18aa31a,0,30,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
14,1627.199999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,15,0,dot,dumbbell,dumbbell_mooney_dot_off2,target,regular,pre,off,ubnb432zacjn9pf,html-keyboard-response,70,312917,0.0-11.0-5.14-1.14,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/997/start?srid=18421,6676e7538c7c4c68e18aa31a,0,30,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
15,1780.2999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,16,0,dot,bullet,bullet_mooney_dot_on3,target,horizontal_flip,pre,on,ubnb432zacjn9pf,html-keyboard-response,74,315709,0.0-11.0-5.15-1.15,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/997/start?srid=18421,6676e7538c7c4c68e18aa31a,0,30,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
16,,,,17,0,recognition,dumbbell,dumbbell_mooney,target,regular,pre,null,ubnb432zacjn9pf,survey-text-autocomplete,82,332622,0.0-11.0-6.16-4.16,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/997/start?srid=18421,6676e7538c7c4c68e18aa31a,0,30,United Kingdom,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""rock""}",rock,0.6575655352052647,0.0
17,,,,18,0,recognition,rattlesnake,rattlesnake_mooney,target,upside_down,pre,null,ubnb432zacjn9pf,survey-text-autocomplete,89,343152,0.0-11.0-6.17-4.17,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/997/start?srid=18421,6676e7538c7c4c68e18aa31a,0,30,United Kingdom,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""whale""}",whale,0.5374081699987703,0.0
