index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,1386.1000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,1,0,dot,axe,axe_mooney_dot_on3,target,regular,pre,on,uvlouygrhxg3ue4,html-keyboard-response,14,178404,0.0-11.0-5.0-1.0,Chrome,135.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1279,https://exponline.ugr.es/publix/939/997/start?srid=18431,62b0702670857c45c05cdc4f,26,36,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
1,863.3999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,surfboard,surfboard_mooney_dot_on3,target,horizontal_flip,pre,on,uvlouygrhxg3ue4,html-keyboard-response,18,180275,0.0-11.0-5.1-1.1,Chrome,135.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1279,https://exponline.ugr.es/publix/939/997/start?srid=18431,62b0702670857c45c05cdc4f,26,36,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
2,534,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,3,0,dot,banana_peel,banana_peel_mooney_dot_off2,catch,regular,pre,off,uvlouygrhxg3ue4,html-keyboard-response,22,181828,0.0-11.0-5.2-1.2,Chrome,135.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1279,https://exponline.ugr.es/publix/939/997/start?srid=18431,62b0702670857c45c05cdc4f,26,36,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
3,644.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,4,0,dot,surfboard,surfboard_mooney_dot_off4,target,horizontal_flip,pre,off,uvlouygrhxg3ue4,html-keyboard-response,26,183493,0.0-11.0-5.3-1.3,Chrome,135.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1279,https://exponline.ugr.es/publix/939/997/start?srid=18431,62b0702670857c45c05cdc4f,26,36,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
4,575.8999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,5,0,dot,axe,axe_mooney_dot_off4,target,regular,pre,off,uvlouygrhxg3ue4,html-keyboard-response,30,185084,0.0-11.0-5.4-1.4,Chrome,135.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1279,https://exponline.ugr.es/publix/939/997/start?srid=18431,62b0702670857c45c05cdc4f,26,36,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
5,654.1000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,6,0,dot,aloe,aloe_mooney_dot_off2,target,upside_down,pre,off,uvlouygrhxg3ue4,html-keyboard-response,34,186748,0.0-11.0-5.5-1.5,Chrome,135.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1279,https://exponline.ugr.es/publix/939/997/start?srid=18431,62b0702670857c45c05cdc4f,26,36,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
6,528.2999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,7,0,dot,banana_peel,banana_peel_mooney_dot_off4,catch,regular,pre,off,uvlouygrhxg3ue4,html-keyboard-response,38,188285,0.0-11.0-5.6-1.6,Chrome,135.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1279,https://exponline.ugr.es/publix/939/997/start?srid=18431,62b0702670857c45c05cdc4f,26,36,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
7,1705.6000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,axe,axe_mooney_dot_on1,target,regular,pre,on,uvlouygrhxg3ue4,html-keyboard-response,42,190996,0.0-11.0-5.7-1.7,Chrome,135.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1279,https://exponline.ugr.es/publix/939/997/start?srid=18431,62b0702670857c45c05cdc4f,26,36,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
8,1594.4000000953674,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,9,0,dot,aloe,aloe_mooney_dot_off4,target,upside_down,pre,off,uvlouygrhxg3ue4,html-keyboard-response,46,193596,0.0-11.0-5.8-1.8,Chrome,135.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1279,https://exponline.ugr.es/publix/939/997/start?srid=18431,62b0702670857c45c05cdc4f,26,36,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
9,462.7000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,10,0,dot,banana_peel,banana_peel_mooney_dot_on1,catch,regular,pre,on,uvlouygrhxg3ue4,html-keyboard-response,50,195068,0.0-11.0-5.9-1.9,Chrome,135.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1279,https://exponline.ugr.es/publix/939/997/start?srid=18431,62b0702670857c45c05cdc4f,26,36,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
10,308.2999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,11,0,dot,aloe,aloe_mooney_dot_on3,target,upside_down,pre,on,uvlouygrhxg3ue4,html-keyboard-response,54,196395,0.0-11.0-5.10-1.10,Chrome,135.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1279,https://exponline.ugr.es/publix/939/997/start?srid=18431,62b0702670857c45c05cdc4f,26,36,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
