index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,2289.600000000559,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,1,0,dot,surfboard,surfboard_mooney_dot_off2,target,upside_down,pre,off,vvvr079u9k3dq34,html-keyboard-response,14,284397,0.0-11.0-5.0-1.0,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 585,https://exponline.ugr.es/publix/939/997/start?srid=18442,67272f4b21fdb66b81a42d75,6,34,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
1,1260.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,2,0,dot,bat2,bat2_mooney_dot_off2,catch,regular,pre,off,vvvr079u9k3dq34,html-keyboard-response,18,286670,0.0-11.0-5.1-1.1,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 585,https://exponline.ugr.es/publix/939/997/start?srid=18442,67272f4b21fdb66b81a42d75,6,34,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
2,574.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,3,0,dot,missile,missile_mooney_dot_off4,target,regular,pre,off,vvvr079u9k3dq34,html-keyboard-response,22,288264,0.0-11.0-5.2-1.2,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 585,https://exponline.ugr.es/publix/939/997/start?srid=18442,67272f4b21fdb66b81a42d75,6,34,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
3,655.7000000001863,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,4,0,dot,surfboard,surfboard_mooney_dot_off4,target,upside_down,pre,off,vvvr079u9k3dq34,html-keyboard-response,26,289937,0.0-11.0-5.3-1.3,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 585,https://exponline.ugr.es/publix/939/997/start?srid=18442,67272f4b21fdb66b81a42d75,6,34,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
4,603.5999999996275,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,5,0,dot,bat2,bat2_mooney_dot_off4,catch,regular,pre,off,vvvr079u9k3dq34,html-keyboard-response,30,291545,0.0-11.0-5.4-1.4,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 585,https://exponline.ugr.es/publix/939/997/start?srid=18442,67272f4b21fdb66b81a42d75,6,34,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
5,814.5999999996275,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,6,0,dot,carriage,carriage_mooney_dot_off4,target,horizontal_flip,pre,off,vvvr079u9k3dq34,html-keyboard-response,34,293365,0.0-11.0-5.5-1.5,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 585,https://exponline.ugr.es/publix/939/997/start?srid=18442,67272f4b21fdb66b81a42d75,6,34,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
6,588.3999999994412,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,7,0,dot,missile,missile_mooney_dot_off2,target,regular,pre,off,vvvr079u9k3dq34,html-keyboard-response,38,294964,0.0-11.0-5.6-1.6,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 585,https://exponline.ugr.es/publix/939/997/start?srid=18442,67272f4b21fdb66b81a42d75,6,34,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
7,783,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,8,0,dot,carriage,carriage_mooney_dot_on1,target,horizontal_flip,pre,on,vvvr079u9k3dq34,html-keyboard-response,42,296753,0.0-11.0-5.7-1.7,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 585,https://exponline.ugr.es/publix/939/997/start?srid=18442,67272f4b21fdb66b81a42d75,6,34,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
8,748.3000000007451,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,9,0,dot,bat2,bat2_mooney_dot_on3,catch,regular,pre,on,vvvr079u9k3dq34,html-keyboard-response,46,298508,0.0-11.0-5.8-1.8,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 585,https://exponline.ugr.es/publix/939/997/start?srid=18442,67272f4b21fdb66b81a42d75,6,34,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,0,,,,
9,932.3999999994412,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,10,0,dot,surfboard,surfboard_mooney_dot_on1,target,upside_down,pre,on,vvvr079u9k3dq34,html-keyboard-response,50,300445,0.0-11.0-5.9-1.9,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 585,https://exponline.ugr.es/publix/939/997/start?srid=18442,67272f4b21fdb66b81a42d75,6,34,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
