index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,2076.300000000745,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,1,0,dot,carriage,carriage_mooney_dot_off4,catch,regular,pre,off,xzstgexdgxsla88,html-keyboard-response,14,1540686,0.0-11.0-5.0-1.0,Chrome,135.0,macOS,10.15.7,undefined,undefined,1440 x 900,721 x 718,https://exponline.ugr.es/publix/939/997/start?srid=18398,5e28e735ea776009d4d15c34,14,39,United Kingdom,Male,Left-handed,Exp,dot_recog,i,1,0,,,,
1,2107,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,pomegranate,pomegranate_mooney_dot_off2,target,regular,pre,off,xzstgexdgxsla88,html-keyboard-response,18,1543799,0.0-11.0-5.1-1.1,Chrome,135.0,macOS,10.15.7,undefined,undefined,1440 x 900,721 x 718,https://exponline.ugr.es/publix/939/997/start?srid=18398,5e28e735ea776009d4d15c34,14,39,United Kingdom,Male,Left-handed,Exp,dot_recog,i,1,0,,,,
2,2446.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,3,0,dot,grasshopper,grasshopper_mooney_dot_on1,target,horizontal_flip,pre,on,xzstgexdgxsla88,html-keyboard-response,22,1547252,0.0-11.0-5.2-1.2,Chrome,135.0,macOS,10.15.7,undefined,undefined,1440 x 900,721 x 718,https://exponline.ugr.es/publix/939/997/start?srid=18398,5e28e735ea776009d4d15c34,14,39,United Kingdom,Male,Left-handed,Exp,dot_recog,e,0,0,,,,
3,2384.199999999255,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,4,0,dot,pomegranate,pomegranate_mooney_dot_on1,target,regular,pre,on,xzstgexdgxsla88,html-keyboard-response,26,1550642,0.0-11.0-5.3-1.3,Chrome,135.0,macOS,10.15.7,undefined,undefined,1440 x 900,721 x 718,https://exponline.ugr.es/publix/939/997/start?srid=18398,5e28e735ea776009d4d15c34,14,39,United Kingdom,Male,Left-handed,Exp,dot_recog,e,0,0,,,,
4,1937.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,5,0,dot,grasshopper,grasshopper_mooney_dot_off4,target,horizontal_flip,pre,off,xzstgexdgxsla88,html-keyboard-response,30,1553586,0.0-11.0-5.4-1.4,Chrome,135.0,macOS,10.15.7,undefined,undefined,1440 x 900,721 x 718,https://exponline.ugr.es/publix/939/997/start?srid=18398,5e28e735ea776009d4d15c34,14,39,United Kingdom,Male,Left-handed,Exp,dot_recog,e,0,1,,,,
5,2255.199999999255,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,6,0,dot,snail,snail_mooney_dot_on1,target,upside_down,pre,on,xzstgexdgxsla88,html-keyboard-response,34,1556848,0.0-11.0-5.5-1.5,Chrome,135.0,macOS,10.15.7,undefined,undefined,1440 x 900,721 x 718,https://exponline.ugr.es/publix/939/997/start?srid=18398,5e28e735ea776009d4d15c34,14,39,United Kingdom,Male,Left-handed,Exp,dot_recog,i,1,1,,,,
6,3147.099999997765,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,7,0,dot,grasshopper,grasshopper_mooney_dot_off2,target,horizontal_flip,pre,off,xzstgexdgxsla88,html-keyboard-response,38,1561002,0.0-11.0-5.6-1.6,Chrome,135.0,macOS,10.15.7,undefined,undefined,1440 x 900,721 x 718,https://exponline.ugr.es/publix/939/997/start?srid=18398,5e28e735ea776009d4d15c34,14,39,United Kingdom,Male,Left-handed,Exp,dot_recog,e,0,1,,,,
7,1273.3999999985099,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,8,0,dot,carriage,carriage_mooney_dot_off2,catch,regular,pre,off,xzstgexdgxsla88,html-keyboard-response,42,1563282,0.0-11.0-5.7-1.7,Chrome,135.0,macOS,10.15.7,undefined,undefined,1440 x 900,721 x 718,https://exponline.ugr.es/publix/939/997/start?srid=18398,5e28e735ea776009d4d15c34,14,39,United Kingdom,Male,Left-handed,Exp,dot_recog,e,0,1,,,,
8,2635.300000000745,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,9,0,dot,snail,snail_mooney_dot_off2,target,upside_down,pre,off,xzstgexdgxsla88,html-keyboard-response,46,1566925,0.0-11.0-5.8-1.8,Chrome,135.0,macOS,10.15.7,undefined,undefined,1440 x 900,721 x 718,https://exponline.ugr.es/publix/939/997/start?srid=18398,5e28e735ea776009d4d15c34,14,39,United Kingdom,Male,Left-handed,Exp,dot_recog,e,0,1,,,,
9,2222.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,10,0,dot,carriage,carriage_mooney_dot_on3,catch,regular,pre,on,xzstgexdgxsla88,html-keyboard-response,50,1570156,0.0-11.0-5.9-1.9,Chrome,135.0,macOS,10.15.7,undefined,undefined,1440 x 900,721 x 718,https://exponline.ugr.es/publix/939/997/start?srid=18398,5e28e735ea776009d4d15c34,14,39,United Kingdom,Male,Left-handed,Exp,dot_recog,e,0,0,,,,
