index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,scale_factor,win_width_deg,win_height_deg,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,verbal_id,semantic_distance,verbal_acc_corrected
14,,,,,,html-keyboard-response,14,259869,0.0-11.0-5.0-1.0,Chrome,135.0,macOS,10.15.7,undefined,undefined,1920 x 1080,1778 x 873,y27k8tfxaogk75r,https://exponline.ugr.es/publix/939/997/start?srid=18434,6659a14795caa73284e7dff4,20,34,United Kingdom,Male,Left-handed,,1845.699999988079,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,1,0,dot,drill,drill_mooney_dot_on1,target,regular,pre,on,Exp,dot_recog,i,1,1,,,
18,,,,,,html-keyboard-response,18,261757,0.0-11.0-5.1-1.1,Chrome,135.0,macOS,10.15.7,undefined,undefined,1920 x 1080,1778 x 873,y27k8tfxaogk75r,https://exponline.ugr.es/publix/939/997/start?srid=18434,6659a14795caa73284e7dff4,20,34,United Kingdom,Male,Left-handed,,883.1000000238419,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,candelabra,candelabra_mooney_dot_on1,target,horizontal_flip,pre,on,Exp,dot_recog,i,1,1,,,
22,,,,,,html-keyboard-response,22,263893,0.0-11.0-5.2-1.2,Chrome,135.0,macOS,10.15.7,undefined,undefined,1920 x 1080,1778 x 873,y27k8tfxaogk75r,https://exponline.ugr.es/publix/939/997/start?srid=18434,6659a14795caa73284e7dff4,20,34,United Kingdom,Male,Left-handed,,1131.199999988079,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,3,0,dot,scarf,scarf_mooney_dot_on3,catch,regular,pre,on,Exp,dot_recog,e,0,0,,,
26,,,,,,html-keyboard-response,26,265853,0.0-11.0-5.3-1.3,Chrome,135.0,macOS,10.15.7,undefined,undefined,1920 x 1080,1778 x 873,y27k8tfxaogk75r,https://exponline.ugr.es/publix/939/997/start?srid=18434,6659a14795caa73284e7dff4,20,34,United Kingdom,Male,Left-handed,,955.1999999880791,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,4,0,dot,axe,axe_mooney_dot_on1,target,upside_down,pre,on,Exp,dot_recog,e,0,0,,,
30,,,,,,html-keyboard-response,30,267893,0.0-11.0-5.4-1.4,Chrome,135.0,macOS,10.15.7,undefined,undefined,1920 x 1080,1778 x 873,y27k8tfxaogk75r,https://exponline.ugr.es/publix/939/997/start?srid=18434,6659a14795caa73284e7dff4,20,34,United Kingdom,Male,Left-handed,,1035.4000000357628,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,5,0,dot,drill,drill_mooney_dot_off2,target,regular,pre,off,Exp,dot_recog,e,0,1,,,
34,,,,,,html-keyboard-response,34,269629,0.0-11.0-5.5-1.5,Chrome,135.0,macOS,10.15.7,undefined,undefined,1920 x 1080,1778 x 873,y27k8tfxaogk75r,https://exponline.ugr.es/publix/939/997/start?srid=18434,6659a14795caa73284e7dff4,20,34,United Kingdom,Male,Left-handed,,731.7000000476837,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,6,0,dot,candelabra,candelabra_mooney_dot_on3,target,horizontal_flip,pre,on,Exp,dot_recog,e,0,0,,,
38,,,,,,html-keyboard-response,38,271165,0.0-11.0-5.6-1.6,Chrome,135.0,macOS,10.15.7,undefined,undefined,1920 x 1080,1778 x 873,y27k8tfxaogk75r,https://exponline.ugr.es/publix/939/997/start?srid=18434,6659a14795caa73284e7dff4,20,34,United Kingdom,Male,Left-handed,,532,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,7,0,dot,axe,axe_mooney_dot_off2,target,upside_down,pre,off,Exp,dot_recog,e,0,1,,,
42,,,,,,html-keyboard-response,42,272757,0.0-11.0-5.7-1.7,Chrome,135.0,macOS,10.15.7,undefined,undefined,1920 x 1080,1778 x 873,y27k8tfxaogk75r,https://exponline.ugr.es/publix/939/997/start?srid=18434,6659a14795caa73284e7dff4,20,34,United Kingdom,Male,Left-handed,,587.4000000357628,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,8,0,dot,candelabra,candelabra_mooney_dot_off4,target,horizontal_flip,pre,off,Exp,dot_recog,e,0,1,,,
46,,,,,,html-keyboard-response,46,274229,0.0-11.0-5.8-1.8,Chrome,135.0,macOS,10.15.7,undefined,undefined,1920 x 1080,1778 x 873,y27k8tfxaogk75r,https://exponline.ugr.es/publix/939/997/start?srid=18434,6659a14795caa73284e7dff4,20,34,United Kingdom,Male,Left-handed,,467.80000001192093,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,9,0,dot,scarf,scarf_mooney_dot_off2,catch,regular,pre,off,Exp,dot_recog,e,0,1,,,
50,,,,,,html-keyboard-response,50,275693,0.0-11.0-5.9-1.9,Chrome,135.0,macOS,10.15.7,undefined,undefined,1920 x 1080,1778 x 873,y27k8tfxaogk75r,https://exponline.ugr.es/publix/939/997/start?srid=18434,6659a14795caa73284e7dff4,20,34,United Kingdom,Male,Left-handed,,459,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,10,0,dot,axe,axe_mooney_dot_on3,target,upside_down,pre,on,Exp,dot_recog,e,0,0,,,
54,,,,,,html-keyboard-response,54,277237,0.0-11.0-5.10-1.10,Chrome,135.0,macOS,10.15.7,undefined,undefined,1920 x 1080,1778 x 873,y27k8tfxaogk75r,https://exponline.ugr.es/publix/939/997/start?srid=18434,6659a14795caa73284e7dff4,20,34,United Kingdom,Male,Left-handed,,540,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,11,0,dot,drill,drill_mooney_dot_on3,target,regular,pre,on,Exp,dot_recog,e,0,0,,,
58,,,,,,html-keyboard-response,58,278725,0.0-11.0-5.11-1.11,Chrome,135.0,macOS,10.15.7,undefined,undefined,1920 x 1080,1778 x 873,y27k8tfxaogk75r,https://exponline.ugr.es/publix/939/997/start?srid=18434,6659a14795caa73284e7dff4,20,34,United Kingdom,Male,Left-handed,,483.60000002384186,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,12,0,dot,candelabra,candelabra_mooney_dot_off2,target,horizontal_flip,pre,off,Exp,dot_recog,e,0,1,,,
62,,,,,,html-keyboard-response,62,280413,0.0-11.0-5.12-1.12,Chrome,135.0,macOS,10.15.7,undefined,undefined,1920 x 1080,1778 x 873,y27k8tfxaogk75r,https://exponline.ugr.es/publix/939/997/start?srid=18434,6659a14795caa73284e7dff4,20,34,United Kingdom,Male,Left-handed,,683.3000000119209,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,13,0,dot,scarf,scarf_mooney_dot_off4,catch,regular,pre,off,Exp,dot_recog,e,0,1,,,
