index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,1947.9000000953674,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,1,0,dot,drill,drill_mooney_dot_on1,target,regular,pre,on,y9gw2lx59l75rbr,html-keyboard-response,14,254626,0.0-11.0-5.0-1.0,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,1292 x 679,https://exponline.ugr.es/publix/939/997/start?srid=18369,65d78f7e6f840c06394718d6,20,26,China,Female,Right-handed,Exp,dot_recog,i,0,0,,,,
1,811.6000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,2,0,dot,candelabra,candelabra_mooney_dot_on1,target,horizontal_flip,pre,on,y9gw2lx59l75rbr,html-keyboard-response,18,256444,0.0-11.0-5.1-1.1,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,1292 x 679,https://exponline.ugr.es/publix/939/997/start?srid=18369,65d78f7e6f840c06394718d6,20,26,China,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
2,583.7000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,3,0,dot,scarf,scarf_mooney_dot_on3,catch,regular,pre,on,y9gw2lx59l75rbr,html-keyboard-response,22,258034,0.0-11.0-5.2-1.2,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,1292 x 679,https://exponline.ugr.es/publix/939/997/start?srid=18369,65d78f7e6f840c06394718d6,20,26,China,Female,Right-handed,Exp,dot_recog,i,0,0,,,,
3,516.2000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,4,0,dot,axe,axe_mooney_dot_on1,target,upside_down,pre,on,y9gw2lx59l75rbr,html-keyboard-response,26,259556,0.0-11.0-5.3-1.3,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,1292 x 679,https://exponline.ugr.es/publix/939/997/start?srid=18369,65d78f7e6f840c06394718d6,20,26,China,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
4,545.2000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,5,0,dot,drill,drill_mooney_dot_off2,target,regular,pre,off,y9gw2lx59l75rbr,html-keyboard-response,30,261108,0.0-11.0-5.4-1.4,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,1292 x 679,https://exponline.ugr.es/publix/939/997/start?srid=18369,65d78f7e6f840c06394718d6,20,26,China,Female,Right-handed,Exp,dot_recog,e,1,0,,,,
5,465.2999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,6,0,dot,candelabra,candelabra_mooney_dot_on3,target,horizontal_flip,pre,on,y9gw2lx59l75rbr,html-keyboard-response,34,262580,0.0-11.0-5.5-1.5,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,1292 x 679,https://exponline.ugr.es/publix/939/997/start?srid=18369,65d78f7e6f840c06394718d6,20,26,China,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
6,596.7000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,7,0,dot,axe,axe_mooney_dot_off2,target,upside_down,pre,off,y9gw2lx59l75rbr,html-keyboard-response,38,264183,0.0-11.0-5.6-1.6,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,1292 x 679,https://exponline.ugr.es/publix/939/997/start?srid=18369,65d78f7e6f840c06394718d6,20,26,China,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
7,459.1999999284744,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,8,0,dot,candelabra,candelabra_mooney_dot_off4,target,horizontal_flip,pre,off,y9gw2lx59l75rbr,html-keyboard-response,42,265649,0.0-11.0-5.7-1.7,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,1292 x 679,https://exponline.ugr.es/publix/939/997/start?srid=18369,65d78f7e6f840c06394718d6,20,26,China,Female,Right-handed,Exp,dot_recog,e,1,0,,,,
8,514.1000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,9,0,dot,scarf,scarf_mooney_dot_off2,catch,regular,pre,off,y9gw2lx59l75rbr,html-keyboard-response,46,267170,0.0-11.0-5.8-1.8,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,1292 x 679,https://exponline.ugr.es/publix/939/997/start?srid=18369,65d78f7e6f840c06394718d6,20,26,China,Female,Right-handed,Exp,dot_recog,e,1,0,,,,
9,612.2000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,10,0,dot,axe,axe_mooney_dot_on3,target,upside_down,pre,on,y9gw2lx59l75rbr,html-keyboard-response,50,268788,0.0-11.0-5.9-1.9,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,1292 x 679,https://exponline.ugr.es/publix/939/997/start?srid=18369,65d78f7e6f840c06394718d6,20,26,China,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
