index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,1,0,dot,grasshopper,grasshopper_mooney_dot_on1,catch,regular,pre,on,ysbscjyxframcfv,html-keyboard-response,14,265588,0.0-11.0-5.0-1.0,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/997/start?srid=18364,67654d19b146b4fbd1285595,11,37,United Kingdom,Other,Right-handed,Exp,dot_recog,,0,0,,,,
1,3930.4000000953674,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,2,0,dot,egg_roll,egg_roll_mooney_dot_off4,target,regular,pre,off,ysbscjyxframcfv,html-keyboard-response,18,270537,0.0-11.0-5.1-1.1,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/997/start?srid=18364,67654d19b146b4fbd1285595,11,37,United Kingdom,Other,Right-handed,Exp,dot_recog,e,1,0,,,,
2,3928.4000000953674,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,3,0,dot,snail,snail_mooney_dot_off2,target,horizontal_flip,pre,off,ysbscjyxframcfv,html-keyboard-response,22,275472,0.0-11.0-5.2-1.2,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/997/start?srid=18364,67654d19b146b4fbd1285595,11,37,United Kingdom,Other,Right-handed,Exp,dot_recog,i,0,1,,,,
3,3613.300000190735,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,4,0,dot,egg_roll,egg_roll_mooney_dot_on1,target,regular,pre,on,ysbscjyxframcfv,html-keyboard-response,26,280096,0.0-11.0-5.3-1.3,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/997/start?srid=18364,67654d19b146b4fbd1285595,11,37,United Kingdom,Other,Right-handed,Exp,dot_recog,e,1,1,,,,
4,3884.9000000953674,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,5,0,dot,scarf,scarf_mooney_dot_off4,target,upside_down,pre,off,ysbscjyxframcfv,html-keyboard-response,30,284999,0.0-11.0-5.4-1.4,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/997/start?srid=18364,67654d19b146b4fbd1285595,11,37,United Kingdom,Other,Right-handed,Exp,dot_recog,e,1,0,,,,
5,2990.800000190735,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,6,0,dot,grasshopper,grasshopper_mooney_dot_off4,catch,regular,pre,off,ysbscjyxframcfv,html-keyboard-response,34,289004,0.0-11.0-5.5-1.5,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/997/start?srid=18364,67654d19b146b4fbd1285595,11,37,United Kingdom,Other,Right-handed,Exp,dot_recog,e,1,0,,,,
6,2529,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,7,0,dot,snail,snail_mooney_dot_off4,target,horizontal_flip,pre,off,ysbscjyxframcfv,html-keyboard-response,38,292552,0.0-11.0-5.6-1.6,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/997/start?srid=18364,67654d19b146b4fbd1285595,11,37,United Kingdom,Other,Right-handed,Exp,dot_recog,i,0,1,,,,
7,3535.699999809265,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,8,0,dot,egg_roll,egg_roll_mooney_dot_off2,target,regular,pre,off,ysbscjyxframcfv,html-keyboard-response,42,297102,0.0-11.0-5.7-1.7,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/997/start?srid=18364,67654d19b146b4fbd1285595,11,37,United Kingdom,Other,Right-handed,Exp,dot_recog,e,1,0,,,,
8,2717.2999997138977,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,9,0,dot,scarf,scarf_mooney_dot_on3,target,upside_down,pre,on,ysbscjyxframcfv,html-keyboard-response,46,300831,0.0-11.0-5.8-1.8,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/997/start?srid=18364,67654d19b146b4fbd1285595,11,37,United Kingdom,Other,Right-handed,Exp,dot_recog,e,1,1,,,,
9,3761.300000190735,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,10,0,dot,grasshopper,grasshopper_mooney_dot_off2,catch,regular,pre,off,ysbscjyxframcfv,html-keyboard-response,50,305602,0.0-11.0-5.9-1.9,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/997/start?srid=18364,67654d19b146b4fbd1285595,11,37,United Kingdom,Other,Right-handed,Exp,dot_recog,e,1,0,,,,
10,3871.0999999046326,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,11,0,dot,egg_roll,egg_roll_mooney_dot_on3,target,regular,pre,on,ysbscjyxframcfv,html-keyboard-response,54,310486,0.0-11.0-5.10-1.10,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/997/start?srid=18364,67654d19b146b4fbd1285595,11,37,United Kingdom,Other,Right-handed,Exp,dot_recog,e,1,1,,,,
11,2309.5999999046326,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,12,0,dot,scarf,scarf_mooney_dot_on1,target,upside_down,pre,on,ysbscjyxframcfv,html-keyboard-response,58,313815,0.0-11.0-5.11-1.11,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/997/start?srid=18364,67654d19b146b4fbd1285595,11,37,United Kingdom,Other,Right-handed,Exp,dot_recog,e,1,1,,,,
12,2391.0999999046326,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,13,0,dot,grasshopper,grasshopper_mooney_dot_on3,catch,regular,pre,on,ysbscjyxframcfv,html-keyboard-response,62,317226,0.0-11.0-5.12-1.12,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/997/start?srid=18364,67654d19b146b4fbd1285595,11,37,United Kingdom,Other,Right-handed,Exp,dot_recog,e,1,1,,,,
13,2244.8999996185303,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,14,0,dot,snail,snail_mooney_dot_on1,target,horizontal_flip,pre,on,ysbscjyxframcfv,html-keyboard-response,66,320476,0.0-11.0-5.13-1.13,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/997/start?srid=18364,67654d19b146b4fbd1285595,11,37,United Kingdom,Other,Right-handed,Exp,dot_recog,e,1,1,,,,
