index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,1548.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,1,0,dot,bat2,bat2_mooney_dot_off4,target,horizontal_flip,pre,off,00vr6u4amqsn3zo,html-keyboard-response,14,738753,0.0-11.0-5.0-1.0,Chrome,133.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,https://exponline.ugr.es/publix/939/1007/start?srid=18818,5f332723103f641276efc2f7,26,25,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,1,,,,,
1,1439.7999999970198,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,snail,snail_mooney_dot_on3,target,regular,pre,on,00vr6u4amqsn3zo,html-keyboard-response,18,741214,0.0-11.0-5.1-1.1,Chrome,133.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,https://exponline.ugr.es/publix/939/1007/start?srid=18818,5f332723103f641276efc2f7,26,25,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
2,1580.4000000059605,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,3,0,dot,bat2,bat2_mooney_dot_off2,target,horizontal_flip,pre,off,00vr6u4amqsn3zo,html-keyboard-response,22,743809,0.0-11.0-5.2-1.2,Chrome,133.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,https://exponline.ugr.es/publix/939/1007/start?srid=18818,5f332723103f641276efc2f7,26,25,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,1,,,,,
3,780.1000000014901,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,4,0,dot,snail,snail_mooney_dot_off4,target,regular,pre,off,00vr6u4amqsn3zo,html-keyboard-response,26,745608,0.0-11.0-5.3-1.3,Chrome,133.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,https://exponline.ugr.es/publix/939/1007/start?srid=18818,5f332723103f641276efc2f7,26,25,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
4,975.2999999970198,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,5,0,dot,gargoyle,gargoyle_mooney_dot_on3,target,upside_down,pre,on,00vr6u4amqsn3zo,html-keyboard-response,30,747596,0.0-11.0-5.4-1.4,Chrome,133.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,https://exponline.ugr.es/publix/939/1007/start?srid=18818,5f332723103f641276efc2f7,26,25,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
5,636.3000000044703,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,6,0,dot,bat2,bat2_mooney_dot_on3,target,horizontal_flip,pre,on,00vr6u4amqsn3zo,html-keyboard-response,34,749248,0.0-11.0-5.5-1.5,Chrome,133.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,https://exponline.ugr.es/publix/939/1007/start?srid=18818,5f332723103f641276efc2f7,26,25,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,0,,,,,
6,1114.0999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,7,0,dot,snail,snail_mooney_dot_on1,target,regular,pre,on,00vr6u4amqsn3zo,html-keyboard-response,38,751381,0.0-11.0-5.6-1.6,Chrome,133.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,https://exponline.ugr.es/publix/939/1007/start?srid=18818,5f332723103f641276efc2f7,26,25,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,0,,,,,
7,876,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,8,0,dot,gargoyle,gargoyle_mooney_dot_on1,target,upside_down,pre,on,00vr6u4amqsn3zo,html-keyboard-response,42,753280,0.0-11.0-5.7-1.7,Chrome,133.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,https://exponline.ugr.es/publix/939/1007/start?srid=18818,5f332723103f641276efc2f7,26,25,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
8,1569.7000000029802,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,9,0,dot,bat2,bat2_mooney_dot_on1,target,horizontal_flip,pre,on,00vr6u4amqsn3zo,html-keyboard-response,46,755879,0.0-11.0-5.8-1.8,Chrome,133.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,https://exponline.ugr.es/publix/939/1007/start?srid=18818,5f332723103f641276efc2f7,26,25,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,0,,,,,
9,1299.9000000059605,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,10,0,dot,gargoyle,gargoyle_mooney_dot_off4,target,upside_down,pre,off,00vr6u4amqsn3zo,html-keyboard-response,50,758206,0.0-11.0-5.9-1.9,Chrome,133.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,https://exponline.ugr.es/publix/939/1007/start?srid=18818,5f332723103f641276efc2f7,26,25,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,1,,,,,
