index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,2472.2999999988824,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/lip_gloss_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,1,0,dot,lip_gloss,lip_gloss_mooney_dot_off4,target,upside_down,pre,off,2afdkgoy6vywa7p,html-keyboard-response,14,565140,0.0-11.0-5.0-1.0,Chrome,131.0,Windows,10,undefined,undefined,1024 x 640,1536 x 738,https://exponline.ugr.es/publix/939/1007/start?srid=18879,67894cf302d2c30bde3af46b,18,34,United States,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
1,859.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/shears_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,shears,shears_mooney_dot_on3,target,regular,pre,on,2afdkgoy6vywa7p,html-keyboard-response,18,567011,0.0-11.0-5.1-1.1,Chrome,131.0,Windows,10,undefined,undefined,1024 x 640,1536 x 738,https://exponline.ugr.es/publix/939/1007/start?srid=18879,67894cf302d2c30bde3af46b,18,34,United States,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
2,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,3,0,dot,bat2,bat2_mooney_dot_off4,target,horizontal_flip,pre,off,2afdkgoy6vywa7p,html-keyboard-response,22,573019,0.0-11.0-5.2-1.2,Chrome,131.0,Windows,10,undefined,undefined,1024 x 640,1536 x 738,https://exponline.ugr.es/publix/939/1007/start?srid=18879,67894cf302d2c30bde3af46b,18,34,United States,Male,Right-handed,Exp,dot_recog,,0,1,,,,,
3,911.7999999988824,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/lip_gloss_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,lip_gloss,lip_gloss_mooney_dot_on1,target,upside_down,pre,on,2afdkgoy6vywa7p,html-keyboard-response,26,574947,0.0-11.0-5.3-1.3,Chrome,131.0,Windows,10,undefined,undefined,1024 x 640,1536 x 738,https://exponline.ugr.es/publix/939/1007/start?srid=18879,67894cf302d2c30bde3af46b,18,34,United States,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
4,1594.0999999996275,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,5,0,dot,bat2,bat2_mooney_dot_off2,target,horizontal_flip,pre,off,2afdkgoy6vywa7p,html-keyboard-response,30,577546,0.0-11.0-5.4-1.4,Chrome,131.0,Windows,10,undefined,undefined,1024 x 640,1536 x 738,https://exponline.ugr.es/publix/939/1007/start?srid=18879,67894cf302d2c30bde3af46b,18,34,United States,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
5,1132.4000000003725,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/lip_gloss_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,6,0,dot,lip_gloss,lip_gloss_mooney_dot_on3,target,upside_down,pre,on,2afdkgoy6vywa7p,html-keyboard-response,34,579683,0.0-11.0-5.5-1.5,Chrome,131.0,Windows,10,undefined,undefined,1024 x 640,1536 x 738,https://exponline.ugr.es/publix/939/1007/start?srid=18879,67894cf302d2c30bde3af46b,18,34,United States,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
6,1131.1000000014901,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/shears_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,7,0,dot,shears,shears_mooney_dot_off4,target,regular,pre,off,2afdkgoy6vywa7p,html-keyboard-response,38,581831,0.0-11.0-5.6-1.6,Chrome,131.0,Windows,10,undefined,undefined,1024 x 640,1536 x 738,https://exponline.ugr.es/publix/939/1007/start?srid=18879,67894cf302d2c30bde3af46b,18,34,United States,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
7,1340.9000000003725,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,bat2,bat2_mooney_dot_on3,target,horizontal_flip,pre,on,2afdkgoy6vywa7p,html-keyboard-response,42,584176,0.0-11.0-5.7-1.7,Chrome,131.0,Windows,10,undefined,undefined,1024 x 640,1536 x 738,https://exponline.ugr.es/publix/939/1007/start?srid=18879,67894cf302d2c30bde3af46b,18,34,United States,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
8,2025.9000000003725,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/shears_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,9,0,dot,shears,shears_mooney_dot_on1,target,regular,pre,on,2afdkgoy6vywa7p,html-keyboard-response,46,587205,0.0-11.0-5.8-1.8,Chrome,131.0,Windows,10,undefined,undefined,1024 x 640,1536 x 738,https://exponline.ugr.es/publix/939/1007/start?srid=18879,67894cf302d2c30bde3af46b,18,34,United States,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
9,1461.6000000014901,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,10,0,dot,bat2,bat2_mooney_dot_on1,target,horizontal_flip,pre,on,2afdkgoy6vywa7p,html-keyboard-response,50,589671,0.0-11.0-5.9-1.9,Chrome,131.0,Windows,10,undefined,undefined,1024 x 640,1536 x 738,https://exponline.ugr.es/publix/939/1007/start?srid=18879,67894cf302d2c30bde3af46b,18,34,United States,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
10,1315.9000000003725,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/lip_gloss_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,11,0,dot,lip_gloss,lip_gloss_mooney_dot_off2,target,upside_down,pre,off,2afdkgoy6vywa7p,html-keyboard-response,54,591998,0.0-11.0-5.10-1.10,Chrome,131.0,Windows,10,undefined,undefined,1024 x 640,1536 x 738,https://exponline.ugr.es/publix/939/1007/start?srid=18879,67894cf302d2c30bde3af46b,18,34,United States,Male,Right-handed,Exp,dot_recog,e,0,1,,,,,
11,1120.0999999996275,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/shears_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,12,0,dot,shears,shears_mooney_dot_off2,target,regular,pre,off,2afdkgoy6vywa7p,html-keyboard-response,58,594121,0.0-11.0-5.11-1.11,Chrome,131.0,Windows,10,undefined,undefined,1024 x 640,1536 x 738,https://exponline.ugr.es/publix/939/1007/start?srid=18879,67894cf302d2c30bde3af46b,18,34,United States,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
