index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,1971.3000001907349,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,1,0,dot,peanut_butter,peanut_butter_mooney_dot_off2,target,horizontal_flip,pre,off,2ax8cevg42cgbz4,html-keyboard-response,14,328006,0.0-11.0-5.0-1.0,Chrome,135.0,macOS,10.15.7,undefined,undefined,2048 x 1280,1410 x 1068,https://exponline.ugr.es/publix/939/1007/start?srid=18878,672f246d1d67d71960402ef8,35,32,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,1,,,,,
1,2291.5999999046326,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,2,0,dot,backpack,backpack_mooney_dot_off4,target,upside_down,pre,off,2ax8cevg42cgbz4,html-keyboard-response,18,331300,0.0-11.0-5.1-1.1,Chrome,135.0,macOS,10.15.7,undefined,undefined,2048 x 1280,1410 x 1068,https://exponline.ugr.es/publix/939/1007/start?srid=18878,672f246d1d67d71960402ef8,35,32,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,1,,,,,
2,3852,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,3,0,dot,gargoyle,gargoyle_mooney_dot_off2,target,regular,pre,off,2ax8cevg42cgbz4,html-keyboard-response,22,336155,0.0-11.0-5.2-1.2,Chrome,135.0,macOS,10.15.7,undefined,undefined,2048 x 1280,1410 x 1068,https://exponline.ugr.es/publix/939/1007/start?srid=18878,672f246d1d67d71960402ef8,35,32,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,1,,,,,
3,1044.1000003814697,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,4,0,dot,backpack,backpack_mooney_dot_off2,target,upside_down,pre,off,2ax8cevg42cgbz4,html-keyboard-response,26,338204,0.0-11.0-5.3-1.3,Chrome,135.0,macOS,10.15.7,undefined,undefined,2048 x 1280,1410 x 1068,https://exponline.ugr.es/publix/939/1007/start?srid=18878,672f246d1d67d71960402ef8,35,32,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,0,,,,,
4,2255.199999809265,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,5,0,dot,peanut_butter,peanut_butter_mooney_dot_off4,target,horizontal_flip,pre,off,2ax8cevg42cgbz4,html-keyboard-response,30,341461,0.0-11.0-5.4-1.4,Chrome,135.0,macOS,10.15.7,undefined,undefined,2048 x 1280,1410 x 1068,https://exponline.ugr.es/publix/939/1007/start?srid=18878,672f246d1d67d71960402ef8,35,32,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,1,,,,,
5,1601.5999999046326,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,6,0,dot,gargoyle,gargoyle_mooney_dot_on3,target,regular,pre,on,2ax8cevg42cgbz4,html-keyboard-response,34,344066,0.0-11.0-5.5-1.5,Chrome,135.0,macOS,10.15.7,undefined,undefined,2048 x 1280,1410 x 1068,https://exponline.ugr.es/publix/939/1007/start?srid=18878,672f246d1d67d71960402ef8,35,32,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,,
6,1157,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,7,0,dot,peanut_butter,peanut_butter_mooney_dot_on1,target,horizontal_flip,pre,on,2ax8cevg42cgbz4,html-keyboard-response,38,346225,0.0-11.0-5.6-1.6,Chrome,135.0,macOS,10.15.7,undefined,undefined,2048 x 1280,1410 x 1068,https://exponline.ugr.es/publix/939/1007/start?srid=18878,672f246d1d67d71960402ef8,35,32,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,,
7,1315.4000000953674,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,8,0,dot,gargoyle,gargoyle_mooney_dot_off4,target,regular,pre,off,2ax8cevg42cgbz4,html-keyboard-response,42,348544,0.0-11.0-5.7-1.7,Chrome,135.0,macOS,10.15.7,undefined,undefined,2048 x 1280,1410 x 1068,https://exponline.ugr.es/publix/939/1007/start?srid=18878,672f246d1d67d71960402ef8,35,32,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,1,,,,,
8,958.9000000953674,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,9,0,dot,backpack,backpack_mooney_dot_on1,target,upside_down,pre,on,2ax8cevg42cgbz4,html-keyboard-response,46,350506,0.0-11.0-5.8-1.8,Chrome,135.0,macOS,10.15.7,undefined,undefined,2048 x 1280,1410 x 1068,https://exponline.ugr.es/publix/939/1007/start?srid=18878,672f246d1d67d71960402ef8,35,32,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,,
9,1146.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,10,0,dot,peanut_butter,peanut_butter_mooney_dot_on3,target,horizontal_flip,pre,on,2ax8cevg42cgbz4,html-keyboard-response,50,352655,0.0-11.0-5.9-1.9,Chrome,135.0,macOS,10.15.7,undefined,undefined,2048 x 1280,1410 x 1068,https://exponline.ugr.es/publix/939/1007/start?srid=18878,672f246d1d67d71960402ef8,35,32,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,,
10,1259,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,11,0,dot,gargoyle,gargoyle_mooney_dot_on1,target,regular,pre,on,2ax8cevg42cgbz4,html-keyboard-response,54,354917,0.0-11.0-5.10-1.10,Chrome,135.0,macOS,10.15.7,undefined,undefined,2048 x 1280,1410 x 1068,https://exponline.ugr.es/publix/939/1007/start?srid=18878,672f246d1d67d71960402ef8,35,32,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,,
11,1429.4000000953674,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,12,0,dot,backpack,backpack_mooney_dot_on3,target,upside_down,pre,on,2ax8cevg42cgbz4,html-keyboard-response,58,357350,0.0-11.0-5.11-1.11,Chrome,135.0,macOS,10.15.7,undefined,undefined,2048 x 1280,1410 x 1068,https://exponline.ugr.es/publix/939/1007/start?srid=18878,672f246d1d67d71960402ef8,35,32,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,,
12,,,,13,0,recognition,peanut_butter,peanut_butter_mooney,target,horizontal_flip,pre,null,2ax8cevg42cgbz4,survey-text-autocomplete,66,365752,0.0-11.0-6.12-4.12,Chrome,135.0,macOS,10.15.7,undefined,undefined,2048 x 1280,1410 x 1068,https://exponline.ugr.es/publix/939/1007/start?srid=18878,672f246d1d67d71960402ef8,35,32,United Kingdom,Male,Right-handed,Exp,Recognition,,,,,"{""recognition"":""nest""}",nest,0.6918090650917046,0.0
13,,,,14,0,recognition,backpack,backpack_mooney,target,upside_down,pre,null,2ax8cevg42cgbz4,survey-text-autocomplete,73,378335,0.0-11.0-6.13-4.13,Chrome,135.0,macOS,10.15.7,undefined,undefined,2048 x 1280,1410 x 1068,https://exponline.ugr.es/publix/939/1007/start?srid=18878,672f246d1d67d71960402ef8,35,32,United Kingdom,Male,Right-handed,Exp,Recognition,,,,,"{""recognition"":""bowl""}",bowl,0.7379766951936049,0.0
14,,,,15,0,recognition,gargoyle,gargoyle_mooney,target,regular,pre,null,2ax8cevg42cgbz4,survey-text-autocomplete,80,386782,0.0-11.0-6.14-4.14,Chrome,135.0,macOS,10.15.7,undefined,undefined,2048 x 1280,1410 x 1068,https://exponline.ugr.es/publix/939/1007/start?srid=18878,672f246d1d67d71960402ef8,35,32,United Kingdom,Male,Right-handed,Exp,Recognition,,,,,"{""recognition"":""cat""}",cat,0.520943806230955,0.0
