index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,2002.7999999970198,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,1,0,dot,eclair,eclair_mooney_dot_off2,target,horizontal_flip,pre,off,2llsss2l0v84vkp,html-keyboard-response,14,467413,0.0-11.0-5.0-1.0,Chrome,136.0,Windows,10,undefined,undefined,1920 x 1080,500 x 962,https://exponline.ugr.es/publix/939/1007/start?srid=18876,5c01bf7d4c14cf00019ce2a4,19,37,Canada,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
1,2083,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,2,0,dot,candelabra,candelabra_mooney_dot_on1,target,upside_down,pre,on,2llsss2l0v84vkp,html-keyboard-response,18,470509,0.0-11.0-5.1-1.1,Chrome,136.0,Windows,10,undefined,undefined,1920 x 1080,500 x 962,https://exponline.ugr.es/publix/939/1007/start?srid=18876,5c01bf7d4c14cf00019ce2a4,19,37,Canada,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
2,1023.5999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/lip_gloss_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,3,0,dot,lip_gloss,lip_gloss_mooney_dot_on3,target,regular,pre,on,2llsss2l0v84vkp,html-keyboard-response,22,472549,0.0-11.0-5.2-1.2,Chrome,136.0,Windows,10,undefined,undefined,1920 x 1080,500 x 962,https://exponline.ugr.es/publix/939/1007/start?srid=18876,5c01bf7d4c14cf00019ce2a4,19,37,Canada,Male,Right-handed,Exp,dot_recog,e,0,0,,,,,
3,1413.5999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,candelabra,candelabra_mooney_dot_on3,target,upside_down,pre,on,2llsss2l0v84vkp,html-keyboard-response,26,474965,0.0-11.0-5.3-1.3,Chrome,136.0,Windows,10,undefined,undefined,1920 x 1080,500 x 962,https://exponline.ugr.es/publix/939/1007/start?srid=18876,5c01bf7d4c14cf00019ce2a4,19,37,Canada,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
4,852.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,5,0,dot,eclair,eclair_mooney_dot_off4,target,horizontal_flip,pre,off,2llsss2l0v84vkp,html-keyboard-response,30,476821,0.0-11.0-5.4-1.4,Chrome,136.0,Windows,10,undefined,undefined,1920 x 1080,500 x 962,https://exponline.ugr.es/publix/939/1007/start?srid=18876,5c01bf7d4c14cf00019ce2a4,19,37,Canada,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
5,1215.4000000059605,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/lip_gloss_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,6,0,dot,lip_gloss,lip_gloss_mooney_dot_off2,target,regular,pre,off,2llsss2l0v84vkp,html-keyboard-response,34,479053,0.0-11.0-5.5-1.5,Chrome,136.0,Windows,10,undefined,undefined,1920 x 1080,500 x 962,https://exponline.ugr.es/publix/939/1007/start?srid=18876,5c01bf7d4c14cf00019ce2a4,19,37,Canada,Male,Right-handed,Exp,dot_recog,e,0,1,,,,,
6,1144.0999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,7,0,dot,eclair,eclair_mooney_dot_on1,target,horizontal_flip,pre,on,2llsss2l0v84vkp,html-keyboard-response,38,481205,0.0-11.0-5.6-1.6,Chrome,136.0,Windows,10,undefined,undefined,1920 x 1080,500 x 962,https://exponline.ugr.es/publix/939/1007/start?srid=18876,5c01bf7d4c14cf00019ce2a4,19,37,Canada,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
7,1292.699999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/lip_gloss_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,lip_gloss,lip_gloss_mooney_dot_on1,target,regular,pre,on,2llsss2l0v84vkp,html-keyboard-response,42,483501,0.0-11.0-5.7-1.7,Chrome,136.0,Windows,10,undefined,undefined,1920 x 1080,500 x 962,https://exponline.ugr.es/publix/939/1007/start?srid=18876,5c01bf7d4c14cf00019ce2a4,19,37,Canada,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
8,1208.4000000059605,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,9,0,dot,eclair,eclair_mooney_dot_on3,target,horizontal_flip,pre,on,2llsss2l0v84vkp,html-keyboard-response,46,485725,0.0-11.0-5.8-1.8,Chrome,136.0,Windows,10,undefined,undefined,1920 x 1080,500 x 962,https://exponline.ugr.es/publix/939/1007/start?srid=18876,5c01bf7d4c14cf00019ce2a4,19,37,Canada,Male,Right-handed,Exp,dot_recog,e,0,0,,,,,
9,808.2999999970198,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,10,0,dot,candelabra,candelabra_mooney_dot_off2,target,upside_down,pre,off,2llsss2l0v84vkp,html-keyboard-response,50,487541,0.0-11.0-5.9-1.9,Chrome,136.0,Windows,10,undefined,undefined,1920 x 1080,500 x 962,https://exponline.ugr.es/publix/939/1007/start?srid=18876,5c01bf7d4c14cf00019ce2a4,19,37,Canada,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
