index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,4942.899999976158,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,1,0,dot,puddle,puddle_mooney_dot_off2,target,horizontal_flip,pre,off,3u37rb1ofonnxss,html-keyboard-response,14,152076,0.0-11.0-5.0-1.0,Chrome,136.0,Windows,10,undefined,undefined,2560 x 1440,558 x 1304,https://exponline.ugr.es/publix/939/1007/start?srid=18918,6347200d8ded5172ec43e0bb,37,35,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,1,,,,,
1,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",null,2,0,dot,grasshopper,grasshopper_mooney_dot_off4,target,upside_down,pre,off,3u37rb1ofonnxss,html-keyboard-response,18,158098,0.0-11.0-5.1-1.1,Chrome,136.0,Windows,10,undefined,undefined,2560 x 1440,558 x 1304,https://exponline.ugr.es/publix/939/1007/start?srid=18918,6347200d8ded5172ec43e0bb,37,35,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,1,,,,,
2,3309.100000023842,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,3,0,dot,drill,drill_mooney_dot_off4,target,regular,pre,off,3u37rb1ofonnxss,html-keyboard-response,22,162417,0.0-11.0-5.2-1.2,Chrome,136.0,Windows,10,undefined,undefined,2560 x 1440,558 x 1304,https://exponline.ugr.es/publix/939/1007/start?srid=18918,6347200d8ded5172ec43e0bb,37,35,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
3,2080.7000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,4,0,dot,grasshopper,grasshopper_mooney_dot_off2,target,upside_down,pre,off,3u37rb1ofonnxss,html-keyboard-response,26,165513,0.0-11.0-5.3-1.3,Chrome,136.0,Windows,10,undefined,undefined,2560 x 1440,558 x 1304,https://exponline.ugr.es/publix/939/1007/start?srid=18918,6347200d8ded5172ec43e0bb,37,35,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,1,,,,,
4,2777,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,5,0,dot,drill,drill_mooney_dot_off2,target,regular,pre,off,3u37rb1ofonnxss,html-keyboard-response,30,169305,0.0-11.0-5.4-1.4,Chrome,136.0,Windows,10,undefined,undefined,2560 x 1440,558 x 1304,https://exponline.ugr.es/publix/939/1007/start?srid=18918,6347200d8ded5172ec43e0bb,37,35,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
5,2275.7999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,6,0,dot,puddle,puddle_mooney_dot_off4,target,horizontal_flip,pre,off,3u37rb1ofonnxss,html-keyboard-response,34,172598,0.0-11.0-5.5-1.5,Chrome,136.0,Windows,10,undefined,undefined,2560 x 1440,558 x 1304,https://exponline.ugr.es/publix/939/1007/start?srid=18918,6347200d8ded5172ec43e0bb,37,35,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,1,,,,,
6,1952.3999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,7,0,dot,grasshopper,grasshopper_mooney_dot_on1,target,upside_down,pre,on,3u37rb1ofonnxss,html-keyboard-response,38,175567,0.0-11.0-5.6-1.6,Chrome,136.0,Windows,10,undefined,undefined,2560 x 1440,558 x 1304,https://exponline.ugr.es/publix/939/1007/start?srid=18918,6347200d8ded5172ec43e0bb,37,35,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
7,2455.600000023842,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,puddle,puddle_mooney_dot_on1,target,horizontal_flip,pre,on,3u37rb1ofonnxss,html-keyboard-response,42,179039,0.0-11.0-5.7-1.7,Chrome,136.0,Windows,10,undefined,undefined,2560 x 1440,558 x 1304,https://exponline.ugr.es/publix/939/1007/start?srid=18918,6347200d8ded5172ec43e0bb,37,35,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
8,2503.600000023842,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,9,0,dot,drill,drill_mooney_dot_on1,target,regular,pre,on,3u37rb1ofonnxss,html-keyboard-response,46,182552,0.0-11.0-5.8-1.8,Chrome,136.0,Windows,10,undefined,undefined,2560 x 1440,558 x 1304,https://exponline.ugr.es/publix/939/1007/start?srid=18918,6347200d8ded5172ec43e0bb,37,35,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
9,3397.9000000953674,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,10,0,dot,puddle,puddle_mooney_dot_on3,target,horizontal_flip,pre,on,3u37rb1ofonnxss,html-keyboard-response,50,186965,0.0-11.0-5.9-1.9,Chrome,136.0,Windows,10,undefined,undefined,2560 x 1440,558 x 1304,https://exponline.ugr.es/publix/939/1007/start?srid=18918,6347200d8ded5172ec43e0bb,37,35,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,0,,,,,
